建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
蔚嵐山莊,新北市深坑區北深路二段2巷12號,28.3,28,20,4.9305424167396215,0.5284504879097555,37.0
台北富境,新北市深坑區文化街84巷35號,46.2,13,21,4.472725825696278,0.1240794654218715,61.0
帝品苑,新北市深坑區北深路三段163號,40.1,8,19,3.1217740057570853,0.2806845018563113,69.0
青山雄觀北區,新北市深坑區崩山43號,25.5,26,22,5.658528062065374,1.6387175524764366,2.0
香榭華城,新北市深坑區文化街29號,32.5,28,21,4.587763760857112,0.1169619591130128,53.0
世新山莊,新北市深坑區深南路23號,25.6,26,21,5.0604319216585925,0.942372756519924,12.0
信義時代,新北市深坑區文山路二段16號,29.0,8,19,4.568076905398188,0.1863333022401419,53.0
喜砌,新北市深坑區北深路二段139號,44.9,4,19,4.180317127549652,0.2530267793639367,64.0
台北好境,新北市深坑區埔新街26號,43.8,32,21,4.804378317015257,0.3726939532776452,49.0
台北新花園米蘭特區,新北市深坑區埔新街94號,43.4,16,22,4.577540422233596,0.1588017104792276,56.0
台北新花園尊爵特區,新北市深坑區文化街84巷3號,37.8,15,20,1.1893561806217308,0.2504460415487992,61.0
立益百合花園大廈,新北市深坑區松柏街1號,25.5,15,18,6.877659704181244,0.2915207976955749,21.0
台北新花園皇家特區,新北市深坑區文化街40號,40.9,16,21,4.5854881242478935,0.1219223907317076,53.0
佳麗堡大廈,新北市深坑區北深路三段333號,35.2,26,19,2.836325584291272,0.7600115120491173,58.0
美麗人生,新北市深坑區深坑街9號,33.3,28,20,4.347932606076766,0.1017104801234044,62.0
