建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
希望城市3-城中心,新北市蘆洲區三民路378號,51.2,8,23,5.0480931569279015,0.2462841002348961,299.0
環堤觀景,新北市蘆洲區環堤大道8號,41.2,23,19,3.883022693858477,0.3037929881941666,273.0
萬信家園,新北市蘆洲區長榮路709號,42.4,28,22,3.0789529866053456,0.2509114746617701,198.0
地球村,新北市蘆洲區光華路110巷16號,46.5,30,20,0.8696729938606461,0.3421421454922821,424.0
合康NEW雪梨,新北市蘆洲區永康街63巷16號,50.1,19,19,4.0243303435563975,0.1654709387599615,281.0
一品匯,新北市蘆洲區水湳街389號,48.3,8,23,1.4293906329061097,0.2231350844779629,214.0
利舟官耀大樓,新北市蘆洲區仁愛街77號之2,56.5,9,23,1.3771381711912676,0.2496034591316798,214.0
雙捷京站,新北市蘆洲區信義路158號,54.3,10,21,0.4060508030366417,0.3192566052389869,555.0
仁愛天廈,新北市蘆洲區民族路371號,33.0,28,23,1.1223261150346604,0.1412533218863471,368.0
領袖村,新北市蘆洲區中興街65號,46.8,25,20,0.8837522477425669,0.603411849187485,447.0
統才泰邑大廈,新北市蘆洲區復興路186號,52.3,8,20,0.7710012747508543,0.4238079384271028,472.0
佳昌企業家,新北市蘆洲區中山一路211號,35.5,23,18,0.2223853717670838,0.5426628386520221,504.0
重陽新世界,新北市蘆洲區集賢路222巷2號,50.2,26,19,0.9034449010329858,0.6256905604415487,443.0
群英會,新北市蘆洲區水湳街72號,51.6,24,24,1.0175915321319395,0.2113594469176796,419.0
集賢世家,新北市蘆洲區集賢路272號,49.4,13,19,0.7034318740316157,0.5001455839467203,481.0
集賢大第,新北市蘆洲區中興街46號,44.9,27,19,0.8185576255445485,0.546163762166908,467.0
夆典里享國,新北市蘆洲區中興街89號,61.1,3,20,0.939661780630621,0.6535639711039144,426.0
築禾豐,新北市蘆洲區中正路77號,49.1,6,19,0.5650745695323943,0.136261096741928,465.0
久保麗,新北市蘆洲區三民路50號,47.1,20,22,0.116711732341174,0.2075804972241333,556.0
新士林藝術廣場,新北市蘆洲區永平街32巷11弄23號,36.4,31,22,4.833735288482628,0.3734542426861106,220.0
鄉林淳詠,新北市蘆洲區中正路243巷5號,55.9,6,21,0.9691237879618668,0.0924576888835797,527.0
信義尊爵,新北市蘆洲區信義路246號,38.5,13,21,0.5503012040366803,0.2369009467927271,533.0
新峰光,新北市蘆洲區長興路185號,53.7,6,21,4.333322637108698,0.2763994068840815,383.0
全球嘉年華,新北市蘆洲區永樂街100號,43.7,25,19,4.495930905424637,0.3872090136331677,260.0
大囍市,新北市蘆洲區民族路422巷112號,40.6,27,21,1.3821691664199456,0.3819322268942319,214.0
龍品天廈,新北市蘆洲區集賢路269巷14號,45.9,27,20,0.6378528322918507,0.4091753082852776,508.0
城市知己紐約公寓,新北市蘆洲區信義路138號,46.0,7,21,0.4047821531683402,0.3347991564821518,541.0
騰景大樓,新北市蘆洲區三民路110巷49號,35.0,27,23,0.752589772083746,0.1877491386754721,496.0
公園大境,新北市蘆洲區光明路106巷18號,48.6,10,22,1.3746781813295272,0.2443016950513643,428.0
舞鶴,新北市蘆洲區長樂路187號,47.9,6,22,4.616790650082043,0.2299438289493562,345.0
璞園屋久紀,新北市蘆洲區中正路313巷1號,56.3,8,22,1.1886991597273342,0.1718005765965967,470.0
全球登峰榮華區,新北市蘆洲區重陽街112號,47.3,16,19,0.7921539309943973,0.6056950496493205,463.0
麗寶白金漢宮,新北市蘆洲區三民路84號,47.3,16,21,0.2291277529238433,0.1789120019409535,551.0
三多利頂級花園名邸B區,新北市蘆洲區集賢路224巷37弄10號,44.7,27,20,0.819811433008181,0.5081321629935064,471.0
三多立御禧,新北市蘆洲區永安南路二段16巷17弄39號,42.6,8,17,1.0374820752803022,0.7922188025663389,280.0
臻愛我家八期,新北市蘆洲區長榮路177號,43.7,14,21,4.17278985403001,0.2335322668487954,380.0
金世首璽,新北市蘆洲區長興路71號,49.4,7,21,1.3663012956609792,0.1233895601602077,413.0
連銓天廈,新北市蘆洲區光榮路85號,52.8,9,22,4.6430037102002615,0.1861062307698702,356.0
台北瞭望台,新北市蘆洲區環堤大道186號,52.1,29,20,4.681147157895444,0.4876692730320689,247.0
畢卡索六期,新北市蘆洲區重陽街80號,56.4,9,20,0.7101709449653589,0.5143359186432271,503.0
寶石上品苑,新北市蘆洲區集賢路219號,60.8,9,18,0.8751825927320411,0.6053443020016621,447.0
鷺洲雲硯,新北市蘆洲區中央路181號,64.4,1,21,0.4495191501300532,0.2351768950851906,524.0
森活大市,新北市蘆洲區民族路263巷15號,40.4,23,22,0.8916132765804666,0.4363961622061807,453.0
兒童樂園,新北市蘆洲區環堤大道78號,44.2,24,18,4.0131406005882,0.2193205918773887,267.0
鷺江悅容,新北市蘆洲區長興路298巷12號,55.8,17,22,4.722807505520184,0.13181904689525,303.0
觀景,新北市蘆洲區環堤大道182號,30.7,28,20,4.65580973985112,0.4991308857888579,248.0
台北春大地,新北市蘆洲區永樂街38巷57弄2號,46.9,28,21,4.706944235651488,0.3257351339695452,266.0
合康米堤,新北市蘆洲區永康街6號,43.3,7,20,0.1043952289335723,0.1816726370074238,352.0
善住,新北市蘆洲區長樂路237巷16號,44.3,5,23,4.948446180645787,0.1104436624499868,274.0
台北達一期,新北市蘆洲區民族路422巷72號,40.4,24,21,1.2866633558421563,0.4025785143240623,275.0
台北王朝,新北市蘆洲區長安街194巷13號,25.4,31,19,4.091758526177232,0.239266737390015,345.0
環堤大廈,新北市蘆洲區永安南路二段346號,40.1,19,18,3.8646081710148232,0.3143044360160802,279.0
全球大富貴,新北市蘆洲區永樂街38巷45弄2號,30.8,28,21,4.65709095161135,0.3555224355252932,270.0
城市知己Ⅱ雪梨公寓,新北市蘆洲區三民路581號,67.5,3,24,3.103671287262232,0.2086775570090448,218.0
翰林天下,新北市蘆洲區永樂街52號,40.1,28,20,4.484845186581956,0.3147607595520371,287.0
茂楷得勝,新北市蘆洲區得勝街66號,46.3,1,20,0.3449044360970811,0.285903443543513,560.0
城市知己III 米蘭公寓,新北市蘆洲區光復路長興路口,94.3,2,21,1.307715866731429,0.0513154385402888,430.0
太子龍邸二期,新北市蘆洲區永安南路二段42巷8號,36.3,26,17,1.0451835911920284,0.7639028470804078,267.0
三多立愛,新北市蘆洲區民權路137巷2號,47.3,3,24,1.0256920023605904,0.1922712226291705,443.0
台北富邑,新北市蘆洲區三民路249號,44.3,27,23,1.0733002611915157,0.2268383527865237,439.0
常盛帝國,新北市蘆洲區民權路6號,47.9,21,22,0.4147041115838808,0.1000753589865479,541.0
信義一品,新北市蘆洲區信義路333號,45.6,4,21,0.5773942900226559,0.2357938382786452,527.0
博覽家一期,新北市蘆洲區集賢路368巷9號,46.6,26,21,0.5175828675589721,0.3809343382914387,524.0
新天際,新北市蘆洲區三民路569號,52.5,7,24,5.012813332075477,0.165988813699812,250.0
仁愛儷境,新北市蘆洲區仁愛街35巷14弄5號,46.0,2,24,1.2794049963213046,0.1585174259407542,257.0
台北新大陸,新北市蘆洲區民權路38巷1號,39.8,23,23,0.491394182160906,0.1861257761007336,540.0
慶福名廈,新北市蘆洲區中山一路241號,35.8,22,21,0.2916955339693848,0.5473413748616105,495.0
現代金典,新北市蘆洲區永安南路二段168號,31.8,25,17,3.620644602282927,0.8154753582445463,239.0
台北華府,新北市蘆洲區中山一路158號,48.5,23,19,0.1157804485777672,0.4395004860424973,515.0
城市知己巴黎公寓,新北市蘆洲區三民路157號之1,58.4,7,22,0.7042385209936832,0.2496055935046374,514.0
臻愛皇家,新北市蘆洲區中原路6號,39.9,13,21,4.091858584355282,0.2648925064525125,371.0
御寶皇琚,新北市蘆洲區長興路180號,41.2,6,21,4.3507112290629,0.2598136358088319,386.0
寶吉天地,新北市蘆洲區中華街7號,30.4,28,19,1.1953101592026034,0.3694301016041477,375.0
陸江聚,新北市蘆洲區長樂路8號,44.1,8,21,1.2531139724507925,0.048867260401133,440.0
御寬庭,新北市蘆洲區和平路146號,40.0,5,18,0.9145394339120132,0.5042478201618172,366.0
名毅一山,新北市蘆洲區集賢路328號,62.1,11,20,0.6251716550780102,0.4590550536135145,508.0
育昌富園,新北市蘆洲區復興路107號,36.2,15,21,0.6589391870302896,0.3130411669661661,508.0
家泰大MINI,新北市蘆洲區中興街42號,38.3,2,20,0.7586210173678364,0.5124000837887317,471.0
大渼,新北市蘆洲區環堤大道166號,36.8,10,20,4.574802647577036,0.4555278104681393,252.0
鴻成涵美,新北市蘆洲區民權路118巷7號,42.7,5,23,0.7719211259934539,0.2087688788664557,492.0
馥悅,新北市蘆洲區民族路237號,40.0,5,21,0.8928383753187307,0.5011384837258561,431.0
柏京,新北市蘆洲區復興路6號,46.5,4,21,0.5190669782547689,0.1885900070392894,530.0
群曜悠閣,新北市蘆洲區長樂路108號,56.5,7,22,4.686469644957321,0.1721414305176231,344.0
城市知己Ⅱ倫敦公寓,新北市蘆洲區中山一路175號,55.2,4,19,0.1196542271840858,0.4547193744727766,512.0
城市知己東京公寓,新北市蘆洲區信義路222巷35號,43.5,7,20,0.5760811297523014,0.3421023047350639,518.0
品臻璽,新北市蘆洲區正和街101號,47.1,6,18,0.8318811266879251,0.5068167787532799,349.0
御品金華,新北市蘆洲區民族路265號,33.8,29,21,0.9483346064747348,0.4862577806367744,435.0
花園經典,新北市蘆洲區重陽街66號,49.1,14,19,0.6505069253591836,0.4568319559541606,509.0
海誓山盟,新北市蘆洲區仁愛街102號之7,47.0,18,23,2.88396434403709,0.3207577417666309,165.0
易居,新北市蘆洲區光華路73巷3號,39.8,6,20,0.7605241670094204,0.2838154444335499,410.0
蘆逸,新北市蘆洲區民族路422巷15弄6號,37.9,4,22,1.2019708095114034,0.3646637045957111,369.0
三千院,新北市蘆洲區三民路71號,48.5,19,20,0.1721341728124586,0.2250974951057039,557.0
時上京宴,新北市蘆洲區長榮路321號,46.7,7,20,0.0182568884701738,0.2438601699597049,346.0
喜福匯二期,新北市蘆洲區三民路501號,43.1,5,24,4.958975456697903,0.1683119364983425,310.0
御寶第舞集,新北市蘆洲區長興路101號,40.9,5,21,1.4611604372378657,0.1941174872084295,390.0
畢卡索五期大廈,新北市蘆洲區民族路343號,50.5,15,22,1.1254140997032145,0.2454432210407307,400.0
英倫大第,新北市蘆洲區三民路241號之2,44.7,41,23,1.0051221897116185,0.1772903624619734,454.0
喜福匯,新北市蘆洲區長樂路166號,42.8,5,23,4.8786340802548365,0.1031991429873527,302.0
知森堂三期,新北市蘆洲區長榮路146號,48.3,15,21,4.20166317307432,0.2250012533776129,381.0
黃金四季,新北市蘆洲區重陽一街15號,44.3,15,20,0.547863661901388,0.1962146738458439,504.0
台北理想國,新北市蘆洲區民權路28號,39.6,22,22,0.4328018932228598,0.1192045855747587,541.0
登峰名人,新北市蘆洲區中山一路124號,46.0,25,20,0.0998521641701476,0.3717027505059547,538.0
國順京都,新北市蘆洲區光華路38號,40.3,29,20,0.6886523293317912,0.1633159107462708,435.0
昇揚,新北市蘆洲區光復路70巷19號,48.5,11,21,1.1659194425459518,0.1191625054811486,472.0
首席特區,新北市蘆洲區重陽一街28號,64.0,28,20,0.558126136052478,0.2169797243221013,500.0
