建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
華登天美,新北市鶯歌區高職西街1號之9,24.3,2,19,2.444221927943688,0.0968845934286357,31.0
台北國寶,新北市鶯歌區中山路329巷26弄11號,26.4,12,15,2.672100734881745,0.2094811665798213,125.0
樂陶陶,新北市鶯歌區二橋街7號,27.5,6,20,2.595698650304416,0.1733949874295875,25.0
微笑海悅,新北市鶯歌區鳳鳴路541號,35.4,1,11,1.775493432767663,0.5511853697063247,59.0
美麗宏國乙區,新北市鶯歌區高職西街49號,19.3,24,20,2.594572800990535,0.1403811804115853,29.0
金鶯花園,新北市鶯歌區尖山路266號,27.2,2,19,2.253212131430669,0.2307832874611113,57.0
金鶯一品,新北市鶯歌區尖山路217號,22.8,3,19,2.188936083221715,0.257611897090167,58.0
華登天囍,新北市鶯歌區尖山路122號,28.3,4,20,1.9495209730719376,0.2941129764072356,111.0
景程禾雅,新北市鶯歌區鳳鳴路511號,26.2,2,11,1.844404414269404,0.4834702083107363,59.0
微笑日日,新北市鶯歌區尖山路212巷18號,21.8,7,20,2.254629179907076,0.3283851531546368,87.0
丞石菁英薈NO2,新北市鶯歌區鳳五路96號,35.4,3,11,1.7602133356633278,0.5580478758630063,62.0
新潤幸福莊園,新北市鶯歌區鳳吉一街191號,32.2,3,9,1.4381366028173612,0.8979972619317359,65.0
君邑雷諾瓦,新北市鶯歌區國中街159號,28.1,8,20,2.2640364631934653,0.2344530975799398,31.0
豐邑日日,新北市鶯歌區鳳福路213號,23.9,2,9,1.6278655883208992,0.8066084739107467,55.0
山河戀,新北市鶯歌區成功街2號,26.7,16,17,2.1452582329533385,1.21786739075781,107.0
慕嵐,新北市鶯歌區國中街117號,27.5,5,20,2.1323649184057123,0.2993674733768055,34.0
陶哲,新北市鶯歌區國中街55號,26.5,4,20,2.0737197897962085,0.1521398815531531,37.0
安家凱撒會館,新北市鶯歌區國中街69號,21.3,15,20,2.065135340145587,0.1800953396149775,35.0
和瑞微美,新北市鶯歌區鳳五路8號,32.7,5,11,1.90014055686121,0.4289315164401999,62.0
金鶯鎮,新北市鶯歌區尖山路212巷12號,28.4,5,20,2.2132864941515007,0.3326968979705408,91.0
