建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
現代三合院,新北市中和區中山路三段63巷13弄11號,34.6,26,10,1.745442969575651,0.3679742684633847,288.0
西班牙。美術,新北市中和區圓通路369巷39號之8,37.8,14,17,0.8176260299748506,0.4295463010117534,35.0
永富龍邸,新北市中和區景新街467巷20弄7號,34.1,34,15,2.112082286489517,0.2192468301909828,260.0
一江新城,新北市中和區永和路9巷17號,37.6,39,15,0.1796346118247502,0.4962179950456712,853.0
喜林莊,新北市中和區興南路二段142巷25弄10號,34.7,34,19,1.3615698403611374,0.4732271566827694,141.0
芳園,新北市中和區景新街64巷11弄10號,34.2,33,14,0.6559955997946667,0.2655678230066263,1048.0
別墅庭園,新北市中和區興南路二段142巷24弄10號,23.5,33,19,1.3615698403611374,0.4732271566827694,141.0
藍山綠田,新北市中和區中興街230巷10號,30.4,31,16,0.782667346637319,0.2012581812614538,453.0
警安新城,新北市中和區仁愛街36巷10號,31.5,36,15,1.8073324418087109,0.1453628904258244,325.0
景新名園,新北市中和區景新街467巷32弄5號,39.2,34,16,2.0610212547287694,0.18353662951896,261.0
邁阿密花園廣場,新北市中和區南山路236巷63弄3號,25.4,33,16,1.192312703479428,0.3081720287271304,396.0
飛駝新城,新北市中和區忠孝街37巷2號,38.5,40,17,2.033529139244524,0.3237569294073312,202.0
警信新村,新北市中和區秀峰街127巷11號,32.0,26,14,1.6828904851892097,0.3704131239508376,260.0
維也納森林家庭,新北市中和區中興街250號,29.0,31,16,0.7229645120275944,0.181199097754352,530.0
復崗新城,新北市中和區景安路200巷6弄2號,40.6,33,14,0.9969726857407826,0.2792340509014768,707.0
台貿一城,新北市中和區連城路263巷11弄11號,32.1,33,15,0.3263292893195174,0.3290858001368301,815.0
大統星鑽,新北市中和區南山路423號,35.0,34,15,1.466424578044187,0.3365232622406038,478.0
中和新城,新北市中和區莊敬路49巷12號,40.2,42,15,0.2060336368722733,0.1548756112292397,721.0
歌德花園新城,新北市中和區興南路二段34巷19號,30.1,33,17,1.4817201265950228,0.2435212507566135,272.0
大統星鑽社区,新北市中和區南山路421巷1弄1號,30.3,34,15,1.4436272884688497,0.3646843747012259,487.0
老爺別墅,新北市中和區民生街23巷4弄8號,39.5,35,8,1.1320197343116971,0.4056228419878186,435.0
台貿景安,新北市中和區景安路177巷36號,43.3,35,13,1.171429011836607,0.7457832877364954,782.0
名家中庭花園新城,新北市中和區忠孝街154號,27.2,35,16,2.014486079592577,0.3347538205139209,273.0
光明新城,新北市中和區景新街263號,36.5,42,11,1.355624630929722,0.576382108593938,638.0
中正花園廣場,新北市中和區連城路469巷9號,37.4,37,13,1.0496233788844858,0.4415634179553628,198.0
銀河大庭苑,新北市中和區板南路252號,30.7,35,14,0.4282693756926966,0.5507559027883723,994.0
中和第一新城,新北市中和區圓通路240號,31.8,35,15,0.1125513233393156,0.2909186100830348,588.0
中正花園,新北市中和區保健路106巷24號,40.6,34,13,1.5023512682428306,0.3229048655806742,577.0
樂華富貴,新北市中和區連城路446號,29.1,18,15,1.4543612110517647,0.1294215081834751,174.0
桂林山水,新北市中和區員山路423巷16號,28.1,36,11,1.7491239876575957,0.2669767542120812,305.0
楓林,新北市中和區中正路1194巷10號,24.9,33,7,2.0544735789624338,0.5067214836434716,651.0
華中庭園,新北市中和區永和路77號,42.9,37,13,0.5750458146548293,0.8659456701728891,587.0
頂好,新北市中和區忠孝街2號,24.2,36,17,1.9309119981982816,0.3089493887088599,187.0
美景大地,新北市中和區圓通路296巷2弄10號,19.1,34,16,0.6166819596345223,0.0904375127433991,155.0
嘉禾,新北市中和區景平路506號,37.3,33,14,1.047435413745469,0.5054235935768414,859.0
水源,新北市中和區中山路二段3巷22弄9號之5,29.5,15,18,0.8697291312958638,0.3221077671379427,678.0
國光街184巷27弄華廈,新北市中和區國光街184巷27弄11號,27.0,9,10,0.7238093960005183,0.2983799236377545,465.0
東家園,新北市中和區員山路570號,26.6,36,6,2.198044263481606,0.5507601864591569,680.0
興南路二段76號華廈,新北市中和區興南路二段76號,43.9,12,17,1.517677368047372,0.3083024932601014,216.0
