建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
長風新城,新北市土城區順風路1號,34.4,30,12,0.38946376750489,0.291756539102313,119.0
土城國泰雕之森,新北市土城區裕民路202號,17.7,38,14,0.3159471459015203,0.1865821674002919,187.0
田園新貌,新北市土城區延壽路75巷10號,28.7,34,12,1.386320874941404,0.5120398962163654,188.0
綠庭,新北市土城區裕民路92巷21弄2號,28.8,34,12,0.4425973990375903,0.2506906605026723,174.0
天地別墅,新北市土城區廣福街26巷2號,33.1,41,16,0.8288483422320952,0.3572340360479992,289.0
中央新邸,新北市土城區中央路四段185巷53號,23.7,24,20,3.9168429739204633,0.2509685998885582,56.0
頂埔學園,新北市土城區溪頭路7巷1號,23.8,29,19,4.297613920431999,0.1708448664681581,54.0
富貴園透天,新北市土城區明德路一段255號,31.4,41,18,0.8956313294352495,0.5053403447425818,88.0
德霖雅築,新北市土城區青雲路521巷5號,26.9,14,19,1.0905961113468337,1.1360365579737213,43.0
景和,新北市土城區興城路49巷2號,9.2,35,14,0.2147849391710588,0.1605032480135026,121.0
狀元及第,新北市土城區延壽路75巷16弄3號,31.8,15,12,1.4188827245575537,0.4887529796905306,182.0
富貴園,新北市土城區永豐路202巷號,29.2,30,17,1.9750425750336256,0.1576991992794032,114.0
一品尊爵,新北市土城區福安街106號,30.5,16,17,3.443891090158951,0.9349893673837586,67.0
峰廷街56號華廈,新北市土城區峰廷街56號,27.6,11,15,1.991408837550026,0.5482335561960036,89.0
權泰民安街7號華廈,新北市土城區民安街7號,29.5,9,17,3.042662320711461,0.8696909693203583,72.0
