建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
新店富寓,新北市新店區櫻花街131號,23.1,4,32,6.13373058565578,0.0584719648237956,6.0
綠野香坡,新北市新店區安祥路111號,17.8,30,33,2.873936591566685,1.207877903983695,22.0
美之城,新北市新店區永業路61巷293號,31.6,41,20,2.334342297096655,0.812389909434095,316.0
湖畔小鎮,新北市新店區屈尺路161號,33.1,1,34,6.056066022871789,0.4896588444304722,4.0
星殿,新北市新店區國校路47號,23.3,32,21,2.408887536006613,0.2162487484273685,398.0
中興北新天下,新北市新店區中興路二段91巷10號,46.0,34,29,1.1189134293916887,0.2332933825688328,595.0
中正庭園,新北市新店區二十張路105巷號,41.0,34,25,0.2923735071485775,0.1499108991154189,860.0
新生新居,新北市新店區新生街18巷13號,53.9,12,28,1.1608569808140274,0.4350534740713233,594.0
錦秀,新北市新店區錦秀路59號,16.6,35,34,2.757923372705441,1.239363908239817,10.0
潤泰華城 電梯生態宅,新北市新店區禾豐二路62巷1號,50.3,24,25,2.5003883319497646,1.8786318403728848,0.0
耕莘庭園,新北市新店區二十張路64號,9.7,37,25,0.3004553357402016,0.2491856559603875,819.0
美景村,新北市新店區建國路293巷1號,33.6,36,23,0.0943670543306254,0.4261218220626966,1080.0
青山鎮二期四季特區,新北市新店區青山路250號,58.4,11,20,1.3460711042289948,0.1963178127520616,7.0
林園,新北市新店區寶興路61巷10號,36.3,34,27,1.602228971767357,0.6770163194618602,282.0
臺大華城,新北市新店區華城路6號,37.4,13,17,1.8663761314547245,1.009160564546458,337.0
安華國宅,新北市新店區中正路307巷23號,56.4,14,27,0.3361392840316078,0.2048922747029025,646.0
國園,新北市新店區北宜路一段105巷22號,25.8,41,22,2.324764464665152,0.1928975482577233,421.0
鼎泰福村,新北市新店區自立街130巷10號,39.2,40,26,0.2455844344834454,0.2942111492365071,807.0
首府林園,新北市新店區中正路302巷5弄號,36.5,34,27,0.2257659046717126,0.1906385365607979,899.0
華城路2-1號華廈,新北市新店區華城路2號之1,25.3,10,17,1.8581816120961936,0.9775206525487689,350.0
翠綠家園,新北市新店區北宜路二段56巷3弄2號,21.5,36,25,3.156596143065534,0.3800700443041319,33.0
國泰三育新村公寓,新北市新店區中正路117巷2號,45.8,42,29,0.8585195023124441,0.2664607755963651,648.0
崇光新村,新北市新店區三民路29巷2弄1號,39.1,40,28,0.7727879018205489,0.2489246030672521,659.0
國園新城,新北市新店區德正街27巷29弄號,34.3,39,30,1.0422447731368751,0.1292957214703155,647.0
