建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
莊敬華園,新北市板橋區莊敬路107號,59.5,36,8,0.4552749162366479,0.0966294122103949,657.0
全家福,新北市板橋區雨農路6號,8.0,35,8,0.503834886672281,0.0897459814986774,416.0
信義龍門,新北市板橋區和平路6巷2弄8號,20.3,33,13,0.6572647030180448,0.3666321924527327,309.0
懷翠庭園,新北市板橋區懷德街181巷27號,34.1,35,9,1.914850019968792,0.3367958758251117,436.0
靜巷,新北市板橋區實踐路65巷6號,39.8,18,6,0.632674848513237,0.2752232559689679,672.0
大仁富貴居,新北市板橋區大仁街110巷12弄13號,14.3,25,8,0.3192799208855249,0.3078133167592123,294.0
幸福苑,新北市板橋區實踐路124號,31.5,37,8,0.428583345169308,0.0984439369829809,541.0
光華榕園,新北市板橋區光華街19巷36號,39.5,17,10,0.6299157519329999,0.4263921934775372,422.0
富豪,新北市板橋區中山路二段372巷10號,35.5,33,8,2.475306259122973,0.4144473592329716,750.0
懷翠庭園甲區,新北市板橋區懷德街183號,34.7,34,9,2.0076405314769423,0.2440589863562665,450.0
凱旋城公寓,新北市板橋區實踐路106號,32.6,37,7,0.4811479788322371,0.13142107678724,614.0
中央公園A區,新北市板橋區篤行路三段78號,28.0,22,7,0.6880387618192984,0.4914913584390828,922.0
金華名園,新北市板橋區金華街1號,25.9,35,8,0.3704362931812511,0.2648820369812882,306.0
民族,新北市板橋區漢生東路312號,45.6,43,5,1.3700446048962347,0.0278576741889442,626.0
幸福名宮,新北市板橋區文聖街149巷23弄10號,36.7,33,9,2.062112731609031,0.2074715427779031,487.0
