建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
麗朵,新北市汐止區水源路二段154巷7號,28.9,2,8,2.1076690739245203,0.7876955386182478,49.0
瓏山林,新北市汐止區忠三街14巷號,22.6,32,17,3.426926658134404,0.8542270162375519,90.0
歐洲聯邦,新北市汐止區秀山路112巷11號,25.8,25,9,2.013430662253356,1.032117170630699,15.0
長青山莊,新北市汐止區長青路183號之4,22.1,26,24,3.6154138466979737,2.713944198049452,8.0
伯爵山莊五代,新北市汐止區伯爵街35巷11號,25.5,33,9,2.355413236563614,1.2498036374567123,35.0
凱旋大地九期花園城堡百合區,新北市汐止區汐萬路一段418巷1弄24號,23.1,23,7,1.3066213783406702,1.2399861640478191,17.0
中研A+,新北市汐止區東勢街201巷129弄75號,34.7,5,14,5.191492195885136,1.3352222466024009,9.0
博市,新北市汐止區伯爵街92巷72號,17.9,26,10,2.707244268916708,1.044278223725771,15.0
凱旋大地,新北市汐止區康寧街885巷42號,25.4,23,7,1.1793631818227202,1.1899336105254177,21.0
東方湖山村,新北市汐止區招商街21號,25.8,32,5,0.7527411945746013,0.2651965042427796,157.0
秀峰家園,新北市汐止區福安街20巷號,31.5,33,5,0.9068550569137724,0.1692064227216047,267.0
榮耀伯爵,新北市汐止區伯爵街70號,23.4,24,10,2.633400270735841,0.9769696709170276,11.0
東城匯,新北市汐止區汐萬路一段83號,33.0,9,3,0.7310141789072583,0.3522711759997092,265.0
美麗湖畔,新北市汐止區湖東街5巷11號,32.3,33,10,2.7416321751803765,0.8145707230557241,147.0
經典伯爵二期,新北市汐止區伯爵街95巷1號,24.4,14,11,2.7751689857374204,1.03574559233345,12.0
伯爵山莊樂利苑,新北市汐止區伯爵街2巷11號,16.6,32,11,2.2835219698089952,1.2995588494764263,24.0
皇家林園,新北市汐止區民族五街52號,34.9,33,15,3.287610481690248,0.2809956417175228,179.0
椿城福第,新北市汐止區光明街10號,29.9,28,1,0.4184478187936574,0.3176503648189587,262.0
東隆凱悅,新北市汐止區汐萬路一段115巷34號,20.5,24,3,0.8218516683181091,0.3895132469760593,240.0
