建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
建築金典,新北市蘆洲區長興路50巷16號,34.5,19,20,1.131097122256693,0.1400853040218461,463.0
宏盛大樓,新北市蘆洲區信義路222巷57號,32.1,25,19,0.661559322436778,0.4529216724537721,493.0
台北新天母,新北市蘆洲區光明路112巷29弄11號,37.9,19,22,1.3312086446736835,0.2300893135386925,450.0
高昇家園,新北市蘆洲區長興路315號,27.6,18,22,4.716313745566672,0.161447632679123,293.0
台英一期,新北市蘆洲區中原路12巷21號,16.7,18,20,4.085628648750833,0.3145583874153601,366.0
忠義家園,新北市蘆洲區長榮路19號,33.0,17,19,1.2322848241024282,0.3166005554253092,385.0
幸福長安,新北市蘆洲區長安街102巷51號,32.1,23,20,1.3523145789545354,0.3741245019585057,359.0
長虹家園,新北市蘆洲區中原路16號之2,37.0,17,20,4.0484285779467655,0.3219970175153632,360.0
光榮雅寓,新北市蘆洲區光榮路61巷5號,53.3,15,22,4.584495568830888,0.2644090336941401,333.0
光華經典,新北市蘆洲區光華路175巷48號,35.7,17,19,1.0515107217631516,0.4728078213954316,363.0
德揚大樓,新北市蘆洲區長興路50巷35號,34.5,18,20,1.1492047373506256,0.121541324081309,469.0
光明,新北市蘆洲區光明路50巷26號,38.2,19,22,1.4530694206990853,0.20690919742023,404.0
