建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
福利旺A,新北市三峽區大同路240巷47號,27.0,27,25,1.251460795999062,0.2375874069376969,59.0
福利旺B,新北市三峽區大同路280號,22.1,27,26,1.3234371042953557,0.337685897059834,37.0
曉學堂,新北市三峽區光明路75巷10號,25.0,6,26,0.3359469909406492,0.254219744123104,124.0
玄泰永鈺,新北市三峽區和平街36巷7弄3號,35.2,13,22,0.760420197719843,0.2525851329129671,357.0
三峽皇都,新北市三峽區國光街14號,20.2,33,25,0.752516355318245,0.3195216239975909,431.0
光明路75巷華廈,新北市三峽區大同路39巷11號,18.7,25,27,0.3641451638953702,0.2780464751550656,108.0
薇多綠雅A,新北市三峽區二鬮路110巷40號,16.4,28,32,3.111845087167125,0.8518879865858887,20.0
樂河郡No.12-豐賦,新北市三峽區民生街1巷,31.2,1,25,0.5218299721634557,0.5413206655589792,287.0
富莊,新北市三峽區光明路75巷34號,25.3,27,26,0.2593610005347947,0.1707437646480948,122.0
双喜臨門,新北市三峽區學勤路103號,23.8,18,20,1.4969256557506443,0.2459823208267915,568.0
峽觀,新北市三峽區光明路31號,31.3,10,25,0.5321158255862746,0.0619343786554026,212.0
園峰,新北市三峽區中山路106巷36號,30.1,7,21,0.283499121842519,0.2436487356574624,273.0
台北理想家,新北市三峽區長泰街45號,25.7,28,24,0.207081024473044,0.3071919266203308,188.0
金別墅東區,新北市三峽區國光街326號,32.5,24,24,0.9396518186571002,0.1146238244643838,567.0
北大綠園道,新北市三峽區三樹路222巷135號,29.2,13,23,1.5748798752951143,0.67965064618604,328.0
永安華廈,新北市三峽區永安街5號,22.8,25,26,0.0885182333293464,0.0711956328136064,157.0
旺族名邸,新北市三峽區中園街126號之14,22.9,17,25,1.4825186336140628,0.6240332662111157,26.0
台北大學城富貴區,新北市三峽區國光街350巷13號,22.5,23,24,0.8860507783062105,0.1950114310500399,569.0
北大理想家,新北市三峽區三樹路222巷254弄13號,18.1,17,20,2.039868518984012,1.0531470956850508,34.0
台北新市民,新北市三峽區紫新路47號,11.7,27,32,6.318620430351635,0.4719751655658852,11.0
滿築,新北市三峽區國際一街66號,34.0,9,23,1.030846403303313,0.0790421522609455,636.0
寧靜社區,新北市三峽區介壽路一段276巷108弄19號,20.7,27,26,0.3633753274404991,0.2631806744402861,52.0
碧城秀墅第貳期,新北市三峽區大學路66號,29.4,15,22,1.235656912821084,0.0001049322004927,663.0
公園家,新北市三峽區永安街143號,21.5,24,26,0.5391833759123906,0.1998814688182619,171.0
荷堤,新北市三峽區介壽路一段1號,21.2,17,24,0.7535253516889128,0.7551962509096545,24.0
薇多綠雅B,新北市三峽區二鬮路136巷43號,17.9,28,30,3.185488452096505,0.7964848287471263,19.0
龍田大地,新北市三峽區介壽路三段200巷2弄10號,20.1,28,20,2.941948932782493,1.2096493078611947,19.0
