建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
牽手,新北市三芝區忠孝街108號,11.2,25,61,13.04838392589098,0.4280861274009408,96.0
聯邦薪願,新北市三芝區中興街二段42巷10號,13.7,26,60,12.878092923564138,0.2958379746010332,90.0
薪水居易公園特區,新北市三芝區三民街16號,11.2,26,61,13.223266586533155,0.2714101395691851,97.0
三芝米蘭,新北市三芝區三民街41號,11.1,25,61,13.158619293805064,0.3375704282800004,96.0
圓興居,新北市三芝區忠孝街51號,7.4,27,60,12.968092220977017,0.490713472541017,97.0
龍大地,新北市三芝區中興街一段33號,10.5,28,59,13.173616042407406,0.4110922676164491,91.0
摩登家庭,新北市三芝區忠孝街1號之11,11.3,26,61,13.045139588232235,0.4218222378218779,95.0
真龍天子,新北市三芝區中正路三段15號,10.3,28,58,12.64859415518939,0.4593835866145684,98.0
淺水灣夏日行宮A區,新北市三芝區芝麻五街10號,18.5,26,56,5.374506581777782,2.101264500052196,19.0
麗景特區,新北市三芝區中興街一段號,9.3,27,59,13.187657684407537,0.4095224424408514,91.0
美家園,新北市三芝區三民街1號,11.4,30,62,13.09750288717224,0.2727997727622335,98.0
金地主,新北市三芝區中山路一段9巷號,11.0,28,59,13.23366503510676,0.2223994895734451,93.0
立聯中興街二段華廈,新北市三芝區中興街二段109號,10.4,27,59,12.835764014660976,0.3597944593144596,90.0
賜福天第,新北市三芝區長春街10號,9.2,27,60,13.034887802238366,0.1627397142960121,93.0
富貴人生,新北市三芝區中興街二段2號,7.7,28,59,13.018544390453387,0.3230501533259169,90.0
龍大地二期,新北市三芝區中興街一段28號,10.2,28,59,13.1597725907798,0.3817971033852403,91.0
