建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
集美樹,新北市三重區環河南路208號,53.7,3,9,0.9061536332806585,0.432497996968202,386.0
新公園賞,新北市三重區集勇街51號,49.7,15,19,0.9853181313773618,0.4611307929486645,442.0
新北雙子星大廈,新北市三重區永福街72巷15號,38.8,13,18,0.7111864666963059,0.0658308402830844,324.0
幸福榜首,新北市三重區力行路二段136巷31號,38.3,5,17,0.8793127797001848,0.1788593585505062,286.0
凱撒天下,新北市三重區忠孝路二段51號,40.3,33,16,1.2479280828076051,0.4223290037180354,521.0
閱河,新北市三重區環河北路三段56號,54.5,15,15,2.703542558502082,0.6017238696265017,125.0
緣夢園,新北市三重區永福街211巷2弄11號,37.1,26,16,0.9902939259183934,0.3480920589747103,288.0
如意華廈,新北市三重區中正北路57號,37.3,42,11,0.2507456412067786,0.1740505426665494,976.0
宏福白宮,新北市三重區名源街36號,37.2,33,10,0.8311916888118249,0.6644648296592952,231.0
兢栈,新北市三重區成功路33號,54.0,6,13,1.0958648281165722,0.5495785384810544,253.0
中正御品A棟,新北市三重區集美街247巷15號,29.1,26,8,0.6857400925658893,0.2071004315560758,478.0
民生華廈,新北市三重區六張街126巷18號,36.7,24,15,0.1811237647219703,0.4468867739671541,1025.0
仁愛大廈,新北市三重區仁愛街208號,26.3,28,17,1.7443203641017062,0.6838591458042371,545.0
仁愛誠品,新北市三重區仁愛街141巷21號,36.8,16,15,1.4776019207715558,0.5606171473362318,542.0
台北豪邁,新北市三重區中興北街150巷8號,37.0,28,15,1.7333925115653206,0.4415202292245794,121.0
湯城園區,新北市三重區重新路五段609巷10號,29.4,31,14,0.1636091896640845,0.3921196857823111,117.0
御品,新北市三重區永福街281號,37.3,26,15,1.1006399485498044,0.3883197645151147,356.0
博覽家B區,新北市三重區成功路50巷24號,57.5,21,10,1.2355450396347565,0.6926267565666896,216.0
龍濱路199-1號華廈,新北市三重區龍濱路199號之1,37.8,31,14,0.985223536682117,0.097932707911074,742.0
