建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
大三園,新北市中和區自立路31號,46.5,28,23,1.6970961355653502,0.0685189463736913,230.0
霧之橘,新北市中和區南山路72號,51.6,24,16,0.7571353863335152,0.441619989315527,968.0
潤泰曉山青,新北市中和區圓通路367巷33弄135號,36.5,13,19,0.9403117804544756,0.769207583060902,50.0
茵悅花園,新北市中和區圓通路335巷33弄33號,32.7,16,16,0.4252395212664237,0.476046563552509,205.0
秀峰苑,新北市中和區景平路51號,55.0,7,22,1.4463658127262984,0.5226856152299574,211.0
華夏耶魯,新北市中和區華新街143巷46號,30.8,16,20,1.886944027862524,0.0890778039269259,90.0
一見鍾情,新北市中和區景新街496巷17號,36.5,26,15,2.110008063337132,0.3932630693562834,244.0
鳳凰城,新北市中和區圓通路369巷195號,25.2,24,19,1.282630633219196,0.9063859319358728,16.0
宜安天廈,新北市中和區宜安路124號,50.1,35,14,1.2324230345534883,0.6099750910617016,665.0
秀山新天母大樓,新北市中和區大智街109巷15號,39.2,31,24,1.4354979288222578,0.3352354974499081,196.0
城市經典,新北市中和區安平路82號,54.8,30,13,1.4009468702403014,0.8105662458141221,587.0
龍城大廈,新北市中和區四維街32號,36.6,27,15,2.022738820133409,0.3164435219925309,256.0
蒔築,新北市中和區自立路16巷5號,61.9,5,25,1.616449193003132,0.1824234386006976,229.0
伯爵大第,新北市中和區忠孝街58巷16弄15號,30.1,31,18,2.1680845714713155,0.472194079831273,200.0
欣象城,新北市中和區中正路839巷10號,31.8,29,11,1.4526212814572483,0.424552398336589,292.0
伯爵花園,新北市中和區圓通路367巷33弄6號之1,20.8,25,17,0.8189985706294214,0.67677753280025,44.0
秀山及第,新北市中和區自強路50號,44.1,29,24,1.8312827174620552,0.1251646893528464,306.0
景德華廈,新北市中和區景德街91號,41.5,28,15,2.031467438896034,0.1933168372527236,336.0
維多利亞,新北市中和區復興路274巷20號,44.8,28,15,0.9548135095172144,0.1987595322587282,637.0
弘暉新富,新北市中和區景新街34巷2弄5號,55.2,9,15,0.549739401362158,0.1586872808977116,1065.0
秀山麗景,新北市中和區自強路20號,59.7,10,24,1.8130319825437289,0.0593208289668549,303.0
安邦綠苑乙區,新北市中和區連勝街87號,40.1,12,14,0.4607408964242887,0.5594854798504417,1011.0
滿福堡,新北市中和區員山路387巷8號,31.4,27,12,1.7102589657390084,0.2950131537164991,304.0
基玉,新北市中和區國光街203號,37.0,9,9,0.6731002606983366,0.3554625528063542,440.0
旺角華廈,新北市中和區中和路42號,46.0,17,16,0.1933390509035329,0.1882485925451795,1013.0
凱旋門(華福街),新北市中和區華福街4巷16號,47.1,13,12,0.8274335597733616,0.3382040038563982,270.0
摘星,新北市中和區中興街180巷26號,46.0,4,17,0.6585627535337044,0.3123484861861493,435.0
雙和新秀,新北市中和區自立路99巷36弄17號,39.2,29,23,1.4237662208433617,0.3304871496314472,194.0
禮運大同,新北市中和區安和路109號,47.3,24,13,1.067913396515857,0.630714169932559,853.0
永興居,新北市中和區興南路一段34巷2號,49.1,22,12,1.7007687007731374,0.5119566578454228,495.0
保健路48巷華廈,新北市中和區保健路48巷79號,49.8,6,13,1.2678613810056454,0.5245726421023544,662.0
荷園,新北市中和區民享街251號,31.7,16,11,1.3494294346312798,0.2288677332074367,196.0
潤泰一品,新北市中和區圓通路256號,31.6,23,16,0.1806502860604035,0.2496030272358657,382.0
大七喜大廈特區,新北市中和區員山路148巷23弄6號,33.7,26,13,1.2631858245229632,0.1892581875515369,236.0
基泰和里ABC棟,新北市中和區自立路30號,57.0,24,24,1.485928784419155,0.2911534899475279,207.0
正定華廈,新北市中和區景新街399巷13號,34.0,32,14,0.0676125139793974,0.2840077651337309,340.0
蒙特利,新北市中和區景平路362號,45.7,31,11,1.6175688484515287,0.4349382470086363,542.0
景安住邑,新北市中和區中興街37號,50.3,4,14,0.7741563450981778,0.5324262531096458,881.0
雙和新城,新北市中和區圓通路198巷6號,48.8,22,14,0.3125436052855462,0.4555982044979034,936.0
愛丁寶華廈,新北市中和區南工路124號,48.1,15,18,0.9240149505211764,0.2761863603585209,683.0
中興萬科隆,新北市中和區中山路三段118號之21,43.1,28,9,1.6939565212711212,0.4348172566096711,529.0
南山華廈,新北市中和區南山路176號之1,42.2,23,14,1.1890110898657371,0.3675094927559859,613.0
六合家園,新北市中和區安樂路143巷20號,55.1,25,14,1.574717602002114,0.8021338370974167,470.0
民享雅築,新北市中和區民享街11號,40.5,26,8,1.4931225663740784,0.5265152287403001,320.0
樂鼎皇築,新北市中和區南山路240號,39.7,22,15,1.4043708133384387,0.3789076225468438,490.0
甜蕃茄,新北市中和區安平路36巷11號,47.7,26,12,1.403581111717944,0.4159865235137496,614.0
百順香榭,新北市中和區圓通路158巷8號,31.2,24,16,0.6113069514598038,0.5342961238968225,990.0
沐青の靜,新北市中和區華新街143巷69號,45.6,5,20,1.9958200126865475,0.2070546229215077,77.0
自強大廈,新北市中和區景平路323號,29.7,41,12,1.226067674572132,0.5592197821167468,744.0
金龍世紀,新北市中和區建康路270號,35.5,11,12,0.5912051154661284,0.8243782348267412,865.0
凱旋門大廈,新北市中和區景德街95號之8,52.2,15,15,2.032221864842838,0.1908084224326744,336.0
速佩佳庭,新北市中和區圓通路405號,45.6,24,15,0.5706486235982363,0.0865321624484532,150.0
柏園,新北市中和區大觀路三段160巷36號,31.0,28,5,0.9144350897534956,0.4503883813052144,594.0
銀河華園,新北市中和區永和路128巷10號,30.4,34,13,0.5425900793512051,0.8426521549046869,601.0
米蘭春天,新北市中和區工專路125號,36.2,22,20,2.10496858072218,0.2703773989772,92.0
員山富邑,新北市中和區連城路456巷29號,43.7,21,15,1.5075905179530988,0.0963566335991806,173.0
四季花鄉,新北市中和區南華路26號,59.0,23,15,0.8299013604074523,0.4812393904424878,980.0
松園天廈,新北市中和區中興街132號,16.4,31,15,0.6247666594400394,0.3622205834429263,692.0
磐石樓,新北市中和區忠孝街26巷55號,34.8,22,19,2.166955053583769,0.498104030020861,189.0
弘暉雅筑,新北市中和區中興街161巷12號,39.4,4,16,0.8148986280662813,0.1369004571959247,579.0
大七喜大廈B區,新北市中和區員山路148巷23弄30號,33.8,26,13,1.2803502980668378,0.1462351746215136,244.0
名人花園廣場,新北市中和區民享街44巷8號,37.5,33,9,1.3532276598643018,0.5181644999778993,257.0
景德宇大廈,新北市中和區景德街95號之1,44.2,12,15,2.032221864842838,0.1908084224326744,336.0
宜安家園,新北市中和區宜安路49號,48.7,26,13,1.447887150331752,0.8461161406978868,561.0
任遠捷座,新北市中和區景平路159巷1號,36.6,27,14,1.7997157425905674,0.4118551543201877,422.0
安和景新,新北市中和區景新街295巷16號,54.3,11,12,1.5880233817437417,0.3947859710529546,555.0
元帥金典,新北市中和區和城路一段529號,32.7,10,14,1.2394834346402357,0.3280114548486464,163.0
雲台新城,新北市中和區連城路127巷32號,40.7,22,17,0.4760921610792861,0.5301587090199432,1013.0
中正工業,新北市中和區中正路752號,25.8,34,10,1.0777300909644978,0.3353896012175577,273.0
