建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
幸福我家二期,新北市五股區水碓一路1號,35.1,8,20,1.4844326238515593,0.2090060364276841,70.0
佳陞音樂會,新北市五股區西雲路112號,30.8,18,22,0.2766633962385453,0.9543158589389654,68.0
微美嵐,新北市五股區御史路60號,32.4,4,21,1.1081641367157826,1.0818179606170673,73.0
德音家康,新北市五股區水碓路10號,23.7,27,20,1.477874414428067,0.0781062117347073,72.0
竣騰金站,新北市五股區凌雲路一段116巷2弄1號,25.0,7,22,2.579405681421775,0.2764266480374376,77.0
台北愛家B區,新北市五股區五福路14巷27號,21.2,29,20,0.5476861721749624,0.6678129736128438,96.0
心天畝,新北市五股區水碓七路5號,27.2,2,22,1.8037630653320709,0.6060798340196781,76.0
觀景樓,新北市五股區登林路79號,24.0,28,21,1.9668721341495867,0.5916860170086927,80.0
綠林大道,新北市五股區西雲路185巷1弄2號,17.9,28,23,0.2040841813864836,0.5480508468265546,107.0
力業成家,新北市五股區成泰路三段577巷80弄96號,28.0,6,23,2.430803163736732,0.5831783713569043,60.0
小宅革命A區,新北市五股區水碓五路10號,40.2,5,21,1.8751196574894773,0.6173833546394434,80.0
山水豪景,新北市五股區水碓路16巷1號,30.9,26,21,1.451269404181765,0.1256953136617432,71.0
小宅革命B區,新北市五股區水碓五路7號,34.7,5,21,1.937025657732976,0.6293602579134835,79.0
幸福我家,新北市五股區自強路70號,30.0,10,19,1.417969612921472,0.026641263687186,70.0
台北夢公園,新北市五股區水碓路12號,30.3,28,20,1.471824280684057,0.0951500507530855,72.0
五股鄉圓山御花園,新北市五股區西雲路63號,31.7,28,20,0.4418432848515453,1.1495238913536705,96.0
錦里花園,新北市五股區五福路142號,32.5,12,22,0.9820900657231202,0.9824863224514802,54.0
吉峻星宇,新北市五股區成泰路一段189巷52號,28.5,3,20,1.12961784563195,0.2032286803821252,68.0
松林福星,新北市五股區御史路74號,26.5,30,21,1.1162625209062076,1.0987553593661372,74.0
森詠,新北市五股區五福路100巷23號,29.4,6,21,0.9000962901824232,0.8992916410970523,72.0
飛翔台北,新北市五股區自強路127號,28.1,25,20,1.7740667562542909,0.3017113694695567,103.0
築樂,新北市五股區御成路20號,25.0,12,20,0.7892319121803469,1.0816486609635572,119.0
微美小丘,新北市五股區御史路80號之2,32.0,5,21,1.13545093759698,1.1278078939416056,72.0
意城,新北市五股區御史路1巷16號,28.3,4,20,0.7708879467549935,1.067054791035703,121.0
幸福啟典,新北市五股區御史路1巷93號,25.2,9,21,0.6723623596345093,0.9602882637492536,127.0
貿商二村國宅B3區,新北市五股區自強路136號,26.0,20,20,1.664355157200014,0.2510249176369311,89.0
五福臨門,新北市五股區工商路150號,26.1,25,19,0.5319569818472403,0.4718391508927803,91.0
成泰雅築公域大廈,新北市五股區成泰路一段197號,24.0,27,20,0.9777157354712634,0.1894996237614227,97.0
皇家生活,新北市五股區成泰路三段165號,23.4,31,21,0.2964311341657108,1.0296113742429518,69.0
夏綠第,新北市五股區自強路170號,30.1,6,20,1.7661509163320488,0.3010500187393219,101.0
京畿別墅BD區,新北市五股區水碓二路18號,22.8,14,21,1.6738931934647283,0.4401987659061406,75.0
貿商二村國宅社區C區,新北市五股區自強路101號,21.2,20,20,1.6671842959686236,0.236100746435286,90.0
台北新桂林,新北市五股區西雲路237號,29.4,30,23,3.0738194546864883,0.29357827400669,98.0
臻愛香榭,新北市五股區登林路86號,29.5,8,22,1.9661021476880465,0.5789535327617111,99.0
臻愛家園,新北市五股區御史路1巷75號,22.6,13,20,0.6545498052212533,0.945601844224116,127.0
德音報喜,新北市五股區水碓一路12號,26.5,24,20,1.4639914115855306,0.2428941930351993,70.0
新北產業園區二期,新北市五股區五權七路10號,22.5,31,20,1.8667950011069083,1.0692261456272183,48.0
優勝美地,新北市五股區五福路52巷11弄10號,25.4,32,21,0.7461530359265182,0.763941658037273,86.0
薪水傳奇,新北市五股區天乙路36號,26.5,25,22,2.5793068163331063,0.4893543124874612,70.0
大漢愛鄉,新北市五股區西雲路203巷10號,22.6,28,23,0.3218796002945405,0.4278830750874868,106.0
台北青年城二期,新北市五股區成泰路三段221巷24號,25.2,23,22,0.1735524133145174,0.8488509455543148,79.0
凌雲大廈,新北市五股區凌雲路一段34號,25.3,22,19,2.6056636041781265,0.1822800039496635,82.0
世紀傳家,新北市五股區成泰路三段149號,29.3,28,20,0.3403862588503022,1.0748045462098543,74.0
麗源大阪,新北市五股區西雲路189號,21.8,41,22,0.2055971902766762,0.5421507519558224,107.0
麗景生活家,新北市五股區蓬萊路4號,29.5,28,18,0.7411030400641451,0.4189085227948506,92.0
台北新佳坡大樓,新北市五股區御史路9號,24.4,20,20,0.6984987955573408,0.9972815816509052,128.0
園圃綠圃社區,新北市五股區蓬萊路6巷11號,26.9,26,19,0.6298108688730432,0.3339375048037317,95.0
築園,新北市五股區御成路31號,30.5,11,20,0.7753042036429334,1.0631451779411936,124.0
舞鼓豐收,新北市五股區民義路一段42號,27.5,17,18,0.2110580199845151,0.132429471953473,106.0
春水禾田,新北市五股區成泰路一段7巷36號之1,25.1,14,21,2.062656672321982,0.5556675138156979,127.0
綠地堡B區,新北市五股區民義路一段79號,29.6,14,19,0.3817939314025685,0.2352107162481019,100.0
長春泉,新北市五股區成泰路一段219號,29.3,23,18,0.912858870635946,0.2569505260578452,91.0
御寶二期,新北市五股區凌雲路一段134巷2號,26.5,11,22,2.597452207027412,0.2937152440848074,78.0
麗源珍品,新北市五股區民義路一段109號,13.5,21,19,0.5094904462159895,0.3935202035493248,93.0
富貴林園,新北市五股區成泰路一段241巷18號,30.3,23,18,0.5132146494514689,0.2157577392571902,96.0
慈林珍寶,新北市五股區御史路82號,20.7,17,22,1.1461392860966342,1.1273936218084564,72.0
立信貴族,新北市五股區凌雲路一段133巷36號,30.2,8,22,2.750134103527168,0.2443939680718549,82.0
綠地堡A區,新北市五股區民義路一段77號,28.8,14,19,0.393379142790974,0.2403052540673421,100.0
京華樓,新北市五股區成泰路一段8巷2號,23.5,24,19,2.042118901107513,0.5576495867314378,125.0
台北青年城一期,新北市五股區成泰路三段245巷14號,20.1,26,22,0.0751808123534578,0.771802670832369,97.0
松莊大廈,新北市五股區成泰路三段513號,21.0,30,20,2.658477786668632,0.1217790188985599,83.0
富桂林,新北市五股區天乙路16號,23.0,27,22,2.5800400553000338,0.4618553294795391,73.0
好運來,新北市五股區天乙路81號,17.6,29,23,2.530113304494434,0.6160012176434411,61.0
東坡居,新北市五股區登林路100號之3,21.1,26,22,1.9370974780081067,0.6174606264275613,84.0
隆潤金鑽,新北市五股區水碓路15號,25.9,27,20,1.4928178519503528,0.1097863068899658,71.0
五股工商大樓,新北市五股區工商路78號,17.0,28,17,0.0504545360568152,0.2899051297228955,114.0
五福雅築大廈,新北市五股區五福路59號,28.2,26,21,0.8396999942656578,0.8184467371362921,77.0
儒林晶鑽,新北市五股區成泰路二段96號,23.8,22,17,0.2676733345801916,0.0769783290935221,106.0
台北我的家,新北市五股區水碓九路63號,23.9,26,21,1.6218015638835683,0.490208565250674,70.0
大地福星,新北市五股區成泰路三段46號,22.7,29,19,0.5777465846424122,0.8808029129002045,127.0
珍寶大廈,新北市五股區成泰路三段369號,16.8,20,22,0.306606383194977,0.4361203993286609,110.0
蓬來新家,新北市五股區蓬萊路8號,22.3,28,18,0.6846547454471138,0.3826428897992593,91.0
法國宮廷,新北市五股區御成路136號,22.6,23,21,1.07784816444843,1.119751735687584,75.0
金滿意,新北市五股區御成路16號,19.6,21,20,0.7724201845251848,1.065780908811805,120.0
青山名園,新北市五股區成泰路一段189巷14號之3,19.1,27,20,0.9770516362027796,0.2093867390816101,95.0
大樹小鎮BC區,新北市五股區五福路109號,25.2,28,21,0.9458465754132284,0.9252166679949848,64.0
優利新村,新北市五股區成泰路三段543巷3號,28.5,22,23,2.5498492084708726,0.2656611442013803,77.0
台北御史園,新北市五股區御史路55號,26.3,28,21,1.0029009659962729,1.11864866285137,77.0
