建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
巴黎左岸,新北市八里區頂寮二街77號,21.8,17,28,1.7061461340111492,0.9239852956146336,15.0
八里風情二期,新北市八里區中山路一段129巷20號,20.0,30,33,6.791231463124767,0.6157313296365894,34.0
中華富邑,新北市八里區中華路二段316號,25.8,7,29,7.0262867239450815,0.1162253409299017,33.0
湯堡溫泉行館,新北市八里區訊埔路17號,25.7,14,25,7.446128362859739,0.6878109938514151,29.0
香格里拉,新北市八里區華峰二街9號,21.6,30,25,7.400482272384606,0.6009233242456345,29.0
觀之泉二期,新北市八里區龍米路二段206巷9號,25.8,13,35,5.489302806501089,1.3330291045851297,31.0
陽明山水,新北市八里區頂寮二街33號,25.3,27,28,1.6991431902092358,0.9407298201441234,15.0
愛琴海社區,新北市八里區中山路二段218號,18.9,27,31,7.056175476005376,0.350809775046957,35.0
綠意雅築大樓,新北市八里區仁愛路53號,19.3,14,31,6.9776587835512,0.7049915368708972,33.0
典藏巴黎,新北市八里區忠孝路385號,18.0,14,31,6.755986993390541,0.3289995530971555,32.0
名山水岸,新北市八里區文昌七街,22.9,1,30,6.647560817361787,0.967123695271216,29.0
觀泉一期,新北市八里區龍米路二段226巷9號,23.8,15,35,5.407854613683093,1.3736018032583286,31.0
關渡山水,新北市八里區頂寮二街89號,17.3,24,29,1.751007315864824,0.8898300044260485,15.0
關渡夏威夷,新北市八里區中山路二段181號,16.4,30,31,6.994680079791638,0.2298726053537722,34.0
仕聯華廈,新北市八里區中山路一段120號,23.7,12,33,6.470511505038869,0.1064270335724019,29.0
龍米路一段356巷華廈,新北市八里區龍米路一段356巷1號,16.8,16,29,1.886862645326448,0.3091456689079232,26.0
台北設計家,新北市八里區中山路二段257號,16.5,28,31,7.138841673084198,0.0581994618961323,32.0
富貴麗園,新北市八里區中山路二段447巷19號,13.4,20,26,7.470525463666044,0.7212757754606031,28.0
左岸布拉格,新北市八里區鄉頂寮二街25號,24.0,15,28,1.6763602342663844,0.9765769849779397,15.0
雅仕堡,新北市八里區中山路一段89號,20.0,14,34,6.5954587782335565,0.3340445077413822,31.0
山水緣,新北市八里區中山路一段268巷27號,21.7,29,31,6.849551041887491,0.4809411390282617,33.0
關渡小城,新北市八里區中山路二段209號,19.8,30,31,7.058494634829743,0.07350014032148,34.0
關渡風情,新北市八里區頂寮二街3號,17.4,27,28,1.592095433803085,1.0841513804335832,15.0
聖心校園,新北市八里區龍形五街1號,20.2,23,29,2.1335192346026526,0.058060701569681,24.0
源豐雅居,新北市八里區中山路二段496號,13.5,24,26,7.447106394619706,0.5312755140426062,29.0
一品公爵,新北市八里區龍形一街21號,18.7,30,29,1.990385819579353,0.3578641864951217,16.0
傑士堡,新北市八里區中山路一段號,19.2,16,33,6.588436764301302,0.2967636966964454,31.0
