建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
城都花園廣場,新北市土城區南天母路27號,25.5,29,20,2.0585649717333845,1.6043467851489863,11.0
捷運棧,新北市土城區學享街41號,44.5,6,13,0.5090684107778235,0.1973030201522264,203.0
聖彼得堡,新北市土城區永豐路270巷19弄1號,27.0,28,20,2.1432456459686136,0.7298204407213942,20.0
世紀經典,新北市土城區學府路一段28020號,47.4,21,12,0.4846922283331525,0.0783992704478756,208.0
甲上居,新北市土城區中央路四段321巷26號,37.0,25,19,4.6695020033824415,0.6035494396277616,33.0
國泰東方之龍B,新北市土城區延吉街253號,37.8,29,16,2.00061941119788,0.3353229269244976,115.0
四海名門,新北市土城區青雲路587巷12號,32.6,28,20,1.2524242744400929,1.2951563344562602,25.0
馬賽山莊,新北市土城區南天母路111巷3號,26.1,31,21,2.3381486039937385,1.9861682720777245,13.0
台北京城,新北市土城區金城路三段52巷46弄號,31.1,30,15,1.7716574708771906,0.29231845399681,149.0
四海名門A區,新北市土城區青雲路587巷13號,29.2,29,20,1.2460762065638693,1.2701405756321074,26.0
青年城,新北市土城區大同路37號,32.3,30,27,0.3277392636272889,0.2590275563299958,138.0
金城社區,新北市土城區明峰街32號,36.6,29,15,1.8704826174855225,0.3832847747267955,132.0
代代相傳,新北市土城區金城路三段116巷11弄號,31.8,29,16,1.8248125983998744,0.3279883389752839,126.0
健建美,新北市土城區承天路109號,30.3,24,20,2.4733398102542536,1.98208010942264,15.0
吉仕堡,新北市土城區明德路一段95號,34.5,32,17,1.0966589681519747,0.0735038490097186,116.0
維也納芳庭,新北市土城區立德路15號,39.2,32,15,0.9633024578531224,0.3484852211709374,254.0
宜家村,新北市土城區延吉街25號,32.8,29,13,1.963806492495069,0.76082454857928,80.0
溫暖人間,新北市土城區明德路一段172號,43.5,29,18,0.8815776882571621,0.4598940483006125,95.0
歐洲村一期,新北市土城區中央路二段270巷11號,38.7,27,14,0.1939305475990489,0.2943004257713866,122.0
中央公園,新北市土城區中央路三段210號之18,28.9,13,16,0.3817149540041958,0.2184650932599948,61.0
權泰景上,新北市土城區金安街11號,34.5,9,16,3.0743353858233613,0.8543391729461045,73.0
皇輝鴻,新北市土城區永安街62號,28.0,27,16,0.1612293704506252,0.3135134602219463,59.0
和平莊園,新北市土城區和平路105號,26.6,4,18,0.911210502677798,1.0548045080574922,18.0
易居,新北市土城區頂埔街42號,39.9,2,18,3.6683963592018647,0.4737235224370074,65.0
星光LV光漾,新北市土城區明德路一段291巷19號,51.5,13,19,0.8784981395469103,0.7759338157168586,73.0
捷運玫瑰,新北市土城區土城永寧路20號,32.2,16,17,0.5303424982334034,0.1347658237491688,61.0
快樂成家,新北市土城區學府路一段100號,46.8,29,16,0.6526017127267445,0.1705620982408816,251.0
巨勳雲集,新北市土城區光明街56號,48.8,7,14,0.111716872410677,0.1055599142916981,126.0
向陽山莊,新北市土城區南天母路91巷11號,30.9,30,21,2.12616014825196,1.7443770597713055,13.0
春風得意,新北市土城區延和路26號,26.1,29,14,1.5460376435659826,0.0646087913430808,205.0
南方小鎮,新北市土城區延吉街238號,28.6,30,16,1.9612466485099544,0.3193275144801081,123.0
心都匯,新北市土城區永寧路57號,27.0,6,17,0.6515508233622961,0.2653454246939534,55.0
海山新宿,新北市土城區中央路一段289號之1,40.4,11,13,0.6668283453224164,0.372298977019555,170.0
上品屋,新北市土城區中央路一段210號,31.5,26,12,0.4659971601803942,0.2659770840953428,163.0
捷運築光,新北市土城區和平路46號之1,27.8,11,16,0.3826586674539282,0.19099101148869,122.0
丞林華廈,新北市土城區學府路二段65號,40.1,5,15,0.5296812924270747,0.2398655564039719,201.0
安和,新北市土城區延和路108巷11號,34.7,29,14,1.5931473651649546,0.2623550446221673,170.0
延吉雙星二期,新北市土城區延吉街248號,29.1,27,16,1.939853409640992,0.2956429348278236,124.0
銀河巨星B棟,新北市土城區清水路316號,31.7,27,16,0.9477473507921068,0.2376864116089805,176.0
福滿門大樓,新北市土城區中正路20巷1號,41.8,28,15,0.3765101597485324,0.3416661242591292,115.0
琉園,新北市土城區德興街121號,38.7,13,14,0.584660821256887,0.2153763296246069,255.0
永寧大樓,新北市土城區中央路三段91號,25.7,27,14,0.5214414913606361,0.6706508495558108,82.0
大台北華廈,新北市土城區永豐路135巷11號,35.2,29,17,2.038032288970816,0.2194469257912886,112.0
甜蜜家園,新北市土城區學享街77號,40.8,29,13,0.522004187327996,0.0749563235907663,205.0
理城永豐路13巷華廈,新北市土城區永豐路13巷26號,43.1,7,15,1.3733128166272095,0.2378723453237496,235.0
甜蜜蜜公寓,新北市土城區中央路一段289號,36.2,25,13,0.6668283453224164,0.372298977019555,170.0
台北新境,新北市土城區青雲路49巷8號,41.1,30,16,0.709339597657576,0.2466531881313308,218.0
星光LV星辰,新北市土城區明德路一段291巷24號,37.5,13,19,0.8894457392908512,0.7848521019830144,73.0
中華新城甲基地,新北市土城區中華路二段89巷1弄1號,30.8,24,13,0.6033901151467351,0.3920287013744146,116.0
延壽路45號華廈,新北市土城區延壽路45號,37.5,6,12,1.5189427154539332,0.6085913755998231,164.0
永安華廈,新北市土城區土城裕民路92巷25弄1號,33.2,18,12,0.5572760926732326,0.1672340397725083,195.0
富園,新北市土城區金城路三段19號,39.6,13,16,1.6902973136135144,0.2647035356639323,169.0
海山贊,新北市土城區明德路二段73號,54.2,17,12,0.5456131698589435,0.1009307482683082,225.0
信義捷境,新北市土城區中央路四段165巷16號,31.1,7,21,4.005488648394393,0.1440561001018886,54.0
珍愛故鄉,新北市土城區金城路三段131巷5號,52.2,28,15,1.661149001336255,0.2531617376357699,147.0
得意人生三期,新北市土城區中央路四段185巷32弄1號,26.5,23,22,4.027832002812979,0.1442214408437332,53.0
金土,新北市土城區金城路三段186號,27.9,28,14,1.762762261234382,0.355819475723024,112.0
狀元京城二期,新北市土城區延和路89號,40.2,28,13,1.4933580109721527,0.2348918066883581,186.0
學士雅築,新北市土城區學士路65號,50.5,14,15,0.2861848377947242,0.2429512712530253,225.0
國泰東方之龍A,新北市土城區延吉街253巷32弄3號,40.5,29,17,2.096004899233247,0.2726142778774596,105.0
一品京城,新北市土城區延和路104號,41.7,29,13,1.51977630074992,0.2149315591251306,185.0
海山樂高,新北市土城區裕生路69號,44.8,13,13,0.5463305089392445,0.0961095782531009,190.0
南天母氧樂多,新北市土城區南天母路8號,32.3,26,19,2.1699904066602085,1.7332540832026977,13.0
萬年富貴,新北市土城區明德路一段107號,40.0,29,18,1.094003449388391,0.0296249702089777,110.0
田納西,新北市土城區裕民路號,35.2,33,12,0.5572760926732326,0.1672340397725083,200.0
