建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
維也納花園,新北市新莊區幸福路836號,43.6,23,17,0.1744545527015582,0.1205761485822276,438.0
中港吉第,新北市新莊區中港路261號,34.7,27,12,0.5638399483584605,0.383666764113355,557.0
台北大都心,新北市新莊區中平路198巷11號,41.0,27,17,0.1315877817228574,0.123194661606064,460.0
名人天廈,新北市新莊區中華路一段65號,35.6,33,13,0.4511010525766861,0.0429874049765326,508.0
昇陽新莊,新北市新莊區福壽街124巷號,39.2,24,12,0.9356371501342096,0.3017199254375674,380.0
富貴吉祥吉棟,新北市新莊區幸福路715巷11號,31.6,29,15,0.2774133456487124,0.3524897730409358,584.0
大富新莊,新北市新莊區化成路118號,22.1,28,11,0.4898696568253627,0.2183126358696273,152.0
紅蘋果,新北市新莊區民安西路252巷11號,37.7,25,10,1.2586429665220835,0.517633100262333,143.0
輔大世界,新北市新莊區建國一路59號,33.4,29,18,0.8810346401657155,0.5792328548341426,227.0
忠承星鑽,新北市新莊區中和街83號,37.4,22,16,0.178879332894787,0.1964316909758178,522.0
輔大吉第,新北市新莊區後港一路195號,27.8,25,19,0.763275313679952,0.7354906362757057,260.0
民安天下,新北市新莊區民安西路15號,37.9,27,12,0.7334671395278698,0.1211179076530366,361.0
智寶360＋,新北市新莊區新莊路713巷7弄1號,49.3,2,16,0.2776570147566587,0.1977072588248849,338.0
聯邦新貴族,新北市新莊區中港路519號,45.4,30,15,0.5393512957237226,0.2328953222683299,560.0
愛的世界,新北市新莊區民安西路88巷5弄10號,39.5,29,12,0.8654309415175897,0.1809901773791497,344.0
金莊一期,新北市新莊區富國路26號,31.0,24,14,1.6557484751983482,0.4225044858665012,440.0
富麗家,新北市新莊區五工二路84號,38.7,16,16,2.3062046929269164,0.1976167995966472,104.0
當代純品,新北市新莊區中平路152巷16號,40.4,23,17,0.2571628086952607,0.1741770827664515,487.0
大唐江山甲區,新北市新莊區幸福路672號,38.1,33,14,0.4131566125141286,0.4358307636870526,573.0
能富雅築大廈,新北市新莊區五工二路86巷24號,37.9,13,15,2.4040408080118367,0.1779653279814449,100.0
樂多,新北市新莊區五工一路87巷8號,48.3,5,17,2.461957930018542,0.1709054130990965,97.0
薪桂築,新北市新莊區瓊林路13號之2,28.3,17,14,0.5681308969860004,0.4808946007578262,282.0
福田皇家世界A區,新北市新莊區中華路二段230號,40.5,31,15,0.7296185251404965,0.3512933080609807,523.0
名門廣場大廈,新北市新莊區復興路一段10號,32.0,33,15,0.7486792465200145,0.2413478273658183,537.0
季園,新北市新莊區新莊路28號,43.1,24,11,0.6311175735912433,0.2374421234704902,251.0
家麒新天地,新北市新莊區新樹路517號之33,33.8,13,8,1.183769285874786,1.151786547675928,47.0
竣葉華城,新北市新莊區建安街50號,34.9,29,15,0.7696406301959422,0.2845642318406598,437.0
喜連莊,新北市新莊區中正路899巷10號,26.7,25,15,2.267027168956022,0.4093627058951097,331.0
早安新莊,新北市新莊區瓊林路2號,43.8,28,17,0.4707282669272839,0.8722099142136723,40.0
頂好京城,新北市新莊區建安街78號,38.8,26,14,0.8293526122909693,0.2535469574489738,414.0
中正路新旺巷45弄1號華廈,新北市新莊區中正路新旺巷31號,26.5,28,15,1.807781400126126,0.2101109168573704,456.0
碧綠生輝,新北市新莊區成功街28號,29.2,28,11,0.9472011213579574,0.2784879414195362,399.0
宏盛頂好,新北市新莊區建安街11號,34.4,25,20,0.7559133668637047,0.4747879859509681,418.0
喜年來,新北市新莊區中正路901號,24.7,32,15,2.297971810719274,0.4141779789056689,330.0
新豐豪邸,新北市新莊區瓊林路86號,23.9,26,16,0.2089000097794909,0.3291523399673745,194.0
中原一點紅,新北市新莊區昌平街71巷18號,33.1,27,15,0.8654652328588546,0.2910476108684752,457.0
凱旋門,新北市新莊區西盛街219巷26號,29.4,6,11,0.769627079497412,0.3986856812487332,232.0
祥安尊邸,新北市新莊區龍安路268號,25.6,27,13,1.270992664102427,0.372825128623322,407.0
平野春天,新北市新莊區中原路335號,34.6,20,16,0.5731181182332548,0.2213845224018459,309.0
宏連黃金廣場馬賽區,新北市新莊區景德路306號,33.1,29,13,0.2305441167419296,0.231975298688945,343.0
領袖花園,新北市新莊區新樹路258巷1號,29.8,15,10,0.8263342560034854,0.7230746900435394,77.0
環球富易,新北市新莊區天祥街92巷21號,31.9,23,17,1.922943632892553,0.6257807589107927,194.0
宏泰台北華府五期,新北市新莊區後港一路28巷4弄1號,38.8,32,14,0.9738679685200156,0.2931906375957581,420.0
捷運京都大廈,新北市新莊區中港路72號,34.6,17,11,0.1350914431877807,0.2289182902924542,419.0
忠承星鑽三期,新北市新莊區新莊中榮街152巷46號,40.8,18,15,0.6900841265555018,0.3187297447519032,547.0
京幸福,新北市新莊區中誠街94巷17號,36.4,13,16,0.3256313501065209,0.3796897896361822,589.0
五股工業園區,新北市新莊區五權一路1號,36.2,33,16,2.026013772064441,0.5148421040816232,106.0
峻業精典二期,新北市新莊區中華路一段116巷7號,46.6,24,13,0.5844968928321804,0.1158712555176696,525.0
薪家,新北市新莊區四維路97巷2號,28.8,26,14,1.0872969732388174,0.0548761561187439,439.0
甲子園,新北市新莊區龍安路66號之1,32.3,24,13,1.9092656333525888,0.1427594461372809,430.0
尊爵晶冠尊爵館,新北市新莊區五工三路50巷15號,37.3,6,16,2.222068910489952,0.1514709340146878,102.0
台北居易二區,新北市新莊區昌平街82巷22號,46.7,30,15,1.0493063654910024,0.2262065840144481,386.0
富國天廈,新北市新莊區裕民街18巷1號,28.0,21,14,1.598741842007713,0.3743149515033293,447.0
馨莊,新北市新莊區大觀街42巷3號之1,51.3,1,11,0.2877352289049681,0.1112995981063853,366.0
宏泰華府二期,新北市新莊區建安街123號,37.1,31,14,0.851407435953611,0.2348261779512357,416.0
東方荷蘭萊登特區,新北市新莊區中和街177號,41.6,31,17,0.1700668064005916,0.1343901038621507,483.0
豪鎮大鎮,新北市新莊區中平路200號,33.9,27,17,0.1930194009086305,0.0686559672623598,438.0
天玥,新北市新莊區五權一路12巷11號,38.1,3,17,2.0223517202957075,0.4682381989752869,108.0
天天開心,新北市新莊區龍安路280號,31.5,28,11,1.228692555018321,0.3196451293684527,398.0
麗京B區,新北市新莊區新豐街59號,54.2,17,14,0.1574281513864492,0.1658893493177474,338.0
輔大別墅,新北市新莊區中正路508巷5弄10號,32.3,27,17,0.7713817510376315,0.33583172284522,313.0
東元旺第,新北市新莊區豐年街55號,35.6,27,16,0.3911923631963837,0.3291510940178644,288.0
建義首璽,新北市新莊區思源路296巷31號,41.7,7,12,0.8498184399411255,0.5230876511706937,314.0
晶華公寓,新北市新莊區福壽街14巷10號,41.4,25,13,0.5451552887056527,0.2284343533422771,401.0
新學友,新北市新莊區龍安路451號,40.1,25,12,0.9920108041192268,0.1006277717246191,346.0
榮華富貴,新北市新莊區民安東路43巷2弄1號,22.5,28,11,0.4918513240901918,0.2255611341482742,308.0
泰隆新莊C區,新北市新莊區中榮街152巷13號,45.7,24,17,0.4664080628086057,0.2161338225085515,362.0
音樂歐洲莫札特區,新北市新莊區中港路531巷108號,47.2,19,16,0.3915959401593242,0.1470092848176758,538.0
家麒龍邑,新北市新莊區龍安路242號,28.9,21,11,1.3762457882703805,0.3611684623279828,426.0
美家,新北市新莊區五工三路78巷21號,27.1,13,17,2.2452821243751946,0.2059474929880078,102.0
