建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
阿里88,新北市板橋區實踐路128號,49.0,27,8,0.4125111513364901,0.1113628361490942,536.0
大聯盟,新北市板橋區大觀路三段133巷11號,36.3,27,7,1.0690199322190508,0.4153524595544641,384.0
林家花園廣場大廈,新北市板橋區倉後街1號,41.6,39,8,0.2474011887690289,0.4336498119050913,541.0
興頤園,新北市板橋區金門街222號,31.5,26,7,1.1012724830142375,0.0507781136860081,707.0
光復新家,新北市板橋區光復街133巷29號,20.8,24,9,2.368693302273012,0.3648182179466552,599.0
文化金都大廈,新北市板橋區文聖街42號,58.7,28,9,0.3878795483024191,0.253094738271669,446.0
新板捷境,新北市板橋區國光路233號,62.1,4,5,0.1817582287996627,0.3573283767897486,654.0
米蘭小鎮B區,新北市板橋區金門街351號,29.0,24,8,0.918801732467564,0.315009488466632,736.0
單身貴族,新北市板橋區篤行路一段37號,31.4,23,6,1.0299060502817985,0.4269841613296228,469.0
板橋仕,新北市板橋區大觀路三段50巷81號,32.2,26,6,0.7748624208382245,0.170538165118447,432.0
沅臻存德街95號華廈,新北市板橋區存德街95號,51.6,5,6,1.3265559744795536,0.2659274303680904,516.0
碧瑤江山四期,新北市板橋區金門街356號,37.1,24,8,0.822410079796816,0.4738792218361841,801.0
公園王A區,新北市板橋區溪崑二街130巷10號,42.7,24,7,0.5900028522494283,0.4788149224411366,972.0
鴻運貴族,新北市板橋區文德路46號,48.8,28,7,0.4296725181044881,0.2072103590172004,445.0
皇家尊爵大樓,新北市板橋區中正路302號,40.6,22,8,0.4228059375823073,0.2526310511209834,239.0
遠揚新世界,新北市板橋區南雅南路二段144巷10號,50.0,36,11,0.2227190855422088,0.2225693950909904,193.0
勝輝新象,新北市板橋區長江路一段208號,40.9,24,8,0.94380768565268,0.5383452776342028,211.0
永福大樓,新北市板橋區陽明街279巷號,60.2,29,9,0.4355776262064261,0.1179483329744878,376.0
府中之星,新北市板橋區景福路28號,48.8,5,8,0.4284852601979221,0.1739141513067914,586.0
松都風和區,新北市板橋區篤行路三段玉平巷101號,28.6,20,8,0.8206131088603622,0.3937021951238985,833.0
五福臨門,新北市板橋區篤行路二段136號,36.3,23,8,0.9974431645631924,0.1523916927418742,783.0
統領世界,新北市板橋區萬板路320號,41.3,33,8,2.411230266690473,0.3817971064815638,829.0
大富,新北市板橋區懷德街133號,43.2,27,9,0.6478191127911155,0.2386596848333209,447.0
富貴大廈,新北市板橋區大觀路三段160巷13號,26.7,25,5,1.0165377854530806,0.4150149245286581,554.0
文化馥都,新北市板橋區文化路二段263巷8號,53.8,22,9,0.1760060777858897,0.1470288110366656,516.0
維多利亞華廈,新北市板橋區中正路375巷42號,48.4,20,9,0.5080001675531243,0.2007734997402374,184.0
稚內吳鳳路23號華廈,新北市板橋區吳鳳路23號,61.9,14,9,0.6027758243861219,0.2842602062410109,325.0
台北芳鄰大廈,新北市板橋區文聖街211號,39.4,30,7,2.162532781780381,0.4425916466337716,674.0
站前君悅,新北市板橋區溪崑二街51號,37.5,3,5,0.9221741142108392,0.21512534287242,788.0
旺族,新北市板橋區干城路161號,28.1,30,14,1.0029512517631771,0.3494412870023289,256.0
首都天廈(三民路),新北市板橋區三民路一段1巷41號,29.6,32,6,2.216939980495576,0.5615288143210868,730.0
陽明天下,新北市板橋區文德路17號,44.0,24,7,0.4881622436775836,0.1901357623490508,447.0
馥麗,新北市板橋區篤行路三段23號,35.8,7,7,0.8928098525315059,0.1999648009656019,824.0
寶島福邸,新北市板橋區萬安街53巷22號,40.3,27,8,2.087472183940296,0.8070981817267872,608.0
太陽,新北市板橋區八德路二段211巷43號,46.4,41,9,0.6154579397114576,0.2662820297496963,2287.0
松柏名家,新北市板橋區中山路二段416巷36號,31.5,25,9,2.4010525799729883,0.406133675348981,715.0
心站地帶,新北市板橋區文化路一段311號,34.7,22,4,0.0374707860790126,0.1326957736594596,667.0
凱旋花園,新北市板橋區裕民街113號,30.9,34,9,0.4843403386916214,0.3003204036201184,207.0
陽明賞,新北市板橋區陽明街164巷2號,46.1,17,7,0.5627430909425164,0.21230548394359,460.0
玫瑰公園大富區,新北市板橋區龍泉街123號,45.9,22,9,0.0729067072188015,0.1667990886071739,273.0
民生樺廈,新北市板橋區光武街127巷10號,39.8,24,9,0.9931058477855694,0.2815044182876701,378.0
光正街67號華廈,新北市板橋區光正街61號,56.6,5,5,0.3005820977253094,0.4957478735230152,650.0
大仁首鼎,新北市板橋區大仁街110巷26號,46.4,45,9,0.3786022381133175,0.2607030953769581,243.0
松阪大府三期,新北市板橋區金門街260巷52號,38.5,12,8,0.8857952205372049,0.2438520358117762,794.0
統領新都,新北市板橋區中山路二段62號,39.5,33,5,2.0971018757923194,0.2635299471604666,940.0
文化天廈,新北市板橋區文化路一段67號,48.2,34,5,0.561546508571448,0.3061920667372214,742.0
新板御賞大廈,新北市板橋區觀光街56號之1,45.8,12,4,0.6657504478755091,0.378728703141249,1036.0
米蘭皇家,新北市板橋區大華街22號,40.5,21,6,0.2370044583249501,0.242748677751269,555.0
民生華廈,新北市板橋區重慶路287號,12.1,23,11,0.4577909180893912,0.1780783772193062,376.0
大鎮江山,新北市板橋區國慶路175號,51.2,25,12,0.6621703326743625,0.1977518618215407,291.0
民生首富,新北市板橋區民生路三段15號,63.9,34,6,0.442684462907766,0.3582557518679687,568.0
京板澤大廈,新北市板橋區南雅西路二段291號,44.5,6,8,0.4657619424327768,0.4233579339407187,263.0
捷運陽明,新北市板橋區陽明街46號,70.6,15,6,0.2440586184684373,0.1298062902801992,554.0
好運道,新北市板橋區長江路二段188號,41.7,25,9,0.6136390044844778,0.3728381348341322,276.0
板橋原宿,新北市板橋區中山路一段50巷22號,22.2,27,6,0.523771181974629,0.1414047324567084,664.0
忠孝狀元華廈,新北市板橋區忠孝路255號,41.1,14,9,0.6485390085062079,0.2205694706032425,513.0
板橋學園三期,新北市板橋區金門街號,25.4,24,7,1.498234165516816,0.2035050965079526,552.0
怡華臻藏,新北市板橋區永豐街55巷25號,42.0,9,4,2.249307004992698,0.0843475907642477,1029.0
家泰江翠綻,新北市板橋區雙十路三段10巷3號,63.8,3,9,0.1179663892654109,0.0615400732417013,474.0
心板硯,新北市板橋區中正路183巷14弄7號,49.6,8,8,0.0683345692420178,0.1041085291051313,425.0
