建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
國璽雅居,新北市林口區惠民街47號,31.2,5,26,1.317847540439792,0.3620201642176656,140.0
新生御庭大廈,新北市林口區中正路505巷5號,15.4,27,32,2.3973872263425817,0.2845108995536424,350.0
藏悅,新北市林口區文化一路一段15巷8號,30.4,8,27,0.9099334423838832,0.1019752410757607,345.0
11號公園,新北市林口區文化北路一段542巷72號,42.9,7,34,1.9410301024554664,0.3099948253150467,232.0
NEW時代,新北市林口區文化二路一段10號,39.8,18,27,0.7256679022387342,0.3963411224916384,442.0
益騏夢翔,新北市林口區中北二街51號,35.3,2,36,3.512635580668709,0.9914446070513024,54.0
日安台北大廈,新北市林口區忠孝路376巷45號,35.1,27,29,1.034182188116428,0.1867125343886498,354.0
蘭會所,新北市林口區南勢街128號,34.1,10,27,1.5441196379620232,0.4726740471841599,254.0
法國小鎮香韻區,新北市林口區仁愛路一段663號,39.4,15,32,2.6353593279648697,0.3169828485361518,316.0
森美墅,新北市林口區南勢六街257號,24.7,11,27,2.0292019943442745,0.2081817905951919,63.0
布達宮,新北市林口區文化三路二段291號,34.5,14,36,3.0247286971755125,0.764507598034958,76.0
九揚香爵大廈,新北市林口區忠孝路377號,38.5,14,30,1.185560710384045,0.3485414015609197,343.0
台北藝術家二期,新北市林口區竹林路17號,21.7,24,33,2.5820493493008687,0.423134487751683,319.0
法國小鎮香荷區,新北市林口區東湖路86號,30.0,15,33,2.368286282867628,0.3275889388660487,291.0
呈冠微風五期,新北市林口區佳林路257號,26.0,16,32,2.2299069682394728,0.1325885995533812,340.0
公園苑,新北市林口區文化三路一段393號,28.6,16,27,1.4074764878814898,0.5840229142018104,312.0
法國小鎮香林區,新北市林口區東湖路78號,33.3,15,33,2.410950675539824,0.2894270861532507,295.0
氧樂多,新北市林口區忠福路115號,34.3,1,29,1.9029149318747447,0.3593036135400491,142.0
赫世堡耶魯,新北市林口區南勢六街30巷37號,23.2,14,27,1.6278422329869706,0.313672478897214,161.0
大亨堡,新北市林口區竹林路13號,19.1,40,32,2.5401020223290223,0.4417027359040244,318.0
