建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
台北牛津,新北市樹林區復興路355號,33.6,29,5,0.26774509,0.2376797,1060
文林清境,新北市樹林區潭興街11號,43.7,26,5,0.511682145,0.080987657,604
非常容易B區,新北市樹林區保安街二段325巷16號,29.9,24,9,2.820688986,0.332749022,80
富貴名二期,新北市樹林區文化街30號,29.2,20,4,0.127893802,0.232199959,1130
碧瑤君悅菁英區,新北市樹林區樹新路273號,27.6,13,6,0.470849452,0.466894053,174
玫瑰人生,新北市樹林區光華街12號,31.6,30,7,1.300643733,0.203387538,87
非常容易C區,新北市樹林區區保安街二段325巷12號,17.6,24,9,2.814682441,0.340349562,80
漢林苑,新北市樹林區鎮前街413號,32.7,26,8,0.722084349,0.25423034,791
喆園,新北市樹林區佳園路三段248號,24.3,15,19,1.963091007,0.263757641,406
碧城秀墅一期,新北市樹林區大雅路1號,24.4,16,20,1.514876541,0.472760292,565
大學官邸,新北市樹林區學林路146號,29.5,16,20,2.089339032,0.258806642,511
金樹林,新北市樹林區博愛街75號,39.0,27,5,0.882372435,0.337943239,803
愛家親子,新北市樹林區八德街150號,24.9,23,10,0.965474197,0.413767186,747
陶園,新北市樹林區學林路66號,25.6,15,20,1.933667574,0.254371563,561
非常容易A區,新北市樹林區保安街二段325巷1號,25.0,24,9,1.559292154,0.283374414,80
財星高照,新北市樹林區大安路510號,22.2,24,7,0.667646782,0.193882768,684
山佳棧,新北市樹林區中和街20號,32.1,1,13,4.796699354,0.341738953,35
千歲伯爵,新北市樹林區千歲街49號,37.5,28,3,0.579714854,0.167917673,622
泰隆新故鄉A區,新北市樹林區太平路150巷36號,30.4,22,9,1.090045067,0.410048839,697
宏鎧甲天下,新北市樹林區光興街10號,21.4,28,9,1.669397778,0.506994245,74
竣業台北,新北市樹林區俊英街121巷9號,36.0,27,8,0.97236166,0.867300638,71
薪易城,新北市樹林區國凱街32號之1,30.9,27,10,0.956657839,0.379199032,759
京站一品,新北市樹林區中山路一段137巷7號,40.9,7,2,0.388807203,0.480952859,1008
上合院,新北市樹林區學成路707號,37.1,14,20,1.84875483,0.257031388,453
三謙釀,新北市樹林區學林路133號,36.5,9,20,2.11725695,0.261958352,509
發現之旅,新北市樹林區信和街39號之3,22.1,7,13,4.618294211,0.516424545,37
椰之墅,新北市樹林區復興路373巷1號,47.2,23,5,0.286216192,0.1850908,1085
台北富境,新北市樹林區三龍街115號,26.9,13,11,1.702267379,0.307200957,432
御花園,新北市樹林區東榮街118號,32.2,27,8,0.730369742,0.258612512,805
層峰,新北市樹林區大雅路293號,41.2,14,20,1.962335653,0.338846289,561
宏悅庭園,新北市樹林區八德街126號,29.3,26,9,0.890663619,0.368697783,797
