建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
CATCH敦南大廈,新北市永和區永利路94巷5號,45.9,14,20,0.9684861186447452,0.0760038878722623,353.0
時尚米蘭,新北市永和區自強街26號,55.5,17,18,0.4934243945948179,0.5342401559845824,473.0
中正御邸,新北市永和區永和路二段419號,47.3,9,14,0.6933692966270513,0.383109673647971,342.0
漢皇美緹,新北市永和區環河東路二段42號,54.7,2,15,0.4870008297025494,0.30273491494703,509.0
竹林名盧,新北市永和區竹林路167號,57.9,24,16,0.3307991642053173,0.3519362215924465,426.0
信義雙星,新北市永和區信義路25巷30弄9號,60.7,9,18,0.5558780310602448,0.3858676139599373,408.0
新生報,新北市永和區水源街43巷2號,39.2,40,17,0.2139518233829514,0.4756978770685048,530.0
芳鄰,新北市永和區秀朗路一段186號,39.3,26,20,0.9646731315166788,0.0765518113427242,382.0
國華商業大樓,新北市永和區中正路588號,52.7,30,17,0.5669055939076831,0.3654487655666671,452.0
凱旋門紅鑽,新北市永和區保順路33號,53.3,26,16,1.0774466067181705,0.3551658115881109,268.0
永和真善美,新北市永和區仁愛路306巷20號,52.1,21,14,0.8413324530137818,0.306424395754465,517.0
成功長堤,新北市永和區成功路一段93巷10號,42.9,27,19,1.4035973709577665,0.5807635686544038,265.0
銀河星辰,新北市永和區水源街12號,63.9,26,18,0.1432520635925634,0.4804616274484569,489.0
富貴雙星,新北市永和區永平路74號,48.8,29,17,0.6589694255949883,0.4391665036260377,484.0
富湟第二大廈,新北市永和區永貞路320號,42.9,42,19,0.1463096902902055,0.5727099113328663,483.0
復興名園,新北市永和區秀朗路二段24巷6弄1號,43.1,34,21,1.064949277145128,0.1699126336493778,333.0
永基香榭華廈,新北市永和區得和路243巷1號,44.4,34,21,1.3231557790891604,0.1090255574636201,318.0
文化伯爵,新北市永和區文化路90巷9弄15號,47.4,15,16,0.63554323745268,0.1513834993631517,339.0
幸福達人大廈,新北市永和區竹林路119巷29號,48.5,14,17,0.3516172844079535,0.1832202490637005,440.0
秀朗皇家,新北市永和區得和路160號,53.1,23,21,1.3205492355703463,0.1238906524927225,361.0
成功路二段華廈,新北市永和區成功路二段193號,37.1,31,21,1.4388811985453445,0.5802607312070883,174.0
一品門第 B棟,新北市永和區信義路25巷26號,52.0,25,17,0.512044908726726,0.3933531424245496,415.0
松柏華廈,新北市永和區中正路412巷11號,47.3,24,20,1.0588419884371223,0.1685918501848615,400.0
竹林大廈,新北市永和區自強路56號,23.2,24,24,1.810363344444844,0.1321513095684493,300.0
歐洲香榭,新北市永和區得和路51號,56.7,27,21,1.2897257639038977,0.3489906321714806,412.0
凱旋,新北市永和區永和路二段32號,52.9,48,15,0.3495539662022097,0.0872779023756325,446.0
