建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
全民住易,新北市汐止區福德一路86巷54號,44.4,24,10,0.6534756591295539,0.4466535166399962,179.0
河畔哲人,新北市汐止區新台五路一段137號,49.9,7,5,1.429245912017131,0.4098221992319497,206.0
星鑽,新北市汐止區福德二路365號,22.9,30,11,3.232361572271141,0.673310407859129,174.0
站前畫隄,新北市汐止區鄉長路一段55巷5號,32.1,14,4,0.5565914978639015,0.661923197181695,115.0
哈佛世家二期,新北市汐止區大同路二段339號,37.8,22,3,0.8109254168076037,0.1435849542740389,284.0
iCASA,新北市汐止區東勢街113號,38.0,7,12,5.346397144354077,1.394994811331438,8.0
摩登生活,新北市汐止區吉祥街11巷11號,24.2,30,8,1.087858507936732,0.3275344810283646,51.0
台北新天地A區,新北市汐止區保一街9巷1號,26.4,27,8,1.577042363028419,0.3630381260465485,31.0
世貿親家,新北市汐止區樟樹一路147號,35.0,28,9,0.323200073168097,0.1503338794341913,104.0
初韻,新北市汐止區保一街1號,25.2,8,8,1.6424110423808895,0.4520941349810876,34.0
春之霖,新北市汐止區長江街238號,17.6,27,7,0.8014421399346814,0.828526886628304,53.0
青山綠築,新北市汐止區汐萬路二段228巷18弄9號,17.8,27,10,2.2277671942323463,0.3700678820462461,13.0
湖堡,新北市汐止區湖前街60號,41.6,27,11,2.94251492140487,0.4790125140375535,156.0
東方伯爵,新北市汐止區伯爵街47巷11號,35.4,27,9,2.523276465334505,1.309913724448227,23.0
皇家翡翠,新北市汐止區東勢街201巷3號,32.0,15,13,5.32391684973213,1.470607741283345,3.0
都會巴黎,新北市汐止區福德一路39巷3弄3號,33.5,27,9,0.5395175767286284,0.3567634066419189,166.0
合家歡,新北市汐止區勤進路419巷2號,19.3,27,8,2.110975095754718,1.0345514600894874,17.0
綠園道,新北市汐止區樟樹二路330巷18號,39.9,24,9,0.604684634926775,0.4272733796406775,82.0
青松市,新北市汐止區保一街49號,29.9,23,8,1.5546786361090217,0.3702860627468059,34.0
日出山河,新北市汐止區長江街67巷2弄1號,24.0,26,5,0.4458999936692218,0.6165800367369494,218.0
平野春天,新北市汐止區福德三路10號,24.6,18,9,0.6584561773771885,0.4628192439611289,174.0
康寧郡第八代,新北市汐止區康寧街474巷1號,38.4,27,10,2.9688407825436576,0.4479960776587985,159.0
東方巴黎,新北市汐止區福德一路177巷2號,37.3,30,11,0.5698188314210656,0.3891718312589606,191.0
東湖畔,新北市汐止區湖東街36號,34.2,3,11,2.6299568412430947,0.8465578875599621,157.0
世運村,新北市汐止區勤進路143巷號,24.4,40,6,1.6037051451334707,0.5256793660360208,93.0
仁愛名爵,新北市汐止區仁愛路118號,34.8,29,5,1.0172970308249458,0.1460687109933218,233.0
天池,新北市汐止區鄉長路6巷27號,30.3,28,4,0.4710971984964587,0.6993653697662016,133.0
興富發莊園B區,新北市汐止區東勢街201巷1號,39.4,5,13,5.278960765158732,1.4267207170488982,7.0
中研山莊一期,新北市汐止區東勢街190巷9號,42.8,25,13,5.3737031973072815,1.4957174521075334,3.0
世界經貿中心,新北市汐止區大同路三段196號,12.6,28,8,1.301135820951481,0.6446145019932213,66.0
天外天,新北市汐止區瑞松街150巷20號,11.6,30,16,4.2484127735656445,1.8330842122656248,3.0
忠孝學府,新北市汐止區新台五路二段1號,46.0,24,3,0.7461561249357539,0.0985464936949365,271.0
萊茵山水,新北市汐止區汐平路二段63巷41號,13.2,28,12,4.240217885551158,0.0728134770935829,1.0
少年家,新北市汐止區樟樹二路339巷12號,33.8,25,9,0.6515514597808185,0.4787366951357066,90.0
中正華廈,新北市汐止區中正路285號,30.4,28,2,0.689380591725835,0.2094573400974263,283.0
歐鄉巴黎,新北市汐止區福德一路135號,41.8,28,10,0.5146695328464053,0.3074992561791654,178.0
E美樂地,新北市汐止區民族二街84巷6號,45.2,18,10,2.8583991064240064,0.5799853902620115,155.0
伯爵夫人,新北市汐止區伯爵街59巷13號,20.4,26,10,2.5523961224165346,1.0375662630359352,17.0
台北奇蹟,新北市汐止區福德一路203號,37.1,29,10,0.6295659956283088,0.3632199258634684,194.0
皇家帝寶,新北市汐止區仁愛路166號,40.8,17,5,0.9099118190806892,0.3709699674970378,207.0
林肯大郡金龍特區貳區,新北市汐止區汐萬路二段228巷31弄10號,12.7,28,10,2.399954372198313,0.3791561862475459,13.0
站前凱悅,新北市汐止區大同路二段653號,26.9,10,2,0.3663899532220642,0.515290141972213,156.0
中研山莊二期,新北市汐止區東勢街76巷81號,41.4,25,14,5.6645850200289685,1.632400070199823,0.0
松濤園,新北市汐止區長江街39巷20號,21.3,31,5,0.5873906630955058,0.5621403771831733,223.0
公爵大樓,新北市汐止區中興路142號,37.1,32,11,3.0051122855181807,0.0951810890905482,195.0
濱湖大城,新北市汐止區湖前街41號,39.9,27,11,2.9579007607216377,0.4567170781547728,157.0
晟興樟樹一路華廈A區,新北市汐止區樟樹一路136號,32.2,28,7,0.0717123008541109,0.1924104474384348,102.0
東京綫上,新北市汐止區長興街一段53號,31.2,3,6,1.1845469539963405,0.0410043749046907,44.0
五米新奇屋,新北市汐止區東勢街76巷51弄2號,38.7,21,14,5.546461241456327,1.475027532882898,7.0
東湖愛之屋B區,新北市汐止區康寧街91號,26.6,31,11,2.819866285829511,0.4964572733526106,332.0
昊城欣富築,新北市汐止區茄苳路286號,34.4,3,5,1.2802270685458186,0.4055028443034276,56.0
綠大地,新北市汐止區長江街79巷1號,28.5,22,5,0.4056662522998924,0.6359124300668902,201.0
向日葵,新北市汐止區忠孝東路487號,36.1,24,4,0.5092363515946295,0.5570179525086021,139.0
汐止風華,新北市汐止區國興街23巷10號,33.2,5,10,4.139410270006206,0.3799945230402614,197.0
雲品川,新北市汐止區建成路23巷38號,32.2,9,4,0.3002357207677248,0.5827714224246014,158.0
台北明珠,新北市汐止區汐萬路一段276號,19.5,26,5,1.037477234540089,0.8621812059271388,42.0
東方鴻大廈,新北市汐止區忠孝東路257號,47.4,23,3,0.5787681656414387,0.3042242721171403,228.0
活力美樂地,新北市汐止區民族二街84巷1號,50.5,18,11,2.8528161906542486,0.5763457554533954,155.0
明湖清境,新北市汐止區民族二街32巷10號,41.8,27,11,2.700723465075416,0.7404858045521684,167.0
皇福忠孝城,新北市汐止區橫科路4巷11號,39.2,30,7,3.4449381165632063,0.3485797851130208,378.0
忠孝名園,新北市汐止區橫科路18巷33弄2號,45.7,25,8,3.508943091407649,0.2793629130705605,378.0
原鄉,新北市汐止區長江街361號,22.7,28,7,1.2688590577570718,0.452532777172181,28.0
品美學D棟,新北市汐止區南興路98號,36.7,6,6,1.748127641991983,0.4508081475848603,176.0
遠東科技中心A.B棟,新北市汐止區大同路二段125號,23.9,14,6,0.9073059263097208,0.5349269455392303,231.0
馥邑名人巷,新北市汐止區中正路99巷10號,37.0,23,2,0.3678450186919658,0.3765625241290669,254.0
汐平華廈,新北市汐止區汐平路一段30號,14.5,27,8,2.0962409876572674,0.169213075843493,28.0
全民居易,新北市汐止區鄉長路一段55巷2號,30.9,16,5,0.5338921018939863,0.6870340843362982,108.0
秀峰庭,新北市汐止區仁愛路99號,39.8,21,4,1.0483221019947282,0.0435966287965135,238.0
中興綠第,新北市汐止區福德二路125巷11號,35.2,25,13,3.144613574835046,0.1807105179645849,168.0
安邑大廈,新北市汐止區福德三路95號,26.7,23,10,0.7070595188741806,0.4986033560757174,179.0
綠意青禾,新北市汐止區莊敬街29巷11號,44.9,13,6,1.3646590235898823,0.0487943636687877,237.0
富春山居,新北市汐止區康寧街753巷2弄18號,31.0,5,9,2.1726523868681067,0.9294098470770028,75.0
薄荷,新北市汐止區汐碇路16號,36.1,26,7,1.939251343596568,0.6300196502234447,149.0
君士坦丁堡,新北市汐止區宜興街9巷號,40.7,30,9,4.382161075736575,0.277931989083139,177.0
福邸龍門B區,新北市汐止區樟樹二路289號,33.3,23,9,0.5189952273031514,0.347021924184919,99.0
東築大廈,新北市汐止區福德一路160巷1號,28.6,39,11,0.5784188922358755,0.3812929965314368,186.0
東方黎明,新北市汐止區福德二路158號,43.0,28,12,3.2455440472078934,0.2815175864691575,162.0
新台北人,新北市汐止區福德二路134號,37.9,25,13,3.1629456764929174,0.2368594856641269,167.0
康福郡,新北市汐止區福德一路6號,32.2,27,9,0.5980457651011952,0.4260723656998055,169.0
東湖寧靜,新北市汐止區康寧街29號,45.9,23,12,2.609799221229194,0.3021569006724931,369.0
巨豪小築,新北市汐止區水源路二段72巷9弄1號,22.9,28,8,1.952051676795908,0.6049830793152453,124.0
東方皇第二期,新北市汐止區福德二路165號,36.1,30,13,3.167078551230425,0.2360083693331587,167.0
龍泰天廈,新北市汐止區大同路三段437號,19.2,30,7,1.7335814814413084,0.2597278513052315,42.0
仁愛綠多,新北市汐止區仁愛路154號,33.3,22,5,0.9235971606781028,0.3107551845301578,218.0
明湖麗景,新北市汐止區明峰街12號,27.1,30,9,2.6321661308775948,0.7779345815969312,165.0
東方明珠大廈二期,新北市汐止區民權街二段87號,44.9,29,8,3.7860659148974105,0.0252460648793946,298.0
新成華府,新北市汐止區樟樹二路262號,36.9,23,10,0.3604719393833369,0.1994336657653488,126.0
忠孝名門,新北市汐止區忠孝東路223號,25.0,28,4,0.6515506013146752,0.1802872412601404,259.0
長虹大鎮F區,新北市汐止區福德一路206巷40號,33.1,13,10,0.7131160401267783,0.3252075335324287,195.0
儷都臻邸,新北市汐止區樟樹二路106巷10號,40.4,27,8,0.1736713535112629,0.2260961809638064,139.0
合康晶站,新北市汐止區莊敬街29巷9弄1號,54.1,13,6,1.3683281704441912,0.0620578298937333,237.0
環瑋大地,新北市汐止區樟樹二路112號,30.8,29,9,0.1708337149218163,0.1207734590916308,143.0
仁愛學府,新北市汐止區仁愛路106巷11號,39.0,26,5,1.1309071360131877,0.1462875408959059,217.0
日達福第,新北市汐止區汐平路一段6巷12號,19.2,28,9,1.964725248199385,0.1379018250898485,30.0
汐緻,新北市汐止區忠孝東路480號,46.4,13,4,0.5205619178220642,0.5297757383699359,140.0
經典伯爵一期,新北市汐止區伯爵街53巷39號,24.4,16,11,2.647325599262829,1.223741910935246,18.0
桃李天廈桃座,新北市汐止區樟樹一路141巷1號,31.3,28,8,0.1557485182761547,0.0494689922750651,116.0
山水家園,新北市汐止區明峰街41號,35.9,29,10,2.792751642333817,0.6580191804877569,153.0
仁愛名爵A棟,新北市汐止區仁愛路號,44.5,29,5,0.9617983583530586,0.2295601030968325,233.0
