建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
明志皇家,新北市泰山區明志路一段326號,22.7,23,22,0.1382848436809592,0.2123753622009628,239.0
碧瑤山莊,新北市泰山區辭修路36巷1弄1號,33.1,32,25,2.006330987690683,0.204889576799867,237.0
君臨天下B區,新北市泰山區仁德路97巷6號,30.3,15,21,1.5502981852977764,0.4122218997317023,225.0
明智華廈,新北市泰山區明志路三段480號,22.2,29,18,1.3721079805071437,0.7044516723935478,304.0
常勝傑座,新北市泰山區明志路三段145巷8弄10號,27.7,24,21,0.5561278353308384,0.3694411945548864,184.0
新莊園,新北市泰山區新北大道七段42巷26號,30.6,15,18,1.4216581880534782,0.7608700724330572,208.0
金融天下大廈,新北市泰山區明志路一段106號,24.7,26,21,2.1224749645666656,0.3319751125764766,197.0
中山華廈,新北市泰山區新北大道六段353號,24.5,27,20,1.1300357842215365,0.7132159892914017,319.0
大漢楓江閣,新北市泰山區楓樹街15巷12號,27.4,19,21,1.9508339457233923,0.3814872458503794,201.0
同興華廈,新北市泰山區仁義路13號,28.8,13,22,1.6146361064623176,0.3639016333417404,225.0
台北儷景,新北市泰山區泰林路二段537巷11號,27.5,28,23,2.724881428219002,0.3114101130713401,69.0
藝舍,新北市泰山區忠孝街19巷3弄30號,43.1,2,23,2.40968157789631,0.1645254365112215,134.0
生活大第,新北市泰山區美寧街57巷35弄10號,31.4,31,21,2.4215759887582093,0.4012972145733586,173.0
武泰臻美,新北市泰山區明志路三段74巷35號,33.0,3,22,0.8262256565623745,0.1206549406637194,148.0
明志御賞,新北市泰山區明志路二段53號,40.4,42,21,1.3615748498242803,0.161541327544286,207.0
君臨天下C區,新北市泰山區仁德路97巷2號,30.6,15,21,1.5505679243560002,0.4117598172756719,224.0
聿昇學院,新北市泰山區中港西路486號,27.1,17,20,1.3370966408780434,0.1827018793158118,199.0
貴子狀元,新北市泰山區貴子路22號,26.2,25,21,0.6078933215284971,0.3494299327839846,160.0
仁愛一品苑,新北市泰山區仁愛路77號,35.0,7,21,1.5474476990379356,0.4192487807581866,225.0
公園臻品,新北市泰山區楓江路39號,40.2,15,20,1.902425118451804,0.3736077940696288,198.0
明志學苑,新北市泰山區工專路82巷5號,27.6,8,23,0.8196118406409784,0.0864552123835389,144.0
哈佛林園,新北市泰山區明志路二段416號,28.6,28,22,0.7707806782590673,0.2255864290889232,154.0
惇弘學府A區,新北市泰山區工專路40巷23號,31.2,3,23,0.7877593628441448,0.0662230878496254,147.0
惇弘學府B區,新北市泰山區工專路40巷22號,31.1,3,23,0.7877593628441448,0.0662230878496254,147.0
名仕園,新北市泰山區福興三街11號,31.7,19,20,1.5326755580888982,0.5228213837252451,234.0
龍豪公園賞,新北市泰山區仁愛路50號,31.0,18,22,1.5521087145158448,0.2798020399647275,222.0
台北陽光月光區,新北市泰山區仁德路51號,32.2,20,21,1.4943893696479047,0.4967339183873252,239.0
台北陽光星光區,新北市泰山區全興路85號,35.5,20,22,1.685134815819643,0.3344822685804932,236.0
幸福貴賢,新北市泰山區貴子路9巷2號,34.6,7,21,0.6253311962455426,0.3530977564142937,162.0
小泰山,新北市泰山區泰林路二段號,24.3,27,20,1.727900672821646,0.3251340817939002,231.0
五角大廈,新北市泰山區新北大道六段397號,22.9,33,19,1.2638598449378236,0.7725492932212225,306.0
台北甜心椰林,新北市泰山區工專路52號,32.9,6,23,0.811533345445191,0.0432647742058049,147.0
知築D區,新北市泰山區忠孝街19巷2弄2號,27.6,7,22,2.4121926519916976,0.2071743874481433,147.0
陽光美樂地,新北市泰山區全興路186號,32.8,19,21,1.6234898929559076,0.3619891620761176,233.0
明志秀樹,新北市泰山區明志路一段485號,33.5,20,23,1.628168308247088,0.2964676146956655,227.0
麒麟SPA,新北市泰山區仁義路222號,35.9,19,21,1.4467628093782603,0.2636790228741826,212.0
台北SUNRISE日光區,新北市泰山區仁德路100號,40.7,20,22,1.587542027418869,0.3758302867037826,231.0
峰暉金典二期,新北市泰山區福興三街26號,29.1,18,20,1.5965429297580032,0.4313117507452472,232.0
臻美公寓,新北市泰山區文化街22號,25.1,20,20,1.9876651498210736,0.4046963354934014,197.0
方圓百里,新北市泰山區明志路二段62號,44.7,29,22,1.4125535206747537,0.1948092162194337,209.0
碧瑤優賞,新北市泰山區全興路78號,33.2,15,22,1.7169631451344654,0.307585893840486,235.0
儒林書香,新北市泰山區福興三街156號,30.1,16,22,1.648027084602657,0.3352339544165173,233.0
街大歡喜,新北市泰山區全興路103號,35.5,19,21,1.5802695512259115,0.4024956303380051,234.0
哈佛水景園,新北市泰山區仁愛路6巷20號,33.6,18,21,1.3914581941904451,0.1116481868799406,210.0
儒林御園,新北市泰山區全興路25巷10號,26.4,17,22,1.7533884445279413,0.3224387942174516,238.0
富麗旺,新北市泰山區福興街36號,30.2,19,21,1.51885016483046,0.4946053855579584,237.0
肯佳知築二期,新北市泰山區忠孝街19巷1弄8號,28.8,8,22,2.4329621144603424,0.1588418242540355,141.0
台北陽光辰光區,新北市泰山區全興路81號,40.1,20,22,1.6936548206416928,0.3310935553352991,235.0
肯佳知築一期,新北市泰山區忠孝街19巷3弄11號,29.7,7,23,2.4312307517543665,0.1356864960934616,134.0
現代金典二期,新北市泰山區明志路二段60巷12號,27.4,15,22,1.494177219012443,0.149039374648641,211.0
創新世界富貴區,新北市泰山區全興路47巷36號,21.5,23,21,1.6938499254388046,0.3665915151669138,234.0
德慶翡麗,新北市泰山區明志路二段32巷1號,31.1,6,22,1.4833326087988454,0.1987418899222772,209.0
福興社區,新北市泰山區福興一街52號,32.7,20,22,1.750044915984344,0.2765441116795058,236.0
榮耀台北,新北市泰山區明志路二段60巷17號,34.8,26,22,1.4958458148386615,0.1471265270175291,211.0
金鑽,新北市泰山區楓江路127號,34.8,7,18,1.9072111378256136,0.8507968701854504,109.0
雅仕園,新北市泰山區福興三街170號,38.8,20,22,1.6776407773098,0.2882749583080781,234.0
典葳傳家,新北市泰山區明志路三段147號,28.2,43,21,0.6244438719571227,0.2912270711833443,170.0
創新世界(吉祥區),新北市泰山區泰林路二段103號,24.1,21,20,1.6375470081432466,0.4130753349449962,233.0
創新家園,新北市泰山區中央路5巷14號,22.2,22,22,0.5536306557237153,0.1957348120215538,167.0
泰山台北尊品大廈,新北市泰山區明志路三段166號,27.1,21,22,0.6821952401413846,0.2425434526628048,172.0
明志青境,新北市泰山區明志路三段142巷61號,32.0,16,23,0.7245355857637594,0.1361151485140731,155.0
優仕園領袖區,新北市泰山區仁愛路36號之1,27.4,18,22,1.5370258526543463,0.2612127337327444,223.0
晶華小築,新北市泰山區明志路二段211號,22.6,24,21,1.0342122194824324,0.3986290079464786,176.0
明志天廈,新北市泰山區明志路三段74巷24號之1,21.7,25,22,0.7603503095333306,0.1907630131572949,147.0
泰山春天,新北市泰山區明志路三段131號,37.9,24,22,0.6193188668696655,0.2870506466073904,168.0
雅庭名門,新北市泰山區忠孝街19巷3號,28.1,34,23,2.404392574597597,0.1766468017970903,139.0
台北星鑽,新北市泰山區楓樹街15巷26號,26.4,18,20,1.9742474598137287,0.3422028938665309,205.0
泰山贏座,新北市泰山區明志路一段303號,20.5,24,22,0.0956089146596644,0.2384264592461313,237.0
群賢莊二期,新北市泰山區明志路一段407巷1號,25.2,29,23,1.8428732564358872,0.1197801704360221,237.0
泰山金品,新北市泰山區同義街19號,30.1,17,22,1.7354137283079143,0.2278683212401258,234.0
大同世界,新北市泰山區明志路二段345巷1號,25.8,28,22,1.4226659942379494,0.1441005668955971,214.0
肯佳知築五期,新北市泰山區忠孝街19巷1號,30.7,4,22,2.4349953281833296,0.1757830119572655,146.0
璞園華廈,新北市泰山區福興二街72號,35.5,19,22,1.7379223131332289,0.2365336374039877,238.0
吉祥富貴,新北市泰山區仁德路67號,36.1,16,21,1.5171534368441069,0.4627887579994471,234.0
創新吉第大廈,新北市泰山區明志路一段351號,24.8,29,22,1.887983321350859,0.1504302607406182,237.0
儒林世家,新北市泰山區明志路一段352巷26弄11號,30.1,27,23,1.9893713419746608,0.1562253388676399,243.0
宏運,新北市泰山區美寧街120號,23.9,29,21,2.1545831598813248,0.353223529305378,195.0
泰山大人,新北市泰山區民生路14巷2號,25.5,26,21,1.3321643149461349,0.078918477814632,209.0
台北寶成三期,新北市泰山區楓樹街15巷13號,24.7,14,21,1.954419034544224,0.3542963013539451,202.0
公園華廈,新北市泰山區公園路11號,24.2,43,22,1.5481142699052508,0.1840259125909291,214.0
富貴春天公寓,新北市泰山區仁武街21號,31.1,19,21,1.457566192595474,0.3756470404948128,222.0
泰山麗園,新北市泰山區貴子路36巷16號,24.8,17,21,0.5615761653119791,0.347261084775569,171.0
儒林皇家,新北市泰山區福興街22號,31.1,21,21,1.5491074654400656,0.4742208942588156,235.0
聿昇高峯,新北市泰山區福興一街118號,32.2,18,22,1.801467601374176,0.1917128027452082,237.0
泰山龍門,新北市泰山區明志路三段123巷2號,25.0,23,22,0.6036380721702218,0.3022012652092861,169.0
峰暉金典,新北市泰山區福興一街81號,34.0,20,22,1.7464459848372265,0.252646584622731,235.0
龍居鄉,新北市泰山區民權街27號,23.3,28,21,1.1641055605641093,0.2626655512519101,197.0
明志天地,新北市泰山區明志路三段74巷10號,26.1,29,22,0.7213224027599786,0.237285721305249,147.0
創新銘園,新北市泰山區民國街11號,36.4,23,22,0.7178141988496968,0.23626742333636,154.0
馨園,新北市泰山區明志路二段298巷17弄2號,27.4,25,22,0.9231495796167086,0.2395329678799292,177.0
優仕園桂冠區,新北市泰山區仁武街98號,35.2,18,21,1.5260023679968078,0.2886808198157123,220.0
明志城堡,新北市泰山區明志路二段341號,17.1,28,21,0.748962748703777,0.1398419230751852,166.0
御書園,新北市泰山區仁愛路6巷4弄1號,33.0,18,21,1.4339888304196626,0.1508338775687276,212.0
台北寶成,新北市泰山區福興三街7號,30.8,17,20,1.5315109011051729,0.5231392588397616,235.0
義學名廈大廈,新北市泰山區民生路17巷2號,23.1,29,21,1.3257712517113334,0.1037139377572139,205.0
台北寶成二期,新北市泰山區仁武街139巷9號,31.0,15,21,1.4430026995577196,0.1999033096113435,213.0
