建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
益翔樂生活,新北市淡水區新春街125巷101號,26.3,3,43,1.5805142923768771,0.3160761612347035,153.0
一畝月,新北市淡水區八勢一街31巷9弄5號,28.0,10,34,4.1771153264424505,1.2246130142294342,44.0
崑益大謙,新北市淡水區八勢路50巷8弄26號,32.8,7,32,3.4940879256311224,0.5419180634222067,36.0
謙川,新北市淡水區八勢一街63巷10號,23.7,10,33,3.860317304837058,0.9234396520331626,42.0
環遊郡采迭區,新北市淡水區興福寮66巷313號,23.9,13,37,2.9302629453384106,0.4277529939689281,2.0
小大亨,新北市淡水區新春街39號,16.7,32,43,3.209293601285552,0.2461974516211388,177.0
雅筑富悅,新北市淡水區新春街97號,24.7,7,42,3.146909591037558,0.1976622187180716,171.0
學府路151號華廈,新北市淡水區學府路151號,25.9,32,39,0.5100734812843487,0.0666295528498764,807.0
六傑新春街85巷華廈,新北市淡水區新春街81號,24.9,29,42,3.141552748267714,0.2111828472387271,161.0
淡大101精英會館,新北市淡水區水源街二段92巷7號,26.7,13,38,0.8916869082845931,0.2544760816453495,505.0
淡江大富翁,新北市淡水區水源街二段177巷43弄2號,29.8,10,37,6.300936373587797,0.218574861404055,336.0
首鼎,新北市淡水區新春街85巷17號,24.5,7,42,3.074365359006175,0.2815961025731502,147.0
沐川,新北市淡水區八勢路50巷78號,39.2,10,31,3.242858379059128,0.3283413268625028,36.0
藝術學苑,新北市淡水區自立路50號,32.5,24,27,0.7863856933789385,0.2028289777875347,185.0
山水名居,新北市淡水區大忠街41巷號,18.6,27,40,0.77350724064159,0.2943765338444355,786.0
山水悅,新北市淡水區中正東路81巷6號,37.5,8,38,0.4475706750980501,0.5394953263057205,535.0
台北新歡,新北市淡水區沙崙路156巷11號,16.5,31,45,3.425758001687683,0.1405999010076029,50.0
圓鼎,新北市淡水區新春街85巷19弄23號,19.6,8,43,3.085233163571226,0.2947854484779763,144.0
山水苑,新北市淡水區水源街二段177巷45號,26.4,10,37,1.0970337445187268,0.1174442793435183,399.0
淡大菁英,新北市淡水區北新路184巷25號,23.6,17,38,1.0793555540510116,0.146541719005934,439.0
新天母大庭園,新北市淡水區自強路381號,17.6,34,29,0.6623516244603127,0.2414877006364808,204.0
香草天空薰衣草,新北市淡水區民權路3巷12弄30號,27.4,12,32,0.2634784264590832,0.4758242185225654,122.0
快樂小蝸牛,新北市淡水區北新路二段79號,16.3,27,42,5.833417500884474,0.4742635266276266,8.0
龍築大廈,新北市淡水區北新路20號,22.2,28,40,0.8465405674313311,0.2883255996116473,714.0
聖塔露琪亞和風區,新北市淡水區淡金路77巷10號,24.9,23,33,4.720606659208023,1.2725956115855732,63.0
國閎民權路華廈,新北市淡水區民權路3巷36號,39.9,5,31,0.5068523406320938,0.2776698284349923,114.0
北新路169巷華廈,新北市淡水區北新路169巷37號,21.2,29,39,6.895382515413502,0.1949913462109666,388.0
青山麗緻,新北市淡水區淡水英專路212號,25.5,18,38,0.5944532427352976,0.0222111052535277,721.0
淡大金機母,新北市淡水區北新路184巷158號,23.2,20,38,1.0332931176464455,0.1054381039106825,452.0
玄泰樂,新北市淡水區八勢一街42巷8號,29.5,11,32,3.871313999417461,0.9006119834194921,42.0
永安別墅,新北市淡水區南勢埔32巷5號,11.7,25,42,5.141210414872602,1.0497279687003525,7.0
三荷院,新北市淡水區北新路192號,29.3,13,40,6.679177871562048,0.2789041254818135,361.0
關渡我家,新北市淡水區自強路60號,24.9,25,27,0.850474194045639,0.2353947205413296,177.0
真理之星,新北市淡水區新民街222巷16號,25.0,7,42,3.3428868878887856,0.2360416836606419,185.0
半山滙B7區,新北市淡水區興福寮77巷81號,32.4,6,37,3.0676080749120453,0.6061696010480445,2.0
文化勳章,新北市淡水區文化路59巷1號,27.8,21,41,0.7250045854206973,0.190609449503739,573.0
關渡大街D區,新北市淡水區民族路112巷28號,41.1,26,28,0.4700663295000521,0.5389586780336697,172.0
台北山水,新北市淡水區民族路29巷50號,31.4,24,29,0.1362900245302044,0.7262373050210091,146.0
聖地亞哥大廈,新北市淡水區新興街19號,25.1,14,41,1.1272119521143498,0.231231731737932,392.0
來來貴族,新北市淡水區新民街21號,22.5,33,40,0.8323122894203066,0.2238842115919034,553.0
好風光I,新北市淡水區紅樹林路82號,30.8,2,34,4.598294616342324,1.5429544582104209,64.0
聖塔露琪亞春天區,新北市淡水區淡金路77巷2號,22.6,24,33,4.718049424388028,1.2800321062543178,63.0
心悅灣,新北市淡水區大同路79號,24.7,5,31,0.0478709045354711,0.8504055754185367,124.0
天馳,新北市淡水區新民街278巷19號,23.2,8,43,3.1542647805487105,0.3965073670316204,146.0
海德堡一期,新北市淡水區民族路56號,29.7,32,29,0.2317947732779088,0.6401488674995051,150.0
新春街75號華廈,新北市淡水區新春街73號,19.7,9,42,3.15915760178148,0.211585245540002,161.0
函館賞,新北市淡水區八勢路50巷19弄15號,36.9,14,31,3.356839407327742,0.5090374720535098,35.0
淡水竹圍觀邸,新北市淡水區鎮民族路12號,32.2,31,30,0.1606786640620837,0.771129783608586,132.0
飛鳳山莊,新北市淡水區北新路184巷號,17.1,27,38,1.067512457030929,0.1333550799273803,441.0
幸福社區E棟,新北市淡水區民權路177巷2號,32.5,16,29,0.2985994699896678,0.7268193046423351,136.0
曆舍紅樹林,新北市淡水區八勢一街46號,24.9,16,32,3.853442484579807,0.8762750282819871,42.0
18樂,新北市淡水區八勢一街39巷18號,26.3,7,34,4.192760710383774,1.2716573520501686,44.0
龍邸,新北市淡水區北新路98號,18.7,10,39,0.1004153331315328,0.0511264971814345,514.0
香草天空迷迭香大廈區,新北市淡水區民富街137號,37.2,12,30,0.2082872935969489,0.5779416486261189,122.0
夢想家,新北市淡水區新春街103號,18.1,8,42,3.178921490605951,0.1737041372384523,188.0
關渡站前大廈,新北市淡水區民權路187巷43號,33.5,23,28,0.5457985710258534,0.5736124045468175,164.0
淡江風華,新北市淡水區北新路169巷69弄14號,20.2,25,39,7.005201591142942,0.1532730036709636,399.0
半山滙B5區,新北市淡水區興福寮77巷113號,31.5,6,37,3.0676080749120453,0.6061696010480445,2.0
淡水新貴,新北市淡水區中正東路一段3巷16號,25.5,28,35,0.8648309576203187,0.7862253572132345,364.0
淡水人,新北市淡水區中山北路一段149巷16號,18.4,28,41,0.9074531040129626,0.3365273961716802,653.0
關渡站前B區,新北市淡水區民族路112巷68號,32.4,23,28,0.5610958908500859,0.5423632158452336,176.0
河美,新北市淡水區中正東路二段88巷37號之23,35.2,9,29,0.5539953516188751,0.3752046687853376,114.0
海闊天高天高區,新北市淡水區中正東路二段25巷2號,29.2,16,34,4.138637233365956,1.131854005230911,49.0
淡海90,新北市淡水區淡海路90號,25.5,5,44,3.520181638357734,0.1404610964724492,52.0
雅筑璞鈺,新北市淡水區沙崙路158號,20.8,4,45,3.363863043185852,0.1978511214498533,52.0
法國別墅,新北市淡水區學府路102巷139號,24.4,14,36,0.9516483331311296,0.5015772892091073,463.0
馨春居,新北市淡水區新春街37號,19.8,7,43,3.209363426188876,0.2540229039156,176.0
長磊雨青,新北市淡水區自立路46號,36.4,5,27,0.7405465302063323,0.1479955644187546,176.0
紅樹林大樓,新北市淡水區中正東路一段111巷22號,29.4,13,34,4.600273427804434,1.3773720112695935,62.0
新春晶華,新北市淡水區新春街173號,16.4,10,40,1.2502541196965435,0.3759714537562744,342.0
新春鼎園,新北市淡水區新春街53號,22.1,9,42,3.182625667256997,0.2253397917218369,168.0
淡江學園,新北市淡水區水源街二段120巷10號,22.6,28,37,0.982901167564624,0.195761827711829,440.0
櫻花村,新北市淡水區北新路三段2號,22.1,25,42,5.748599815885282,0.6143035803771929,9.0
淡江科學園區銀鑽大樓,新北市淡水區中正東路一段3巷33號,13.9,23,36,0.8907146705748075,0.7593498052867511,364.0
典藏大智,新北市淡水區大智街46巷1號,20.9,13,40,0.5163883142431216,0.1739152294269383,796.0
華生,新北市淡水區英專路116號,29.2,9,39,0.2960407606122582,0.1772580141507942,791.0
詠青田,新北市淡水區民族路152號,32.9,6,29,0.5464536517996068,0.444398203593515,182.0
雲水綠境,新北市淡水區坪頂路149號,24.2,39,35,4.219495829660734,1.7334480342609944,15.0
采風,新北市淡水區八勢二街20號,27.9,18,33,3.278016906164823,0.27351937965936,34.0
常誌家園,新北市淡水區水源街一段54號,15.9,22,39,0.2550264725841972,0.2635073553031228,784.0
正德名廈,新北市淡水區北新路111號,20.0,23,39,0.1109988262759195,0.0831483099970576,479.0
半山滙B6區A棟,新北市淡水區興福寮77巷91號,30.0,4,37,3.0676080749120453,0.6061696010480445,2.0
山水京華,新北市淡水區自強路116號之6,30.5,29,29,0.7447188000678809,0.294374445307646,209.0
淡江風情一九六,新北市淡水區北新路196號,19.9,28,37,6.701407765102755,0.2883970034582773,356.0
鴻天開極,新北市淡水區自強路307巷7號,22.6,12,29,0.7378074676620399,0.4614889988777433,190.0
山海觀,新北市淡水區八勢路一段157號,40.2,2,35,3.812126567066856,1.3080991772421429,33.0
米蘭金墩,新北市淡水區民權路187巷64號,24.7,14,28,0.5246729334188791,0.5674839462374577,168.0
淡水春天,新北市淡水區新春街85巷19弄2號,21.3,16,43,3.047794402611915,0.3259919484611435,139.0
陶然居棟,新北市淡水區新春街65巷31號,16.5,23,43,3.0866201124643857,0.3434810265183591,135.0
藍灣假期,新北市淡水區中正東路一段81巷11號,24.3,20,34,4.814045509447192,1.147729206499246,99.0
城市田莊,新北市淡水區民生路117巷42號,33.9,29,31,0.327428350175812,0.7211099234633214,144.0
麗園,新北市淡水區自強路190號,34.9,17,29,0.7373303221384285,0.1883883013629505,209.0
理學苑,新北市淡水區新民街106巷1號,29.0,14,41,1.0616625817532637,0.2004529916724607,362.0
淡水鑑賞家,新北市淡水區新興街15號,19.6,15,41,1.1687327597794803,0.3174851522781288,371.0
八勢一街31巷華廈,新北市淡水區八勢一街31巷3弄1號之1,32.0,7,33,4.078252445667837,1.1064055305747191,44.0
新水碓,新北市淡水區新興街109號,18.5,23,42,1.2125991674211751,0.133042476960581,326.0
青一色,新北市淡水區自強路309巷14號之1,37.4,6,29,0.6937489205621072,0.4224300603967552,191.0
馥品水季大樓,新北市淡水區中正東路二段143巷6弄3號,33.2,11,31,0.921097802170456,0.118824806440206,37.0
米蘭金典,新北市淡水區坪頂路55號,21.6,16,34,4.7596741451912,1.3887020772469474,59.0
半山滙B10區,新北市淡水區興福寮77巷57號,33.1,7,37,3.0676080749120453,0.6061696010480445,2.0
東來大廈,新北市淡水區中正東路61號,23.8,34,37,0.3294938052843075,0.4898090414427345,584.0
鴻運新像,新北市淡水區新民街178巷42弄10號,24.8,33,43,1.2551154665179145,0.2203309167519088,230.0
睛川,新北市淡水區自強路110號之1,27.2,9,28,1.2901550579832122,0.4745714734585534,191.0
半山滙B8區,新北市淡水區興福寮77巷75號,29.7,5,37,3.0676080749120453,0.6061696010480445,2.0
半山滙B6區B棟,新北市淡水區興福寮77巷101號,32.6,4,37,3.0676080749120453,0.6061696010480445,2.0
新閣,新北市淡水區民權路177巷43號之1,27.5,24,28,0.3555312603011716,0.6485092069533364,145.0
雄關大廈,新北市淡水區坪頂路33號,16.6,28,34,4.724893731371267,1.3478803044722134,63.0
雅筑敦品,新北市淡水區淡海路72巷10號,18.0,10,44,3.5961769550936893,0.1084013933943964,47.0
流動的饗宴A棟,新北市淡水區自強路7號,28.9,15,27,0.5210064350903655,0.0947790646997315,167.0
