建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
台北甲山林七期,新北市深坑區埔新街52號,33.8,28,21,4.740938255130203,0.2882970444724541,51.0
甲山林八期雅典世紀,新北市深坑區埔新街57號,37.8,28,21,4.730938418422236,0.2685080591598799,51.0
情趣大國A區,新北市深坑區雲鄉路號,22.9,27,22,4.76963648690377,0.4554253511996954,41.0
敦化南麓,新北市深坑區松柏街37巷1號,21.9,23,18,6.773874623339398,0.3519024312776957,21.0
萊茵河畔,新北市深坑區平埔街22巷19號,31.7,26,20,4.113312617253991,0.2775127810962725,61.0
老實小鎮,新北市深坑區北深路三段215巷13號,29.6,25,19,2.998272262420936,0.4478670072146238,67.0
青山雄觀南區,新北市深坑區深南路160號,28.1,26,17,5.837686706179638,1.606481410923281,5.0
江南園林,新北市深坑區埔新街17號,32.4,28,21,4.827813456668098,0.394425138605051,49.0
清溪,新北市深坑區埔新街80巷2號,26.3,27,22,4.631872182255272,0.1940091165461178,52.0
台北新花園麗池一期,新北市深坑區埔新街58巷13號,30.6,15,21,4.706778913855093,0.3128845069045713,52.0
凱旋門花園廣場,新北市深坑區翠谷街85號,35.3,4,21,5.762025262037098,1.3707810880157765,8.0
台北甲山林一期,新北市深坑區文化街8號,26.7,31,20,4.69761189508437,0.2292740810750271,51.0
薪水贏家,新北市深坑區雲鄉路67巷19號,17.6,29,22,4.845296045786952,0.4832437500643853,36.0
甲山林三期,新北市深坑區埔新街36號,30.7,30,21,4.782241304014729,0.3338778482143859,49.0
台北新花園康橋特區,新北市深坑區文化街84巷14號,30.7,16,21,4.473387867027731,0.1096905079676595,61.0
陽光山水秀山,新北市深坑區埔新街24號,25.9,29,21,4.807092754069945,0.3772743027735901,49.0
信義企業天下園區,新北市深坑區北深路三段151號,26.0,29,19,3.155447671273336,0.2356804426630162,78.0
自在新境,新北市深坑區北深路二段123巷5號,30.5,24,20,4.401062186015759,0.1506882043628923,61.0
寶揚綠野,新北市深坑區埔新街39號,26.9,27,21,4.7877327530384415,0.3317346565212254,49.0
台北新花園麗池二期,新北市深坑區埔新街58巷42號,28.8,14,21,4.736516716039045,0.32734081053372,51.0
情趣大國B區,新北市深坑區雲鄉路133號,20.5,27,23,4.790008248419259,0.5437162978057877,31.0
寶業碧峰樓,新北市深坑區埔新街2號,25.6,27,20,4.802079322990661,0.4141026787526517,49.0
台北新花園麗池特區三期,新北市深坑區埔新街58巷3號,39.3,14,22,4.702291360948375,0.2584009000592432,52.0
國賓春天,新北市深坑區深坑街3巷21號,40.5,17,20,4.37387642174289,0.0576934172090407,62.0
旺玖深坑街商業大樓,新北市深坑區深坑街120號,29.7,26,19,4.043087458246078,0.357298072745547,75.0
傳家廣場,新北市深坑區深坑街95號,24.7,25,20,4.112239907633642,0.2862088113673204,65.0
簪纓華廈,新北市深坑區深坑街61號,27.0,26,19,4.177432535549082,0.2224049503160601,61.0
