建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
現代金典(永安北路),新北市蘆洲區永安北路二段58巷2號,38.3,28,20,0.7389726447016206,0.5040514395608372,503.0
捷運生活家,新北市蘆洲區復興路87巷6號,37.7,16,22,0.6325246754328503,0.2902023364022255,517.0
宇宙城,新北市蘆洲區長安街10號,33.4,26,18,1.1884050986596026,0.8211934273176584,292.0
三多立溫莎宮廷,新北市蘆洲區光華路135號,29.7,24,21,0.9477456735659182,0.4247570647371429,401.0
幸福之家,新北市蘆洲區九芎街167巷10號,36.4,7,17,1.140264709224161,0.8305965804119337,282.0
櫻之細道A區,新北市蘆洲區民族路384巷1號,35.5,15,22,1.0371241894105143,0.5428501271817975,413.0
台北學院,新北市蘆洲區長興路50巷51號,38.8,19,21,1.121716618929754,0.1657917390000943,477.0
富貴世家三期,新北市蘆洲區光華路46巷34號,42.7,25,21,0.8118881880007726,0.210059084960222,459.0
成名大廈三期,新北市蘆洲區中華街31號,44.2,30,19,1.2605716728192,0.4052193030960047,353.0
薪傳我的家,新北市蘆洲區中興街125號,44.4,28,20,1.034799869772745,0.7246065176125069,378.0
仁愛多倫多,新北市蘆洲區仁愛街72號,41.1,26,23,1.432036682433325,0.2806409889801602,202.0
佳昌中興街華廈,新北市蘆洲區中興街88號,34.9,27,20,0.9918604437495488,0.6664802240831965,412.0
永樂,新北市蘆洲區永樂街31巷9號,40.5,7,20,4.403237965425129,0.2265335831931283,303.0
理想國堡,新北市蘆洲區和平路165號,30.8,15,18,0.9265379281924616,0.524425619456426,367.0
宏佳城寶B,新北市蘆洲區復興路290巷3號,30.8,28,20,0.993755655639982,0.6689482763602455,399.0
鳳禧,新北市蘆洲區水湳街31號,46.8,24,23,0.74838067076243,0.2040219315942695,497.0
登峰造極,新北市蘆洲區光華路186巷97號,33.2,15,20,1.0754560139856504,0.1949608386375555,459.0
群發福星,新北市蘆洲區長安街377號,45.8,29,21,4.41488781780072,0.2545440350309935,287.0
狀元堡,新北市蘆洲區仁愛街104號,27.8,27,23,2.876594910652458,0.3273303162365784,162.0
長榮LV,新北市蘆洲區長榮路207號,38.8,16,20,4.19898376452075,0.2795716421280654,375.0
千禧園,新北市蘆洲區民族路314巷21號,34.4,22,22,0.9792284585213276,0.6037074812938819,404.0
宏佳城寶A,新北市蘆洲區復興路290巷1弄1號,53.0,28,19,1.0090451171154091,0.6789587404985897,391.0
涵悅,新北市蘆洲區民族路316號,39.9,3,22,0.9319868438439142,0.5231674136276684,421.0
真愛密碼,新北市蘆洲區長樂路6號,45.6,20,20,1.15503282604409,0.1280067700553109,455.0
重陽御庭,新北市蘆洲區中興街66號,36.5,29,20,0.9087716662628316,0.6348867194731752,437.0
快樂八八八,新北市蘆洲區民族路336巷38號,44.3,26,21,1.053367409376446,0.6624138470612104,389.0
捷運芳鄰華廈,新北市蘆洲區光榮路101巷56號,35.9,14,24,4.902809826205386,0.1247683031685199,320.0
富貴世家,新北市蘆洲區長安街193巷41弄1號,36.4,28,19,3.74211746520446,0.541641348706544,278.0
長欣花園(二),新北市蘆洲區長興路345號,38.3,17,22,4.820553669953606,0.0956726396521978,277.0
閣福新象,新北市蘆洲區長安街268號,33.3,28,20,4.292414986702782,0.117951329356504,305.0
環球吉第,新北市蘆洲區水湳街279號,42.0,28,24,1.3774986324437613,0.1633354556799531,248.0
安蕊富邑,新北市蘆洲區光明路106巷10號,54.6,12,22,1.3925228692314096,0.22612775698297,418.0
觀山河畔,新北市蘆洲區環堤大道128號,31.1,26,20,4.355032528709794,0.2911954211781797,265.0
卡地兒,新北市蘆洲區永樂街27巷31號,49.8,19,21,0.1070767957262737,0.2399960151306243,313.0
和平花園,新北市蘆洲區和平路118巷1號,32.2,15,18,0.8103612193603602,0.5115521494076067,344.0
台北金城一期,新北市蘆洲區正和街77巷8號,35.3,23,19,0.7925323565112848,0.4302261205201331,375.0
造樹海公園華廈,新北市蘆洲區民權路3巷14弄2號,37.5,26,23,0.3548456150965249,0.106780733507032,553.0
佳昌五期,新北市蘆洲區中興街144號,37.0,30,19,1.0699406376112128,0.7486447017836079,363.0
萬有花園,新北市蘆洲區永平街51號,38.8,28,20,4.785346188761193,0.3739821429608017,236.0
中山天廈,新北市蘆洲區中山一路283號,30.8,34,17,0.4709722834595446,0.5746200576656098,393.0
我愛蘆洲,新北市蘆洲區民族路422巷48弄14號,29.9,27,21,1.2075250769446224,0.4444218825674617,358.0
弘頂雅築,新北市蘆洲區九芎街43號,35.7,10,17,0.8839028197755314,0.6863106663817582,297.0
重陽新秀,新北市蘆洲區長安街246巷11號,37.2,31,20,4.275425458410305,0.1050678563797876,319.0
金富都,新北市蘆洲區永安南路二段282號,43.0,28,18,3.70964312522538,0.5037926910193641,267.0
家有喜事,新北市蘆洲區和平路166號,35.6,26,18,0.945404258032858,0.5202782311982846,378.0
雙橡園,新北市蘆洲區長安街131巷11號,28.2,23,18,3.770033077489221,0.5572937006946677,288.0
成功大鎮,新北市蘆洲區長安街248號,31.1,24,20,4.240013462700467,0.0631306301483205,317.0
長興世家,新北市蘆洲區長興路292號,43.1,15,22,4.661386991483976,0.192152275359077,309.0
秀吉,新北市蘆洲區光復路53號,40.2,10,21,1.2931545085863552,0.0253844129323424,437.0
三多利頂級花園名邸A區,新北市蘆洲區中興街23號,40.1,27,19,0.7667650366093982,0.4813522363525487,477.0
大視界名人居,新北市蘆洲區水湳街108號,32.7,26,24,1.356300877042698,0.1418501783463868,251.0
海棠,新北市蘆洲區中正路109巷1號,47.1,23,20,0.6563891764744663,0.0466444211048618,507.0
天美華廈,新北市蘆洲區永平街32巷57弄10號,49.7,7,22,3.105089618772075,0.3235337993001156,194.0
長安福第,新北市蘆洲區長安街290號,37.7,25,20,4.433397362233768,0.2641199350075126,290.0
戀戀公園,新北市蘆洲區中原路12巷25號,54.4,17,20,4.091540589818454,0.3186017817953215,367.0
翠堤名門,新北市蘆洲區永平街56號,37.8,27,20,4.81569437717152,0.3795420332868897,226.0
綺麗,新北市蘆洲區永康街118號,41.8,5,19,4.162176506616932,0.0600122104432351,334.0
重陽翡翠,新北市蘆洲區集賢路224巷66號,46.4,27,20,0.861070151956457,0.5497715460698495,460.0
頂富向日葵,新北市蘆洲區長樂路215號,39.8,18,22,4.659722898221438,0.2026054074396319,338.0
百珵,新北市蘆洲區長安街28號,37.0,7,18,1.219283961554895,0.8322880267003077,296.0
佳園,新北市蘆洲區民族路236巷64號,34.1,24,20,1.0036868878795489,0.6997733348945759,400.0
裕銓金龍,新北市蘆洲區長安街255號,32.9,23,19,3.973741760561992,0.2923146299897671,327.0
常勝江山六期,新北市蘆洲區民族路256號,33.2,18,21,0.8254955846660516,0.483073715653544,448.0
福滿門,新北市蘆洲區光復路41巷27號,40.6,17,22,1.4088933324660804,0.1398215204522876,410.0
三多利二期,新北市蘆洲區仁愛街35巷6號,30.0,25,23,1.2521174957369643,0.195219589472799,270.0
地球村(光華路),新北市蘆洲區光華路110巷11號,49.0,30,21,0.964536328669551,0.3181731620476998,436.0
台北大公園,新北市蘆洲區光華路186巷25號,40.8,8,20,1.1237617290844106,0.2327329388657288,424.0
富貴天第,新北市蘆洲區民族路227巷22弄5號,40.2,27,22,0.8005677085091619,0.380013458597666,477.0
長榮名第,新北市蘆洲區長榮路363號,37.0,10,21,4.525112941547425,0.3519085220600417,305.0
櫻之細道B區,新北市蘆洲區民族路384巷2號,34.6,14,22,1.0439684259320756,0.5379823667061536,416.0
一品華廈,新北市蘆洲區信義路294號,45.5,2,22,0.6432988711723444,0.2961892082953494,516.0
阿利阿多,新北市蘆洲區長安街23巷22號,43.0,26,18,1.2941447672449709,0.923162576426927,283.0
天生愛家A區,新北市蘆洲區民族路331號,34.8,21,22,1.081628338965444,0.341164950165004,412.0
大腳哈利,新北市蘆洲區長安街220巷18號,50.8,27,20,4.150525816692168,0.2089722498181538,352.0
士林雅典,新北市蘆洲區永安北路二段52號,38.7,28,20,0.7247107815898993,0.4706588034401941,503.0
長安街180號華廈,新北市蘆洲區長安街178號,27.7,32,19,3.989383913423068,0.2922004578140699,332.0
久樂世家,新北市蘆洲區長樂路28號,39.7,16,21,1.266879231049513,0.0363929252032625,444.0
捷運富境,新北市蘆洲區長榮路746號,40.0,18,22,4.951240285278591,0.1684109807708866,230.0
御松院,新北市蘆洲區民族路236巷19號,40.3,17,20,0.8466965830199877,0.517894170763783,453.0
陽明觀景樓,新北市蘆洲區永樂街77號,26.9,30,19,4.465996292960457,0.3592511391249581,265.0
富亦麗大廈,新北市蘆洲區光明路106巷26號,54.4,17,22,1.358493146472551,0.2568221355179409,436.0
台英六期,新北市蘆洲區光復路45號,41.0,17,21,1.3064161599985018,0.040990557175316,432.0
帝國新都心,新北市蘆洲區九芎街11號,32.2,31,17,0.8501632572215806,0.6840484401782527,290.0
觀景舞台,新北市蘆洲區環堤大道134號,45.9,28,20,4.394910555545405,0.3165349290600659,266.0
麗境青春貴族,新北市蘆洲區長安街285巷24號,37.0,26,19,3.993903308752285,0.18360339070201,297.0
晶華桂冠,新北市蘆洲區和平路136號,35.3,18,18,0.9006495566457168,0.5354517388363949,358.0
富鼎,新北市蘆洲區民族路253號,50.2,8,21,0.916510697509342,0.4886880978510857,436.0
三悅水花園,新北市蘆洲區民權路188號,38.7,15,23,1.0433425162590877,0.1935377926260556,433.0
全球富貴,新北市蘆洲區永樂街38巷33弄2號,32.3,28,21,4.61168227560437,0.375924237643828,274.0
世福華廈,新北市蘆洲區民族路422巷26號,40.6,25,22,1.1875803760480486,0.4288807907694701,367.0
捷徑,新北市蘆洲區民族路422巷82弄3號,35.9,28,20,2.7491305971671727,0.7169709766994421,118.0
永平高昇,新北市蘆洲區永平街32巷21弄5號,34.4,12,24,4.865762273210044,0.2845059895380699,225.0
蘆紳堡,新北市蘆洲區長樂路35號,46.2,18,21,1.3130550097561673,0.0635018214665863,435.0
合邑,新北市蘆洲區長榮路237號,39.5,8,20,4.268439675746769,0.2812741750465899,373.0
博覽家七期,新北市蘆洲區光明路16號,51.8,16,21,4.405120959619251,0.3134614619381833,382.0
麥當樂,新北市蘆洲區永安北路二段12巷9號,36.1,25,20,0.5875777866008451,0.16758098735167,480.0
榮耀巴黎二期,新北市蘆洲區長樂路18號,43.4,17,21,1.2381540265425468,0.0348438155423317,450.0
喜福匯三期,新北市蘆洲區仁愛街88號,34.7,5,23,2.904983526263037,0.3079803043655118,181.0
台北巨星,新北市蘆洲區長安街196號,38.3,30,19,4.039783973700612,0.217199215741933,332.0
陽光喜悅,新北市蘆洲區永安北路二段42號之2,32.8,17,20,0.6063458986697916,0.2078686393214227,487.0
蘆義,新北市蘆洲區集賢路358號,46.8,28,19,0.5745501318173913,0.4261298968549783,518.0
京雅苑,新北市蘆洲區長興路55號,42.0,1,20,1.3023053952081638,0.1387843351924083,418.0
信義名門,新北市蘆洲區信義路5號,37.6,17,19,0.3631916505026029,0.6492597764047493,448.0
集賢生活家B區,新北市蘆洲區中興街38號,35.9,22,19,0.7903569894699883,0.5180443548772115,472.0
柳堤雅居,新北市蘆洲區光榮路97巷55號,41.2,6,23,4.796903048050802,0.0926327901306653,342.0
極美理想家,新北市蘆洲區鷺江街98號,51.2,27,21,0.2372419420439857,0.1161426459254611,547.0
萬事OK,新北市蘆洲區中華街57號,40.2,28,19,1.338576444711955,0.4696398908076358,342.0
美麗榮華,新北市蘆洲區長樂路140號,39.1,12,23,4.823680943438497,0.1112523021120506,321.0
台北麗緻,新北市蘆洲區光榮路120巷22弄32號,44.6,16,22,1.2791407545315336,0.2261363138504071,462.0
首富,新北市蘆洲區長榮路387號,36.7,14,22,4.644236841341084,0.2688075601692133,293.0
華格納圓舞曲B區,新北市蘆洲區仁愛街93巷3號,46.4,19,24,1.3917342127526402,0.2360482752653093,211.0
長安大街,新北市蘆洲區長安街274巷6弄6號,31.7,28,20,4.329299317434944,0.1526365437603265,303.0
佳昌大都會,新北市蘆洲區光華路70巷11號,31.8,31,20,0.8377415199883942,0.2784757892087387,439.0
長安街68巷華廈,新北市蘆洲區長安街68巷9號之3,35.6,9,19,1.2901261595317446,0.5026457652386911,335.0
金玉滿堂,新北市蘆洲區永樂街55號,28.4,27,20,4.463329472214786,0.3180497808022207,267.0
天生愛家B區,新北市蘆洲區民族路341號,29.2,21,22,1.1238563856992203,0.2691393043939415,402.0
元賀享家吉祥區,新北市蘆洲區民族路422巷15弄16號,36.0,4,22,1.2143841364283423,0.3531746144805713,357.0
華格納圓舞曲A區,新北市蘆洲區水湳街150號,48.9,18,23,1.4012769977169008,0.2008824755244289,223.0
美學院,新北市蘆洲區長榮路24號,51.6,17,20,1.2193455227191825,0.2852606243971392,401.0
非凡歐洲,新北市蘆洲區民族路422巷22號,35.3,20,22,1.1706390474430657,0.3937102289641489,380.0
福揚社區,新北市蘆洲區長榮路151號,36.2,18,21,1.428429425543867,0.2241662618554396,387.0
光復華廈,新北市蘆洲區光復路77巷21號,34.9,17,22,1.2878314749642563,0.1262673476352593,447.0
慶鄉麗景,新北市蘆洲區三民路26巷20弄1號,35.8,25,21,0.2227897478722658,0.2528838419613921,562.0
成功天廈,新北市蘆洲區中央路105巷1號,32.4,25,21,0.3933009297887736,0.2370567544905765,551.0
蘆洲名人巷,新北市蘆洲區信義路266巷49號,48.7,21,21,0.7006450588856132,0.3719852703517851,490.0
香榭花園,新北市蘆洲區鷺江街89巷2號,39.6,16,21,0.2031518303723269,0.1495959305121742,546.0
三多利頂花園名邸C區,新北市蘆洲區民族路236巷2號,37.0,27,20,0.8397889294012496,0.5385672954896605,458.0
如意寶,新北市蘆洲區光榮路66巷1號,42.9,12,22,1.4689283100478585,0.1375186603041933,379.0
光明尊邸,新北市蘆洲區光明路50巷9號,41.3,7,21,4.443175768641308,0.2747757130722355,390.0
金滿門,新北市蘆洲區長安街102巷53號,28.3,18,20,1.3415146393353807,0.3604848964844445,360.0
大視界仁愛社區,新北市蘆洲區民族路448號,31.6,23,22,1.1531118850947886,0.2287159187221109,391.0
重陽御庭五期,新北市蘆洲區民義街51號,39.5,27,23,0.9097464349563812,0.3386186455171003,468.0
捷韻錄,新北市蘆洲區中山二路16號,51.2,15,19,0.0455432426798918,0.3702758155189171,526.0
長興學府大廈,新北市蘆洲區長興路391號,34.7,15,22,4.943239405771505,0.1217658211180373,243.0
捷運金品(長興路),新北市蘆洲區長興路409號,44.7,14,23,5.0209814044851,0.1816162264782821,226.0
佳旺家園三期,新北市蘆洲區光復路43號,38.8,5,21,1.309229427737654,0.043179284852221,432.0
長欣花園(一),新北市蘆洲區長興路272號,41.6,18,22,4.586617945786927,0.2630995234062642,320.0
知森堂一期,新北市蘆洲區光榮路120巷8弄23號,39.5,17,23,1.2759287250696243,0.2075354520190759,465.0
如意滿堂,新北市蘆洲區長樂路110號,43.1,17,22,4.707014675420386,0.164656872002072,341.0
博覽家二期,新北市蘆洲區仁愛街42號,32.6,23,22,1.3224396028257197,0.2705961362060701,233.0
詠吉,新北市蘆洲區永樂街26巷24號,39.1,17,21,4.585811008911392,0.3295518738687963,294.0
龍躍蘆洲二期,新北市蘆洲區長樂路136號,40.0,16,22,4.801174964516584,0.1104160034624488,324.0
喜來,新北市蘆洲區光榮路118號,44.4,9,23,1.3842104335428442,0.1173014305379351,404.0
喜悅華廈,新北市蘆洲區民族路315號,42.0,8,22,1.0405221384850347,0.4381749891353336,420.0
英倫皇家,新北市蘆洲區仁愛街58號,29.1,23,23,1.3593904044950729,0.2641790851637109,216.0
佳昌光華,新北市蘆洲區光華路119巷3號,45.0,21,19,0.8749917503007452,0.3896052114924426,412.0
成名,新北市蘆洲區長安街361巷8號,36.1,26,21,4.3798537351279405,0.2337643730781239,277.0
民權巨星,新北市蘆洲區民權路132號,35.3,28,23,0.7831703627126669,0.2136465106007403,493.0
全球的家鄉,新北市蘆洲區中山一路197巷8弄11號,31.3,28,19,0.3325257086760841,0.606414523300443,470.0
永康華廈,新北市蘆洲區永康街63巷12號,29.9,30,19,4.031893649140993,0.1604494299763382,280.0
天生愛家C區,新北市蘆洲區民族路440號,27.2,21,22,1.1345086330755236,0.2922218970346307,403.0
台北萬歲,新北市蘆洲區仁愛街70巷26號,39.9,21,22,2.9045778012751824,0.3291324627715128,185.0
新喜居,新北市蘆洲區三民路110巷56號,12.4,16,23,0.7382590682336799,0.1687809393214506,497.0
三民學苑,新北市蘆洲區民權路60號,43.2,26,22,0.5672971780410457,0.1706667270865986,524.0
公園大地,新北市蘆洲區民權路3巷14弄1號,38.7,27,23,0.3377715514879414,0.1113543601860425,549.0
心滿意築,新北市蘆洲區中正路185巷94號,31.4,24,20,1.073849341914266,0.2156309122588458,442.0
全球家富裕,新北市蘆洲區長興路229號,37.9,17,21,0.106063772386254,0.358863104981075,374.0
富貴村,新北市蘆洲區民義街22巷2號,40.8,26,23,0.8232794910342245,0.2817558855095249,487.0
樂揚喝采,新北市蘆洲區民生街71號,31.5,23,18,0.4033983242761905,0.6190371476867141,413.0
長榮凱悅二期,新北市蘆洲區永樂街26巷8號,37.6,11,21,4.531280639353067,0.3554820544852718,296.0
樹梅,新北市蘆洲區光復路22號,35.6,7,21,1.3081384499440611,0.07777312983676,429.0
喜連莊,新北市蘆洲區中山一路97巷30號,16.7,26,20,0.124604290760163,0.4435707785943214,522.0
我愛蘆洲二期,新北市蘆洲區民生街51號,35.9,24,19,0.3725147388852429,0.547449728103308,433.0
光華居邑,新北市蘆洲區光華路101號,33.4,26,20,0.8597167582938201,0.357159763186206,421.0
中華京都,新北市蘆洲區長安街99巷31號,30.4,22,18,3.654467351005468,0.7427658599523987,258.0
中山創世紀,新北市蘆洲區中山二路176號,22.1,22,17,0.5379083312150562,0.4073789485105216,398.0
高昇長興,新北市蘆洲區長興路50巷28號,43.6,13,21,1.0947223819561334,0.177929007397324,471.0
現代金典(光復路),新北市蘆洲區光復路41巷16號,50.0,9,21,1.3511859420506511,0.0834543033175191,427.0
吉祥,新北市蘆洲區民族路402號,43.5,8,22,1.0519613392414358,0.4594220528610073,416.0
臻愛我家,新北市蘆洲區長榮路225號,50.2,17,20,4.2405620605925645,0.3098911859520089,379.0
藍寶石,新北市蘆洲區長安街194巷11號,28.0,16,19,4.099120734684243,0.2406316743161795,346.0
信義路15巷11號華廈,新北市蘆洲區信義路15巷11號,41.7,8,19,0.3394593824777115,0.6318302731846782,462.0
功學真善美世界,新北市蘆洲區正和街28號,35.0,28,19,0.6074612258907364,0.251414379041451,417.0
檸檬樹花園,新北市蘆洲區仁愛街120號,42.7,24,22,2.861594685164865,0.3395652536627284,163.0
台北金典,新北市蘆洲區重陽街120號,13.4,24,19,0.8142908851049363,0.6213055500199901,457.0
仁愛國曉,新北市蘆洲區水湳街257號,43.3,24,24,1.3419999501217006,0.134460385657586,270.0
