建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
陽明山國家山莊D1區,新北市金山區山城路90巷9號,11.8,25,45,3.789865972607772,4.6867937446903,4.0
天長地久,新北市金山區中華路360號,16.7,28,36,0.7144966454021419,0.3763948955459751,163.0
天籟箱根星鑽,新北市金山區山城路89巷1號,10.2,22,45,3.789865972607772,4.6867937446903,4.0
旺德福,新北市金山區信義路72號之1,17.4,5,35,0.6790158416438294,0.3948570622240224,169.0
富鄉華廈,新北市金山區中華路101巷67號,18.7,5,33,0.4271770141057982,0.5258869356371453,168.0
金美華廈,新北市金山區仁愛路37號,9.8,29,35,0.7344036285820037,0.3108793233977012,170.0
旺德福 2期,新北市金山區信義路41號,18.3,3,35,0.6857933976466365,0.4009961574017767,169.0
陽明山國家山莊E區,新北市金山區山城路80巷10號,13.1,26,45,3.4637085577378137,4.363023186929542,5.0
金山旺族,新北市金山區中山路403號,18.3,7,37,0.8026844745283434,0.4059041166137876,154.0
水曼波,新北市金山區中山路276號,14.1,14,32,1.4392977946602752,0.892759199437681,158.0
金玉滿堂,新北市金山區中正路67號,10.6,27,35,0.6055157553476029,0.3008448188371566,168.0
豪景尊邸,新北市金山區信義路26號,12.7,15,35,0.7263932363262539,0.3410459135642713,170.0
家芳,新北市金山區忠孝一路18號,10.1,27,33,1.0302394645252777,0.4378376751458456,175.0
金山富都,新北市金山區四維路43號,13.9,9,36,0.7478097636515837,0.177786809925904,169.0
業儒創世紀,新北市金山區仁愛路37號之12,12.6,26,35,0.7344036285820037,0.3108793233977012,170.0
