建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
京典大廈,新北市鶯歌區建國路122號,22.3,17,18,2.0460685395527687,0.5925723239101846,129.0
富麗名園,新北市鶯歌區鶯桃路182巷96弄10號,21.1,29,13,3.1472515163483545,0.1734571703835419,63.0
四季陽光三期,新北市鶯歌區永明街60巷11號,29.3,24,14,2.925708079176911,0.1508254916000272,89.0
大觀園,新北市鶯歌區尖山路156巷9號,26.7,27,21,2.141383668812014,0.1524849474710007,115.0
夏季公園,新北市鶯歌區國光街62號,16.1,23,14,3.108232054183645,0.2964961039163325,68.0
建國名園公寓,新北市鶯歌區建國路466號,17.9,30,16,2.582367870058639,0.3634395059577253,91.0
京華CITY,新北市鶯歌區中正三路100巷16號,20.7,18,20,2.4800546552422067,0.0479679119000778,29.0
中正新天地,新北市鶯歌區鶯桃路97巷1號,28.9,25,15,2.983716685354964,0.205923940549187,68.0
家隆花園,新北市鶯歌區中正三路149號,12.9,29,19,2.5826288755406086,0.1491241433909491,26.0
三鶯第王,新北市鶯歌區和平街23號,26.1,26,18,2.129662017377857,0.6027723148995513,129.0
鳳鳴園,新北市鶯歌區鶯桃路658巷23號,21.8,31,11,1.9489461776888604,0.3216501528161302,57.0
全民頭家,新北市鶯歌區尖山路280號,20.8,25,18,2.311017024665872,0.1961398059061132,46.0
天天開心,新北市鶯歌區高職西街104號,16.3,24,20,2.711186593210416,0.1991306549176988,26.0
森聯之王-森悅,新北市鶯歌區鶯歌路138號,26.2,1,12,2.125160679207988,0.235933266422249,61.0
鳳鳴首席芳鄰,新北市鶯歌區鳳鳴街162巷2弄1號,24.1,23,13,2.459240381712984,0.2242412785842556,49.0
第芬尼,新北市鶯歌區高職西街20號旁,23.5,1,19,2.50161848667356,0.1654411754388587,31.0
和範江山大廈,新北市鶯歌區尖山路號,29.0,26,21,2.0418568365807173,0.2879995830332345,99.0
建國華園,新北市鶯歌區育樂街100號,22.0,29,15,2.642525525041864,0.3371554408981687,118.0
滿庭芳,新北市鶯歌區尖山路140巷12弄8號,24.0,27,21,2.069711981585845,0.1843063532540147,113.0
麗寶陶花源,新北市鶯歌區國中街148號,25.7,17,20,2.372532501562473,0.1790865694406572,26.0
憬德良品大廈,新北市鶯歌區文化路256巷22號,17.1,9,18,1.493659880718628,0.7499361885073865,101.0
富盛家園,新北市鶯歌區育英街34號,16.3,29,17,2.402184565918239,0.0713628996570894,142.0
力天揚名,新北市鶯歌區中山路329巷26弄12號,20.3,9,15,2.6762818852310515,0.218940691760555,124.0
育智,新北市鶯歌區育智路73號,13.8,27,16,2.5319576021884576,0.1717934100344698,132.0
台北光禾,新北市鶯歌區文化路221號,34.8,5,19,1.8735269927193985,0.7709136115583434,130.0
台北鄉,新北市鶯歌區鶯桃路131號,19.1,29,14,3.084158971813092,0.1906963986376748,52.0
森聯之王-森晴,新北市鶯歌區龍七路280號,26.7,2,11,2.1564527270732494,0.3221996081520364,46.0
大吉地一期,新北市鶯歌區育賢街8號,16.5,29,16,2.586299631911786,0.2195692362806424,126.0
定泰公園翫,新北市鶯歌區龍五路282號,25.6,1,10,2.066329557878809,0.4434038855799273,44.0
華登御墅十一期,新北市鶯歌區尖山路86巷15號,25.9,9,21,1.9991063156615227,0.2319998282060552,120.0
中國學府,新北市鶯歌區國中街62號,20.6,25,19,2.1311520590368818,0.0731452038175877,40.0
協和鳳茗HOYA,新北市鶯歌區鶯歌路101號,24.6,1,11,2.115101988666388,0.2095424139299889,60.0
戀戀陶城,新北市鶯歌區尖山埔路239巷3號,24.8,1,17,2.2530216200474986,0.0602879852248134,121.0
竣園台北捷韻,新北市鶯歌區國光街57號,25.1,2,14,3.138271530345594,0.2140787705007756,65.0
三鶯學府,新北市鶯歌區尖山埔路263號,19.6,29,17,2.2687356704191703,0.0953851778121121,117.0
豐采玫瑰,新北市鶯歌區高職西街46號,21.1,4,19,2.587999631566852,0.1647334355195893,29.0
