建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
皇家莊園,新北市三峽區白雞路38號之7,21.8,9,30,2.0916292131132845,0.1488903445586951,15.0
北大逸墅,新北市三峽區學成路216號,27.8,20,22,1.1873103896096098,0.2068732872643449,660.0
名人富邦集合住宅,新北市三峽區大學路67號,30.6,19,22,1.1438550899651738,0.0928812649434939,670.0
駿園御墅,新北市三峽區中正路二段299巷21號,23.6,3,29,2.4827833166672946,0.595095382481343,27.0
早安北大十七期,新北市三峽區國際一街70號,34.4,14,23,1.008464909452182,0.1018047948406565,620.0
加州陽光,新北市三峽區中正路二段540號,15.8,30,32,3.2521919306295466,0.4916784875192681,19.0
仁愛別墅,新北市三峽區介壽路一段276巷108弄52號,21.4,17,26,0.347405989827481,0.2470987759964569,73.0
富貴雲集,新北市三峽區文化路236號,29.7,17,22,0.4777846791751585,0.0280655870703348,277.0
綠原墅,新北市三峽區學成路228號,34.6,13,22,1.211425537792877,0.1273071940182986,672.0
早安北大十九期,新北市三峽區國學街2號,47.8,14,23,1.125741243560236,0.1177422513085359,656.0
富俋首富新天地,新北市三峽區和平街99號,30.2,12,22,0.7020528353413106,0.1572207059184243,354.0
天璽名門,新北市三峽區民族街28巷2號之5,27.8,14,23,0.930109135300236,0.3444795002269128,222.0
