建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
水木梧桐,新北市八里區文心街91號,31.5,9,34,5.93740316605555,0.8148941841952453,35.0
大利市,新北市八里區忠孝路8號,28.4,9,34,5.776381055012013,0.9751768472538592,34.0
左岸庭院,新北市八里區文心街138號,25.3,6,33,6.093753224717912,0.63857936237976,27.0
忘憂莊 南歐莊園,新北市八里區民治街51號,28.4,8,33,6.618277484058238,0.5925493817008498,34.0
台北雪梨2,新北市八里區埤頭二街96號,29.0,5,32,6.620105332170681,0.7338887816182842,32.0
鑫鈜之星,新北市八里區文化街127號,19.8,9,33,6.228266049195823,0.2849801005584479,32.0
家麗堡,新北市八里區賢一街61號,24.3,15,32,6.24311450054445,0.2970803626358381,31.0
左岸透天,新北市八里區忠孝路167號,22.7,16,32,6.183260386999357,0.4217841026171256,33.0
文心左岸,新北市八里區文心街119號,22.5,14,34,6.073815344934735,0.6469562714853279,29.0
左岸新天地,新北市八里區文化街15號,19.4,10,33,6.069681535409391,0.4839915926954226,28.0
左岸荷庭,新北市八里區忠孝路195號,22.4,16,32,6.267916466882968,0.2914306840798759,32.0
藝墅家,新北市八里區民治街32號,25.6,15,33,6.629926444680287,0.5831303892335544,34.0
水天闊,新北市八里區文化街91號,24.2,13,33,6.177516029374514,0.3404717926261522,32.0
左岸麗緻,新北市八里區中華路一段128號,22.1,16,31,6.209559594629389,0.3750618964243948,27.0
金色左岸,新北市八里區文心街37號,23.9,16,34,5.8576527168761885,0.9262671753130464,35.0
金色左岸忠孝,新北市八里區忠孝路100號,27.3,15,33,6.039111481291448,0.6387295146355063,29.0
左岸麗園,新北市八里區忠孝路49號,22.9,15,34,5.822174476561326,0.8910394374035209,35.0
