建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
伴山別墅一期微風區-透天,新北市新店區安祥路160號,27.6,4,34,2.8693473267964262,1.1273880899881832,18.0
大台北華城特區,新北市新店區華城二路5巷8號,44.2,40,30,3.0934738547463967,1.7212079136221108,3.0
吉美敦南花園別墅-別墅區,新北市新店區安興路95巷21號,40.5,10,19,1.501004916728508,0.7828058704986047,85.0
大地世紀,新北市新店區長春路9巷2號,31.0,34,35,2.798904641740842,0.3309294885991828,49.0
四季春,新北市新店區吉祥街1巷10號,23.7,35,23,0.7539577742593514,0.5496952540884359,56.0
彩虹山莊,新北市新店區安忠路102巷10號,54.7,42,20,0.7262396095005638,0.4784291261597069,136.0
晴山匯,新北市新店區青山路399巷10號,50.0,7,19,1.640726260182767,0.620448475321875,26.0
青山鎮二期明園區,新北市新店區青山路211巷10號,67.0,11,22,1.2567709048646702,0.038480430937284,30.0
青山鎮二期青擘特區,新北市新店區青山路69巷6號,71.4,9,22,1.3381753247654118,0.7201050196697125,4.0
工信-城堡山莊,新北市新店區華城路73巷1號,51.5,5,20,2.1489016129284657,0.9686367466659992,21.0
金璽,新北市新店區安忠路9號,46.2,16,17,0.3572411378951068,0.1371202545108455,145.0
青山鎮二期田園區,新北市新店區青山路101巷2號,67.5,15,21,1.160923379091899,0.413212100980812,7.0
名紘樺澄,新北市新店區直潭五街38號,39.4,7,26,3.368998516726704,0.4959808561572708,24.0
麗水山莊,新北市新店區新烏路一段87巷12號,26.0,27,25,4.031915270065041,1.4156786686495644,2.0
華城俠隱,新北市新店區禾豐二路7號,62.5,7,26,2.4974940586951395,2.0991409854401395,2.0
碧潭皇冠山莊,新北市新店區華潭街26巷1弄1號,32.0,22,19,2.14417844132969,0.9878481689055064,257.0
觀嵐,新北市新店區北宜路二段392巷9號,32.9,7,33,3.938231292706055,0.9825069844606676,6.0
