建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
璞石山匯,新北市林口區仁愛路一段211巷76號,27.1,11,31,3.3581205309638187,0.6187125546956168,131.0
京華御墅,新北市林口區南勢四街303號,30.4,15,27,1.8816902927011367,0.1865087209126033,84.0
九間堂,新北市林口區麗園二街38巷69號,25.9,13,31,1.4505543285468392,0.399997071552959,80.0
溫哥華玫瑰花園,新北市林口區中北三街138巷2號,34.9,16,34,2.9721299787005995,0.4027834906082346,257.0
群祥-朗悅,新北市林口區興林路152巷17號,37.7,5,34,2.318570796175444,0.3237999808674096,239.0
赫世堡公爵區,新北市林口區東湖路41巷26號,23.8,17,34,2.272099563223895,0.3885491976627656,283.0
居佳屋,新北市林口區中北一街15巷16號,22.5,11,36,3.3510522374391343,0.723199647034568,148.0
朗翠,新北市林口區東明二街78號,28.3,8,34,2.406932172662079,0.4330291045020141,144.0
都鐸玫瑰二期,新北市林口區東湖一街103號,17.0,15,34,2.021148718599165,0.3446176812065398,212.0
皇家夏宮,新北市林口區民享路36號,30.2,13,33,2.5451690464500016,0.3438527095689787,334.0
森釀別墅,新北市林口區麗園二街60巷56號,20.2,13,32,1.5236152151603997,0.5334018958751421,61.0
達運在康橋,新北市林口區仁愛路一段285巷89號,40.0,1,31,3.156059098749583,0.4659699146327939,250.0
仁愛逸靚,新北市林口區臺北縣林口鄉文林六街62巷16號,25.7,14,36,2.337890617310068,0.0988684388694771,141.0
花鄉別墅,新北市林口區忠孝路616巷5號,21.8,31,30,1.2232570159221885,0.1212024242774539,120.0
都市城堡,新北市林口區東明一街108號,22.3,13,34,2.538534935501167,0.2892635001057507,225.0
御林墅,新北市林口區東林街177號,29.6,5,30,3.312053494498972,0.1990622600922451,288.0
緻美園,新北市林口區南勢街196號,35.5,17,28,1.711771647046697,0.2164734331700805,200.0
薇閣雲品,新北市林口區東湖路27號,41.6,1,33,2.502580260117934,0.1736230305622137,301.0
台北天外天,新北市林口區竹林路582巷40號,17.2,33,34,3.018053492624391,0.3378075431491285,269.0
日和傳家,新北市林口區麗園二街47巷52~60號,40.0,1,31,1.726392150895432,0.4414209585063948,104.0
年豐四季佳鄰區,新北市林口區佳林路237號,28.8,16,33,2.285053527413275,0.1921648728718047,342.0
境朗,新北市林口區麗園二街23巷13號,35.6,10,30,1.5230322786764423,0.3764876906673288,123.0
京華城,新北市林口區民享路2號,33.5,16,33,2.4189264127178265,0.3836775621322206,337.0
晴悦,新北市林口區東明一街115巷13號,37.3,3,35,2.5340877544481226,0.4321392027180627,192.0
御之紀行,新北市林口區文化一路一段100巷17號,36.0,10,29,1.2250621292282216,0.2715352719490603,272.0
文化園邸,新北市林口區文化北路一段542巷13弄53號,22.9,15,34,2.1035332466897896,0.2603602099591768,170.0
元邦一景苑,新北市林口區興林一街93號,32.2,8,33,2.7117807240327285,0.0192305409382007,274.0
薇閣雲軒,新北市林口區東明一街2號,42.1,2,34,2.7897200572455763,0.2732189936213223,244.0
塞維亞,新北市林口區東明二街101號,32.0,15,35,2.333888888353308,0.5462649268183065,64.0
雙橡園三期,新北市林口區忠孝路480號,35.7,16,28,1.0691156510872608,0.2290776678866858,362.0
穎者,新北市林口區麗園二街60巷6號,27.9,9,31,1.5507286549660773,0.5013960332763148,83.0
樂活LV,新北市林口區忠孝路586巷13號,31.9,7,30,1.0385298771184694,0.1452318381637242,170.0
瑞士別莊,新北市林口區中山路52號,34.1,15,30,3.3682978284318947,0.1211191270149727,260.0
林口博觀,新北市林口區麗園二街38巷61號,34.1,16,31,1.469066205366366,0.4073195894209035,81.0
墅向陽,新北市林口區竹林路280號,37.2,3,31,3.194248607988225,0.1549941322933395,294.0
台北鄉村別墅,新北市林口區竹林路16巷68號,39.5,42,33,2.6164842805757083,0.4200347763600879,317.0
大美莊園,新北市林口區興林路362巷1號,31.2,7,34,2.317647132018597,0.4725055287059089,118.0
藏韻,新北市林口區東林街37巷20號,32.2,4,30,3.3739735339260584,0.1064958241648901,265.0
藏御,新北市林口區忠孝路512巷15號,32.0,12,29,0.9175083728325042,0.1288414211382296,335.0
詠天地,新北市林口區興林一街82巷11號,30.1,9,33,2.664174136840089,0.0411224240831441,276.0
雙橡園九期,新北市林口區文化北路一段279號,36.0,14,26,1.5252193306898203,0.3051864434518462,203.0
維也納,新北市林口區興林路152巷16號,31.4,16,34,2.358809292849281,0.2763121740893339,251.0
富貴傳家大廈,新北市林口區麗園二街76號,26.3,12,31,1.5930345811250726,0.5700975026886417,67.0
