建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
生活綠邑,新北市樹林區信和街34號,17.3,23,13,4.695866444231923,0.3816917717083651,32.0
國產天地,新北市樹林區佳園路一段75巷106號,21.4,26,12,4.9114408947225705,0.4172751644643914,32.0
豐墅,新北市樹林區西圳街二段101號,23.8,6,15,3.105424929476135,0.3921181173854177,41.0
大安一號院,新北市樹林區大安路1號之50,29.2,3,6,0.3210568691142185,0.6976762957708774,117.0
常嘉別莊,新北市樹林區育德街40號旁,25.3,1,13,4.366902113448516,0.3134326626584365,33.0
水景別墅二期,新北市樹林區八德街862號,25.5,16,13,4.4422831998853605,0.2506887707294238,30.0
水景別墅三期,新北市樹林區八德街968號,24.8,16,12,4.432794059118177,0.2564328138836285,30.0
早安北大十五期,新北市樹林區學士路92號,27.3,15,20,1.9384548403823672,0.1432533387424416,459.0
大墅哲學,新北市樹林區學林路30號,30.5,14,19,1.8846392456774608,0.2034234643904366,565.0
和園,新北市樹林區大雅路329號,32.4,16,20,1.9887225173986829,0.326732485542281,561.0
名人富邦二期,新北市樹林區大成路373號,32.8,15,20,2.130720121626734,0.2272241781443083,493.0
藝墅首璽,新北市樹林區俊英街5號,33.8,11,5,0.3768481668250237,0.3343106972090753,286.0
地景四季,新北市樹林區光興街86號之9,28.8,9,9,3.2935005860120725,0.6348708642680458,78.0
國產至寶,新北市樹林區佳園路一段75巷100號,25.4,29,12,4.911275155796586,0.4024527611573556,32.0
長聯藝墅,新北市樹林區佳園路三段54巷12號,26.7,14,17,2.619391213916035,0.3250937893195849,179.0
