建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
星海別墅北區,新北市淡水區新市一路一段281巷102號,21.9,14,43,2.6312251422627955,0.868330097555117,63.0
淡水本莊,新北市淡水區興仁路86號,11.1,22,46,1.6095559824987444,0.0684948735584467,29.0
山水天地,新北市淡水區自強路116巷13號,40.5,35,29,1.26731975484236,0.2891345806536978,215.0
美人嶼海灣別墅二期C區,新北市淡水區中正路二段140巷1號,20.3,14,46,3.0510131762080537,0.6598128642467856,49.0
美人嶼海灣別墅二期B區,新北市淡水區中正路二段138號,20.3,14,46,3.041053023683902,0.7141208224992688,48.0
天外天,新北市淡水區中正東路二段143巷12弄10號,19.3,28,32,0.9630407674809628,0.2379230542208077,30.0
新洋房,新北市淡水區民生路117巷46號,30.8,30,31,0.3386599946521187,0.7302412541164861,143.0
山水天地社区,新北市淡水區自強路116號之2,42.6,35,29,0.7447188000678809,0.294374445307646,209.0
星海別墅南區,新北市淡水區新市一路一段281巷2號,22.6,14,43,2.6780707757459883,0.8347494554259397,63.0
大景無言-大景大院,新北市淡水區興福寮66巷507號,40.3,11,37,2.9604879574815586,0.4178094926455407,2.0
荷蘭灣,新北市淡水區中正路二段385號,23.3,14,45,2.525040271501629,0.1766641485407125,37.0
樸石,新北市淡水區民權路3巷22號,40.3,4,29,0.3331116703600699,0.4235087847310509,118.0
天下第一觀,新北市淡水區八勢二街53巷9號,36.2,33,32,3.230671227646715,0.2833745517244211,35.0
綠之緣透天别墅,新北市淡水區新民街一段159巷11號,18.1,25,46,2.6623567953550547,0.3753624822888594,36.0
泰隆伯爵大庭園,新北市淡水區鄧公路30巷45號,12.0,15,39,0.9230461087778976,0.503555413334277,462.0
川瀨久富,新北市淡水區新市一路一段282巷20弄26號,24.8,15,43,2.733056539911553,0.7172969688994663,71.0
御荷園別墅,新北市淡水區八勢路50巷8弄38號,35.9,17,33,3.5305854594295307,0.6036190269250131,36.0
山水天地HJK,新北市淡水區自強路337巷2號,35.3,35,29,0.737434483039838,0.3565059527313913,197.0
天璽,新北市淡水區新民街278巷1號,26.2,14,43,3.180023069737864,0.3983419024648613,145.0
泰隆公爵大庭園,新北市淡水區鄧公路30巷65號,23.4,15,39,0.9635570377391504,0.536076586648372,452.0
