建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
梧桐莊園,新北市鶯歌區鶯桃路668巷56號,35.6,2,10,1.8156260505278343,0.4525824053701996,62.0
深耕11期,新北市鶯歌區永和街80號,32.5,5,12,2.3227281522850465,0.1224078163651017,54.0
藝品世家,新北市鶯歌區育英街91號,26.6,25,17,2.1304125100382967,0.1510845773161178,140.0
天地美墅一期,新北市鶯歌區尖山路166巷32號,25.1,13,21,2.140072189284899,0.1533047746543899,115.0
蒔繪,新北市鶯歌區光明街95巷2號,24.5,9,15,2.6631596077607727,0.2184738852914764,125.0
陶墅館,新北市鶯歌區德昌街197巷63號,27.9,10,13,3.0709034614537107,0.0957790871714062,42.0
國際美墅,新北市鶯歌區朝陽街53巷1號,11.8,17,12,1.9168060633132529,0.6463027016611879,28.0
紅透天花園別墅,新北市鶯歌區臺北縣鶯歌鎮鶯桃路413巷37弄1號,26.9,14,13,2.592179000932493,0.4622995022588841,43.0
豐采如玉,新北市鶯歌區中正一路226號之5,27.1,7,17,2.216688014813231,0.7399907938045821,124.0
高峰園墅,新北市鶯歌區鶯桃路296巷46號,21.7,14,14,3.071592578907723,0.3585012674084191,46.0
尊榮貴族,新北市鶯歌區鶯桃路296巷116號,17.6,12,15,3.046946243940474,0.5506074661083193,45.0
華登經典八期,新北市鶯歌區光明街85號,24.9,11,15,2.630377178426792,0.1807630441240466,127.0
悅陽日坊,新北市鶯歌區鶯桃路365巷18弄8號,20.7,14,13,2.764780242236057,0.3918821795006976,41.0
豐采,新北市鶯歌區國中街80號,16.5,19,20,2.0933634870586624,0.1920056163219978,35.0
鶯花墅貳期,新北市鶯歌區尖山路216號,18.4,14,19,2.1559998533086646,0.38295601895357,71.0
悅榕居,新北市鶯歌區尖山路173巷13號,27.8,11,21,2.0253862274066763,0.3495565437420138,87.0
陶花園,新北市鶯歌區鶯桃路129巷21弄10號,19.9,24,15,3.020960129060494,0.2793687299094257,61.0
藝術名家,新北市鶯歌區鶯桃路94巷15弄11號,15.1,26,15,2.8646222136907173,0.2358323393748237,82.0
鳳鳴別莊,新北市鶯歌區福安街7巷24弄1號,22.7,23,14,2.610354389898024,0.3456478543902023,45.0
名原別墅,新北市鶯歌區中正一路345巷26號,21.7,19,17,2.1767783141965453,1.1195512409515636,115.0
中湖山水名邸,新北市鶯歌區中湖街152巷7號,12.8,17,13,2.6607161672025432,0.1883268263379167,8.0
尊邸,新北市鶯歌區育英街53號,23.1,21,17,2.2471431109826403,0.1868112619521404,146.0
柏迪庭園,新北市鶯歌區鳳吉三街26巷10號,12.5,29,9,1.4293143916122677,0.839393962137836,59.0
金富貴,新北市鶯歌區國華路2號,24.6,14,15,2.86180398740983,0.3519143127148603,107.0
別墅唐寧街,新北市鶯歌區永明街60巷52號,22.3,24,15,2.915298946366984,0.1479963951543831,85.0
文房市寶,新北市鶯歌區德昌街11號,24.9,22,13,3.052709691860345,0.1106455810103255,44.0
原墅,新北市鶯歌區文化路461號,22.3,17,20,1.4761253050593288,0.8244420323922916,117.0
花．禪．湯,新北市鶯歌區中正三路19號,17.9,17,18,2.368697890861516,0.2292628644597207,34.0
真鑽大街,新北市鶯歌區育才街27巷2號,30.1,11,17,2.297331163720907,0.2247723807164351,142.0
御陶園,新北市鶯歌區中正一路345巷21號,21.9,16,18,2.2159950963800554,1.1032145577528054,115.0
豐耘懷石,新北市鶯歌區台北縣鶯歌鎮中正三路238巷11號,15.3,15,21,3.276611488404625,0.5910252920157572,20.0
御之墅,新北市鶯歌區高職東街19巷22號,20.6,19,19,2.1835195215091305,0.2333931689151105,35.0
大街大利,新北市鶯歌區鶯桃路234巷1號,16.6,22,14,3.267919305195961,0.3525982649165273,44.0
