建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
冠世界,桃園市中壢區中園路32號,26.3,12,7,0.8870064959865639,0.9072460627495008,76.0
法國之星,桃園市中壢區環西路二段278號,29.8,11,10,0.776684389687215,0.3009457073144509,101.0
花田囍市,桃園市中壢區環保路305號,25.1,7,21,1.7245701214611728,1.5919678981397554,4.0
國峰苑,桃園市中壢區領航南路一段67號,38.7,7,18,0.2030178298550545,0.7038415390614329,62.0
新森活,桃園市中壢區永昌路175號,45.3,2,22,1.6941286058245393,0.5446034970441529,103.0
太子國際村,桃園市中壢區龍慈路233號,24.1,23,12,0.6825792520082624,0.7586691096719778,58.0
海華國際之星大廈,桃園市中壢區新生路336號,36.9,13,7,0.6028099920179721,0.339538838971179,231.0
巴黎線上,桃園市中壢區永順街12號,33.5,6,20,1.1884568121623191,0.2683118276368303,70.0
竹風青庭,桃園市中壢區領航北路一段296號,39.0,5,20,0.7633997260323484,0.7056577407472305,70.0
大清哈佛,桃園市中壢區松義路117號,24.5,9,20,3.9426299083913854,0.9016290988045236,43.0
麗朵,桃園市中壢區南園二路296巷10號,26.1,8,11,1.1209901563942892,0.1481711680174677,103.0
新潤 A18,桃園市中壢區春德路253號,50.3,3,21,1.596280853577686,0.6420446131966729,123.0
明日朗朗,桃園市中壢區永泰路81號,33.4,3,20,1.0543549034876525,0.3134665683185617,76.0
自立國宅A區,桃園市中壢區永福路1101號,18.9,19,12,0.6479736031402258,0.050748698875373,215.0
伯爵與夫人,桃園市中壢區福州二街508號,29.9,10,9,0.879660495110862,0.7402460476271868,74.0
佳泰超級郡,桃園市中壢區松信路16號,25.4,2,21,4.197837001860353,1.159443541677423,42.0
宜誠天匯2,桃園市中壢區松義路75號,26.0,8,21,4.023978175433194,0.9829930753182824,43.0
竹風青田,桃園市中壢區永園路一段100號,40.0,6,20,1.232372129447634,0.508670283384154,59.0
文華漾,桃園市中壢區龍陵路197號,29.8,5,12,1.997458457380085,0.581386323406839,47.0
