建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
墨爾本,桃園市八德區豐德路222號,26.6,8,24,1.1359583807496825,0.5746719864428849,93.0
桃園居易,桃園市八德區中華路338號,22.0,26,15,0.6869062489911554,0.4325453238547128,59.0
涵悅,桃園市八德區豐田三路71號,28.4,7,23,1.2329623853767764,0.1259229517249786,77.0
麗寶豐洲,桃園市八德區建德路2號,27.9,3,22,4.894450691610539,0.5543698789092348,51.0
宏普之星,桃園市八德區中正一路30號,30.6,7,17,2.4594421398935737,0.4652311108635723,60.0
武陵綠大地,桃園市八德區明光街49巷27號,19.1,28,14,1.1292712177780526,0.842749424000499,89.0
佳瑞遊city,桃園市八德區仁德一路1號,26.1,5,21,1.2804955685503276,0.7527149804008129,49.0
竹城六本木,桃園市八德區廣豐三街10號,32.0,11,12,0.4869956766407108,0.4427817650892287,354.0
明日耀,桃園市八德區中華路5巷22號,25.7,9,13,1.660078119904411,0.3431524540268665,154.0
綠光城市閱美館大廈,桃園市八德區豐田一路3號,26.6,9,24,1.1318191061871838,0.439032746859284,96.0
皇翔G1,桃園市八德區長興路81號,29.2,7,19,1.6988691671189202,0.3252523243294198,63.0
幸福有約,桃園市八德區正福街53號,22.3,15,10,0.935389013695758,0.6717440925368829,152.0
歐洲學苑,桃園市八德區大和路100號,31.0,15,15,0.6552210904365454,0.1646797798231992,234.0
桃大泰極,桃園市八德區大智路125號,34.8,9,12,0.4490743843956332,0.4078847317000065,369.0
昭揚君品,桃園市八德區廣豐二街35號,26.8,9,11,0.4778702567873153,0.4301085519608087,359.0
竹風鳳凰,桃園市八德區建德路538號,27.3,8,21,3.2263317973326884,0.7927525684911462,34.0
微笑莊園-宵裡讚,桃園市八德區山下街9號,20.0,5,15,2.283732339234391,0.2747075958418099,43.0
桃大極,桃園市八德區桃拾街18號,38.1,7,15,0.5128441003442078,0.2801730003135287,276.0
泓瑞群英,桃園市八德區仁德一路43號,27.8,7,20,1.169704658284575,0.8134289222287108,44.0
桃大源,桃園市八德區豐田二路110號,22.6,1,23,1.329305712919037,0.2139579809212283,74.0
合雄MAX,桃園市八德區建德路198號,30.7,1,20,5.375851126204466,0.2198851065513182,59.0
海德皇家,桃園市八德區大和路101號,29.0,15,15,0.7139049657956485,0.2126553892927598,214.0
昱凱皇苑,桃園市八德區豐田二路162號,24.5,4,23,1.351660485597593,0.2199608640972849,72.0
東南 Hi LINE,桃園市八德區中華路201巷22號,27.4,4,14,1.0796061180048613,0.8002173388887641,87.0
皇翔百老匯,桃園市八德區建德路241號,26.9,8,21,3.252593958456545,0.762725565066561,60.0
遠雄艾菲爾,桃園市八德區豐德路358號,27.1,9,23,1.445916417021361,0.4459574642267048,86.0
合雄帝璟,桃園市八德區廣豐路151號,32.6,7,11,0.3480889119955513,0.296821331606264,364.0
高陞,桃園市八德區中正路130號,27.7,8,21,5.361953758904653,0.1216039309813341,60.0
力霸倫敦城劍橋區,桃園市八德區銀和街27巷2弄17號,23.2,24,15,0.453088647205039,0.3024836324131508,312.0
深耕十期,桃園市八德區豐德路582號,32.1,6,23,2.378983359368585,1.792699854774379,54.0
雲觀,桃園市八德區中山路139號,29.1,9,21,1.49121097420112,0.2096739002746404,64.0
公園大道,桃園市八德區廣興五街97號,27.3,8,20,3.543412018445997,0.6740880144609431,40.0
豐田大郡,桃園市八德區豐田三路9號,26.6,8,23,1.014152609303924,0.2967901548349393,108.0
巴黎花都,桃園市八德區金和路111號,30.3,13,15,0.7053484213744574,0.0626273965809314,227.0
時代園邸,桃園市八德區廣興二路1號,24.7,9,21,1.3503361256306992,0.4800294012728181,64.0
大利市,桃園市八德區高城八街73號,24.7,17,15,0.3609221880933079,0.3473477737739034,53.0
悅天下,桃園市八德區豐田一路61號,26.2,7,23,1.2923029613141546,0.3235586656489018,88.0
龍騰御璽,桃園市八德區介壽路二段1442號,20.3,8,22,1.026448054623752,0.2246838056556489,67.0
百川十方,桃園市八德區和義二街39號,27.5,14,12,0.7956952485579326,0.3464396192484785,219.0
竹風鳳凰II,桃園市八德區仁德一路129號,27.5,8,20,0.8486429329113121,0.8325393137150109,70.0
巨星生活家,桃園市八德區高城八街90號,21.8,17,16,0.4050309806088054,0.3670517977620409,52.0
和毅品森活,桃園市八德區中正北路18號,26.7,3,20,1.4695198960929374,0.2747332324029596,64.0
時尚bobo,桃園市八德區仁德路89號,25.5,7,20,3.028210773777014,0.8062297600645408,43.0
綠光城市美樹館,桃園市八德區豐田一路3號,25.4,9,24,1.1318191061871838,0.439032746859284,96.0
高陞二期,桃園市八德區中正路156號,27.8,8,21,5.259065640432564,0.2008562661108198,59.0
新天地,桃園市八德區桃鶯路南僑巷31弄26號,31.6,15,11,1.8094694664530304,0.5698090592609538,56.0
輝煌世紀,桃園市八德區中華路33號,23.5,15,12,1.5650994124151023,0.4522799499970433,155.0
雲景景森,桃園市八德區仁德路280號,25.2,4,20,0.8945815466466227,0.5814287742392062,79.0
長堤維也納,桃園市八德區介壽路一段112號,25.9,17,6,0.2083195419932346,0.522890798564609,89.0
源美學,桃園市八德區仁德路76號,27.8,9,21,3.080538037302788,0.7884745907487455,43.0
深耕九期森悅家,桃園市八德區豐吉路50巷1號,28.2,8,23,0.9936772707746332,0.5530167742087915,97.0
峰景苑,桃園市八德區建德路277號,26.0,8,21,3.25133245022138,0.7641546133429241,59.0
御藏,桃園市八德區仁德路161號,25.0,6,22,1.1918889329243558,0.6744896384262923,55.0
桃大極一期,桃園市八德區金和路52號,33.0,7,15,0.5335515267409711,0.2704440740336863,259.0
逸偉城又青,桃園市八德區豐德二路49號,28.0,4,23,1.4211485269591817,0.249858722218726,67.0
昇捷天沐,桃園市八德區建德路388號,26.3,5,21,3.435347624166084,0.5486302260431413,58.0
榮耀之光,桃園市八德區國豐一街2號,29.3,11,13,0.7075820575244516,0.6621425588016218,331.0
莫札特,桃園市八德區廣興一路1號,26.8,9,21,1.4829895903582606,0.3218808474873253,63.0
小資有約,桃園市八德區和平路31號,30.6,6,13,0.2303652405403365,0.0008378040601124,354.0
璞心苑,桃園市八德區仁德路215號,29.3,7,20,0.9219683819734834,0.6178947700727663,75.0
鵬程 V1,桃園市八德區廣興路31號,22.9,8,21,1.3636478790120998,0.3422269077102053,64.0
悅榕莊,桃園市八德區豐田二路8號,18.9,5,24,1.0705565440289155,0.3096626327466504,102.0
LOVE 7,桃園市八德區桃德路450號,25.1,13,8,0.614090127128066,0.8384777129118637,90.0
三元吉第公寓,桃園市八德區永福西街72號,19.8,30,13,0.3662743178206412,0.3381159240059236,387.0
和發愛晴,桃園市八德區新興路1498號,24.0,3,15,2.38706716041998,0.3081798323672261,33.0
合家歡,桃園市八德區龍宮街75號,16.2,28,17,2.46852007339556,0.578937344217941,52.0
易家謙園,桃園市八德區瑞安街118號,25.2,8,19,0.3169648977383896,0.3061810821313104,54.0
成功大道,桃園市八德區中興街40號,21.2,26,22,5.042064346805392,0.3244112958335685,56.0
佐公園,桃園市八德區長興路80號,22.2,8,19,1.5789635601753222,0.2252450876048649,63.0
天琴,桃園市八德區國際路50號,30.3,11,13,0.633099494589165,0.58663877332804,338.0
三本千晴,桃園市八德區大興路106號,28.1,7,13,0.8640231698023925,0.4270160694774769,139.0
輝煌騰達,桃園市八德區大福街65號,26.1,8,9,0.5067526748562292,0.710908172217219,88.0
春虹映象,桃園市八德區茄苳路93巷11號,19.4,22,14,1.3970748810882905,0.6462982358063527,137.0
百年里昂,桃園市八德區竹興街29巷10號,14.9,25,18,2.8260486477807203,0.6604821406936398,9.0
元皇寬,桃園市八德區正福二街19號,24.0,13,9,0.8823838389429705,0.6017237539569414,185.0
逸極朗闊,桃園市八德區豐田五街2號,28.0,9,24,0.9832374734733814,0.2413041778853211,85.0
詠綠藝,桃園市八德區忠勇七街2號,23.5,3,10,0.6179418416342017,0.435955985496904,235.0
喬崴微笑+,桃園市八德區介壽路二段1352巷106號,19.1,5,22,0.7315183673162226,0.2454657113733668,85.0
鵬程首捷,桃園市八德區中正一路120號,31.4,3,20,5.348351438152196,0.3990956968796224,58.0
澄品硯一期,桃園市八德區高城八街19巷45號,22.5,9,17,0.5981679199559079,0.3466188890863512,51.0
旺氣尊品,桃園市八德區東豐街250號,16.4,22,18,1.818915428622112,0.4136827109088305,8.0
法樂琦,桃園市八德區長興二路83號,26.5,7,20,3.43980054393045,0.687659020338073,39.0
陽光大境,桃園市八德區豐吉路130號,21.1,5,22,0.8683771203724582,0.4643125869595819,104.0
興聚皇苑,桃園市八德區豐德一路11號,25.2,7,23,1.3508017914545458,0.3799206090674982,87.0
國鐵新鑽,桃園市八德區仁愛街69號,13.5,30,13,0.3953247409124824,0.3874108931313741,367.0
中日龍族,桃園市八德區中華路275巷9號,23.3,27,14,0.9272108461996644,0.6646363349155526,85.0
慕夏,桃園市八德區正福街50號,25.8,15,10,0.9187859161056662,0.6428312612713266,160.0
君臨天下,桃園市八德區忠勇一街33號,24.1,14,10,0.5636253237452602,0.3452249141964676,242.0
廣豐公園三期,桃園市八德區公園路103號,33.6,6,11,0.4440791877279507,0.3898360346035757,357.0
台北富達,桃園市八德區東勇街55巷2號,22.6,16,11,0.6553844472174031,0.501506016258417,251.0
富麗前程,桃園市八德區介壽路一段380號,21.0,28,8,0.8242156483334201,0.3954895401753383,204.0
香榭儷舍,桃園市八德區和平路132號,26.0,9,13,0.4018587764196966,0.2475797201382586,312.0
廣豐公園二期,桃園市八德區公園路51號,30.1,7,12,0.3015948089434676,0.2523317790798381,377.0
夏沐寬,桃園市八德區長興二路52號,19.9,7,19,3.555277078484256,0.5405992099624735,57.0
元臺境,桃園市八德區和平路991巷123弄111號,21.7,2,10,1.6014280303814004,0.3747538890956278,24.0
慶賀ONE51,桃園市八德區豐田一路87號,26.0,9,23,1.325644934070901,0.3283049413158488,88.0
來鑫商業大樓,桃園市八德區介壽路一段919號,19.8,29,11,0.0515673575499727,3.276656625411299,393.0
英橋領袖,桃園市八德區興豐路372號,20.4,14,22,1.0714939425065095,0.151946825796453,87.0
合雄御璟,桃園市八德區長興一路28號,29.7,7,20,1.5639640164690882,0.2580993145962205,63.0
貝森朵芙,桃園市八德區中正路26號,23.2,11,21,1.3381479488123167,0.2466556812395253,64.0
逸極天地,桃園市八德區仁德二路12號,27.0,9,20,1.0853788071293196,0.7134285431805819,51.0
都心悅,桃園市八德區介壽路二段133巷91號,32.0,10,14,0.3393356091030924,0.1199169893952922,323.0
