建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
寶徠花園,桃園市大園區高鐵南路一段50號,49.0,5,21,1.2774056366789197,0.4999322591654578,138.0
聯上世界,桃園市大園區高鐵南路一段77號,39.6,7,19,1.1742124113717725,0.3433110755027314,144.0
勝旺雲詠,桃園市大園區領航北路四段38號,36.1,7,25,2.4873941207310524,0.4707464574727323,109.0
城市勳章,桃園市大園區高鐵北路二段176號,29.0,10,23,5.378755708338063,0.1903377881034196,56.0
宜誠大容,桃園市大園區公園路一段80號,23.9,8,18,0.6702213341748566,0.4261141097198147,99.0
悅灣二期,桃園市大園區園航路391號,15.5,15,31,1.163158403629842,0.3820373472013956,3.0
德鄉W1,桃園市大園區大興路107號,22.8,5,30,0.2908056437050872,0.0389097832166818,73.0
海德公園,桃園市大園區高鐵北路二段96號,30.5,8,22,2.445998746147224,0.2895478225509286,111.0
高誠君臨,桃園市大園區園學路173號,18.4,1,29,1.1724069148520664,0.6064049743521718,2.0
大園悅灣一期,桃園市大園區南和路185號之1,16.9,15,28,1.481112374134215,0.8102168426585437,2.0
晶華匯,桃園市大園區新生路四段249號,36.3,6,17,1.0962103358310211,0.0988752777919604,133.0
大皇冠,桃園市大園區大觀路1156巷6弄18號,13.3,25,34,0.8615886780686722,1.3602313251338494,4.0
宜雄馥悅,桃園市大園區學十街112號,20.8,7,30,1.2858716144410631,0.9339995230606803,1.0
宜誠青埔市,桃園市大園區領航北路四段352號,30.8,15,24,5.077403911981012,0.1913815509220509,41.0
宜誠青埔市二期,桃園市大園區領航北路四段380號,31.0,14,23,5.1753705726530885,0.1809577527134505,43.0
東方明珠2,桃園市大園區大成路二段37號,35.0,8,23,5.2431655189989455,0.0888351950009085,79.0
首富,桃園市大園區致祥一街97號,35.4,10,18,1.0444911002417567,0.247644903440775,151.0
竹城羽田,桃園市大園區大成路二段1號,28.9,8,23,5.328862523245422,0.1437242970399146,93.0
布拉格麗景,桃園市大園區拔子林一路226號,26.1,3,32,2.6339048759858144,0.7107012880997341,28.0
青城之戀,桃園市大園區青昇路一段132巷338號,22.7,3,19,2.1875498264893527,1.219301812245503,47.0
太子馥三期,桃園市大園區公園路一段43號,45.3,5,17,0.6109908045430081,0.489540477952292,89.0
太子馥,桃園市大園區致遠一路123號,39.9,9,18,0.9530085977393238,0.1446104901549085,113.0
城市的遠見,桃園市大園區領航南路四段207號,27.8,12,21,5.619225733265652,0.4333170891813818,46.0
宜誠馥誠,桃園市大園區文興街111號,20.2,9,30,1.3372066933823548,0.7100929567758307,8.0
當代双邑,桃園市大園區聖德北路1076巷6號,21.9,7,23,3.1623570743906964,2.1114209135829536,1.0
河沐會館,桃園市大園區公園路一段93號,32.3,8,18,0.6343688199542512,0.4624512784659472,93.0
玖都SWEET,桃園市大園區大成路一段59號,39.3,7,21,5.486163476689129,0.2779254627643354,63.0
宜雄玉環,桃園市大園區致善路一段88號,26.9,5,18,0.6369263551044242,0.4751148839230766,98.0
宜誠馥悅,桃園市大園區學十一街112號,21.6,1,30,1.4496360304697509,0.9912303340129424,1.0
飛帆國度一期,桃園市大園區園一街1號,15.1,15,31,1.1886741229652782,0.6005222167859176,9.0
布拉格水立方貳期,桃園市大園區致遠一路21號,24.9,9,18,0.7521406741348337,0.3458319197125058,122.0
國際高鐵-捷運之星,桃園市大園區大成路一段2號,27.9,8,21,5.61980171265195,0.4179085491529375,52.0
中興大道,桃園市大園區中興路二段371巷19號,26.9,3,20,5.344567862105603,1.1358603257841222,11.0
國際高鐵尊爵,桃園市大園區興德路22號,22.4,8,23,2.163383409925784,0.5830234322547884,99.0
加園,桃園市大園區中正東路一段700巷29號,19.9,18,24,4.186554595246586,1.1995036562493175,1.0
順儷V1,桃園市大園區大豐四街8號,24.8,8,24,4.912376738692481,0.3180497816508392,60.0
艾美館,桃園市大園區青峰路二段195號,25.7,4,22,5.532496823452239,0.3285212370611162,60.0
宜誠國學館,桃園市大園區大勇路33號,24.6,8,23,2.483557181039782,0.239396529763469,111.0
澄匯,桃園市大園區長興街50號,21.6,7,28,0.3311441617125336,0.3972580103577241,71.0
宜誠君匯,桃園市大園區園航路393號,21.5,6,31,1.138887279688018,0.3570135859711589,3.0
泩泉天璽NO.5,桃園市大園區三民路二段595巷22號,24.9,1,31,2.4734804950209752,0.5560784845426074,28.0
星棧布拉格,桃園市大園區拔子林一路137號,24.2,3,32,2.5394462596641447,0.6217444706703522,28.0
桃囍,桃園市大園區學六街15號,18.5,7,30,0.912242430536066,0.6295757569972532,5.0
采豐所在,桃園市大園區高鐵南路一段96號,31.2,2,20,1.1247105735511225,0.4256074766427682,158.0
問星,桃園市大園區大仁路71號,38.8,9,24,5.141854866345676,0.1951318652946061,98.0
宜誠領航,桃園市大園區新興路162號,23.5,16,29,0.2227100142643412,0.3374000337323555,73.0
布拉格之鷹,桃園市大園區致遠一路71號,27.3,7,18,0.9160397058348316,0.1816269330059919,115.0
宜誠湖畔,桃園市大園區中園街25號,15.0,16,28,0.2984323159870838,0.3375351611977211,70.0
海川逸靜,桃園市大園區華興路158號,22.8,7,29,0.2345647347246033,0.1853138997482898,73.0
康閤幸福居B區,桃園市大園區中山南路306號,22.0,7,26,0.6062728634085566,0.1600416631397202,78.0
布拉格水立方壹期,桃園市大園區致遠一路43號,32.5,9,18,0.802908207278425,0.29586733754215,131.0
國際高鐵帝景特區,桃園市大園區致祥三街48號,27.7,10,19,1.0072114994743822,0.2522005574662831,154.0
