建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
和悅峰景,桃園市大溪區福居街68號,24.4,2,23,0.99377904495106,0.4926372334671373,48.0
雙橡園一期,桃園市大溪區介壽路210號,14.9,19,27,1.4844025534455314,0.0651378426970419,46.0
遠雄大溪地,桃園市大溪區員林路一段3巷19號,20.2,8,24,1.063138828317522,0.7325324132090774,46.0
鑫興,桃園市大溪區快速路162號,19.9,7,21,1.6582902371583157,0.8007614115344136,15.0
雲仰,桃園市大溪區介壽路22巷21號,18.2,11,22,1.1685950998945602,0.3139138551157171,61.0
園堡,桃園市大溪區員林路二段228號,15.4,16,20,1.980122182964256,0.6185031300837546,22.0
大溪寶第大廈,桃園市大溪區慈湖路81號,14.3,29,30,0.4470852021980994,0.3056028703940601,64.0
三本天朗,桃園市大溪區仁善街108號,23.3,9,24,0.94596188994049,0.4538211649887894,41.0
萬富閣大樓,桃園市大溪區大漢街39號,12.4,25,33,0.671006010650219,0.5394941411513323,45.0
僑愛新村A區,桃園市大溪區僑愛一街35巷17弄10號,11.1,21,26,1.3747413833624336,0.1861883613753189,60.0
慶賀天闊,桃園市大溪區仁和東街96號,30.0,4,20,1.1241969376584546,0.2194126729797658,30.0
依托邦,桃園市大溪區福安里23號之8,14.9,23,46,3.7621330820505454,1.4709120599581815,1.0
鈞寶帝國,桃園市大溪區埔頂路一段357巷21號,15.4,17,21,0.1355816272849198,0.6489897507324608,53.0
佳泰幸福滿屋,桃園市大溪區仁善一街106巷17號,25.9,5,25,0.8808045421653704,0.6154086399061945,52.0
慶賀天擎-大樓區,桃園市大溪區員林路二段228號之2,17.5,2,20,1.980122182964256,0.6185031300837546,22.0
真綻美,桃園市大溪區仁和路二段190巷,18.7,9,19,1.2459442674610874,0.6675463334165113,12.0
翔嘉御品,桃園市大溪區文化路273巷56號,17.1,5,34,0.9296323805554908,0.6760037505191353,36.0
僑愛新村F區,桃園市大溪區僑愛一街72巷16弄10號,15.1,21,23,1.3212638770181773,0.2291993435447554,57.0
宜宸印象-大溪大樓,桃園市大溪區介壽路566巷25弄187號,20.7,7,25,1.1550630469699903,0.7396235550917748,44.0
慶賀湛美,桃園市大溪區埔仁路216號,19.3,5,22,0.2840811011654605,0.4134908494018725,63.0
帝國天廈,桃園市大溪區中正東路24巷6號,12.5,29,30,0.3703340279549212,0.2949780641474757,62.0
森巴黎5期真愛宅,桃園市大溪區金城路70巷9號,19.2,7,32,0.4747262905916689,0.3370423447378624,58.0
大溪勝利新城,桃園市大溪區勝利街97巷22號,7.9,26,33,1.39063550587099,0.3934753134543649,12.0
僑愛新村G區,桃園市大溪區僑愛一街100號,13.4,21,23,1.213783433935675,0.338074161730312,64.0
僑愛新村B區,桃園市大溪區僑愛一街35巷20弄8號,14.3,21,26,1.3102994790280051,0.2462239033703117,64.0
僑愛新村C區,桃園市大溪區僑愛一街105巷15弄5號,13.1,21,23,1.1893817227519607,0.3606564937776346,67.0
金層康莊路197號華廈,桃園市大溪區康莊路197號,9.8,28,31,0.533716551541992,0.4007821842298071,59.0
