建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
民族極景,桃園市平鎮區民族路二段33號,26.1,8,8,0.2775367056770657,0.2788334391511761,161.0
遠雄龍岡2,桃園市平鎮區中山路67號,24.6,7,18,2.2502509521613776,0.2865497882113319,61.0
極光,桃園市平鎮區延平路二段1號,25.4,11,10,0.2901835591187122,0.3246132253146802,155.0
遠雄龍岡,桃園市平鎮區中山路65號,25.2,8,18,2.239631034518105,0.2754110161184159,61.0
鴻築吾江,桃園市平鎮區延平路二段42號,26.7,10,6,0.0925754979664025,0.3466768848399834,178.0
城上水美,桃園市平鎮區延平路二段239巷29號,26.1,11,9,0.4009217196337667,0.4638397614287289,150.0
璟都大觀苑,桃園市平鎮區新富一街205號,23.1,10,10,0.9866539371637124,0.6508841852800487,90.0
樺昇麗池,桃園市平鎮區延平路二段430巷57號,23.6,16,10,0.2966477597831735,0.2268525575599614,131.0
中央甲天廈,桃園市平鎮區文化街26號,19.3,29,11,0.2360155752273649,0.1493269144601543,136.0
巢世代,桃園市平鎮區開封街406號,22.8,11,16,3.1947891196586986,0.7590376554025905,65.0
河美御景,桃園市平鎮區新富街198號,26.0,8,10,0.9877156355628312,0.6261522928977921,87.0
巴黎春天,桃園市平鎮區延平路三段6號,24.2,16,10,0.5028287051004859,0.0440384298938273,105.0
易家大禾,桃園市平鎮區廣泰路233號,28.3,7,11,0.3921131461888604,0.1321312311193664,96.0
櫻花時代,桃園市平鎮區中豐路南勢二段468號,20.8,5,17,3.396373113689085,0.2094647067640912,65.0
源美亞典,桃園市平鎮區德育路二段158號,23.9,14,8,1.0814290855280038,0.2235429667924912,69.0
皇家大第,桃園市平鎮區復旦路二段187號,18.7,30,11,0.3333459547031333,0.1548120621800079,115.0
天閱,桃園市平鎮區德育路二段104巷22號,26.6,12,8,0.9151761427948788,0.1961134891387693,89.0
新文華,桃園市平鎮區振平街221號,26.7,10,8,1.034675814160484,0.3978236537235041,88.0
宜誠四季行館,桃園市平鎮區中豐路山頂段3號,23.4,10,17,2.9883594427415505,0.6917497903917935,36.0
鼎藏帝景,桃園市平鎮區中豐路116號,32.7,4,6,0.5446802310897033,0.2562458912928166,131.0
崇義七賢,桃園市平鎮區延平路二段430巷79號之15,23.2,10,10,0.2575587644424221,0.2105389641019059,130.0
大唐江山,桃園市平鎮區興華街101巷18號,13.7,27,12,0.4209382943420797,0.1854277008578413,94.0
易家寬禾,桃園市平鎮區廣泰路262號,22.0,5,11,0.4225312097066371,0.1665656614973363,95.0
央大麗景,桃園市平鎮區高雙路15號,28.5,4,14,1.180991555154303,0.8612906936488461,141.0
雲鼎,桃園市平鎮區上海路151號,22.7,16,16,3.782181292063335,0.4672955193256966,62.0
茂捷雲禮,桃園市平鎮區廣泰路212號,27.6,3,12,0.3565302595629679,0.0644249381534468,96.0
豐境,桃園市平鎮區平德路4巷3弄2號,22.9,3,16,2.6564716064827705,0.8280736121278164,14.0
傳佳進化論,桃園市平鎮區南京路12巷81號,26.5,4,14,3.162998326609949,0.5651160592963861,67.0
里仁為美,桃園市平鎮區振平街226號,21.0,17,8,1.060691512868085,0.2075572693632709,78.0
現代之藝,桃園市平鎮區中豐路260號,22.7,18,9,1.047663749464674,0.3329400267772973,79.0
美麗殿花園廣場,桃園市平鎮區大連街39號,22.9,15,16,3.649207295797395,0.3692999324421456,63.0
鼎藏璞麗二期,桃園市平鎮區文心路152號,25.7,5,16,3.3894250233858023,0.6036671561229141,64.0
