建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
台北比佛利夏威夷區,桃園市楊梅區青山六街29巷7號,13.1,27,17,1.1242559167185782,0.5622018317059198,25.0
鼎藏大硯一期,桃園市楊梅區青山一街127號,22.6,4,18,2.2474767074740045,0.3605795521724364,93.0
誠佳藏疆,桃園市楊梅區金山街275巷2號,23.9,6,21,0.5452640259702008,0.2612192654085015,55.0
台北新都,桃園市楊梅區裕成南路317號,12.8,26,21,1.0790085555641706,1.0699025580549413,11.0
國寶江山大廈,桃園市楊梅區中山北路二段76號,16.0,29,16,0.9157124479170404,0.1906391047712031,78.0
鴻築新巴黎,桃園市楊梅區中山北路一段494巷46號,22.4,7,20,0.4099420210365477,0.1909222507328404,57.0
智富城,桃園市楊梅區金山街328號,23.2,7,19,0.6320052813533551,0.3491309646142759,53.0
喆園,桃園市楊梅區金山街351號,21.5,3,19,0.6142047507583231,0.3232869140581099,52.0
桂冠A+,桃園市楊梅區環南路80巷1號,18.7,12,21,1.202761266494564,0.143511046561991,90.0
玫瑰村,桃園市楊梅區中山北路一段390巷45弄34號,15.8,28,20,0.2083886537742862,0.152149853619525,50.0
鼎藏大硯二期,桃園市楊梅區青山一街123號,21.1,4,17,1.035213271006716,0.2142817673860192,48.0
X計畫-世紀城,桃園市楊梅區金山街298巷51號,23.8,5,20,0.6892538544400385,0.4155585958613708,50.0
台北比佛利國家公園區,桃園市楊梅區青山三街101號,13.6,27,17,1.0323307915844715,0.4919479956535637,32.0
站前歡喜樓,桃園市楊梅區環東路438號,24.4,27,19,0.1023930005239794,0.230105367488786,52.0
五守新村A區,桃園市楊梅區文化街189巷60號,12.4,20,21,0.7954707576189765,0.0859439006735368,172.0
五守新村B區,桃園市楊梅區文化街189巷35號,10.9,20,21,0.7272597161463704,0.0816876855454831,174.0
宜誠華府DCII-雙橡園,桃園市楊梅區永美路387巷17號,29.9,2,19,0.4413200980102813,0.538056884264054,171.0
香梅一品,桃園市楊梅區楊新北路261號,19.9,2,20,0.3913949676308365,0.3427671655311647,168.0
世紀花園廣場,桃園市楊梅區梅獅路二段156巷20號,19.3,18,20,0.6119288445213498,0.3458260886034814,109.0
和毅璞玉,桃園市楊梅區福羚路101號,20.4,7,20,0.4097817797336679,0.2025586204974497,113.0
站前京華,桃園市楊梅區金德路18號,20.2,6,22,0.3860404223121045,0.5186787152833889,151.0
紐約時尚會館,桃園市楊梅區梅獅路二段166巷17號,18.3,16,20,0.7155596306131484,0.4289832859019683,91.0
協和涵美-雅邑區,桃園市楊梅區瑞梅街220巷1號,22.2,6,20,0.4120829691546858,0.3684555651119787,113.0
台北誠家,桃園市楊梅區青山二街379巷12號,14.4,17,18,0.9899660959608234,0.27501872569787,38.0
哈佛學院,桃園市楊梅區萬大路164巷1號,19.9,19,21,0.4193438749749846,0.1583935941114427,115.0
凱悅假期,桃園市楊梅區新農街號,22.5,17,19,0.2743585092535988,0.0765196643615126,63.0
鴻築新米蘭,桃園市楊梅區中山北路一段494巷98號,21.7,3,20,0.470269236070053,0.1466230283859708,53.0
文化金都,桃園市楊梅區文化街253號,14.6,27,21,0.6421478056138675,0.1745814310908442,174.0
台北亞熱帶凱撒區,桃園市楊梅區裕成南路334號,15.1,25,21,1.06133488673155,1.0421842877591585,12.0
新都悅,桃園市楊梅區梅獅路二段232巷36號,20.9,9,20,0.7524549459757377,0.3971924797839444,89.0
明日城,桃園市楊梅區金山街298巷22號,21.2,9,21,0.6244650934850839,0.3699518650199574,52.0
聚寶莊,桃園市楊梅區中山南路608號,12.9,27,26,2.382019857781872,1.756422993985064,22.0
星光會館,桃園市楊梅區四維路169號,19.1,15,20,0.5540865180437413,0.2368647908006719,175.0
登峰大廈,桃園市楊梅區金溪路205號,16.2,16,21,1.6815057479755282,0.5946079044789023,47.0
光華二村,桃園市楊梅區中興路124號,20.8,26,19,0.0904356351598941,0.0693561702392342,144.0
台北比佛利曼哈頓區,桃園市楊梅區青山二街376號,10.1,28,17,1.6746022034570052,0.3636478926093763,33.0
春虹桂冠,桃園市楊梅區永寧路1巷2號,20.6,14,21,1.104113826977871,0.1053649882802172,109.0
華東映月,桃園市楊梅區青山一街205巷2號,21.6,6,17,1.0266064351594466,0.2510892375652047,33.0
滿築,桃園市楊梅區環南路75巷1弄12號,19.5,18,21,1.18795942063807,0.1505020142777563,88.0
公園臻品,桃園市楊梅區三民路43巷108號,16.0,18,20,0.7978942101492326,0.5250961536157209,74.0
協和涵美-馥邑區,桃園市楊梅區梅獅路二段36號,24.5,6,19,0.3844908539464038,0.3333079896046158,113.0
厚陞揚,桃園市楊梅區校前路254巷59號,14.3,4,22,1.1977104361052555,0.2225973027793381,73.0
益展學苑,桃園市楊梅區福羚路137號,22.4,5,22,0.4954066680631649,0.0775191075840387,112.0
陽光學園,桃園市楊梅區三民路49巷6號,17.9,16,18,0.9186938763617746,0.1857564176198858,70.0
錢都18期,桃園市楊梅區民安路52巷1弄50號,15.4,1,29,4.970065352692911,0.36237257217757,1.0
華府DC,桃園市楊梅區永美路371巷2號,21.8,6,18,0.3734433517059818,0.4491722742924728,171.0
豐富家,桃園市楊梅區豐興街23巷7號,13.8,8,31,4.298040433298405,0.6448310333975564,52.0
新合院,桃園市楊梅區益新一街128巷33號,21.7,10,20,0.3444852000277871,0.4318847728170708,167.0
陽明國宅,桃園市楊梅區新農街362號,14.8,25,20,0.2863017014318002,0.13807073020322,55.0
楊梅鄉親二期,桃園市楊梅區環南路103號,14.3,28,21,1.2754851739667956,0.2087128051193402,79.0
協和星視界,桃園市楊梅區梅獅路二段79號,16.6,4,20,0.4167350617273106,0.3830134371879684,113.0
百川文心硯,桃園市楊梅區福羚路92巷15號,24.1,6,21,0.3955993105293155,0.3545659582607093,115.0
柏園貴族,桃園市楊梅區永美路445巷28號,18.8,30,20,0.2008611446187709,0.6210019570338549,187.0
振翔富裔,桃園市楊梅區金龍一路與五守街路口,18.9,1,21,2.9281523345413425,0.1423275915256137,148.0
邦國世紀新都,桃園市楊梅區梅獅路二段61號,17.0,28,19,0.3728203909355722,0.3705655848708316,113.0
大清SUPER,桃園市楊梅區電研路190巷500號,13.8,7,18,3.2002195890760787,1.2396970756354124,2.0
上田豪梅,桃園市楊梅區高平路531號,19.6,5,23,3.714143005545026,0.8299006399051686,4.0
櫻花博,桃園市楊梅區新農街二段178號,20.3,4,19,0.6401365123786029,0.2392238226804639,85.0
美居上景,桃園市楊梅區三民北路88號,26.3,5,18,0.7242710788118634,0.141794553843617,77.0
皇普鉑苑,桃園市楊梅區四維二路50號,24.1,2,20,0.2707336061412123,0.5534630726083126,185.0
和發學悅,桃園市楊梅區中山北路一段390巷87號,25.2,8,20,0.3388343265320114,0.1058789319602129,51.0
夢想家(中山南路),桃園市楊梅區中山南路612號,12.2,4,26,2.40019051697258,1.7743634289869952,23.0
