建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
電通市,桃園市蘆竹區南山路一段17號,22.4,27,26,1.3187922617503454,0.9273204907624288,88.0
星馳市,桃園市蘆竹區忠孝西路207號,25.2,26,22,1.8249152560171005,0.2509156691249199,145.0
星河,桃園市蘆竹區南福街59號,29.0,23,20,1.4177716416204489,0.1657799705250554,185.0
文藝復興,桃園市蘆竹區大新路199號,30.0,7,23,5.416629774127389,0.6313479861703101,76.0
合雄匯御璽,桃園市蘆竹區忠孝西路182巷1號,37.3,11,22,1.7415725404734264,0.2014040104037483,165.0
合遠涵萃,桃園市蘆竹區中山北街121號,35.7,3,24,0.1950531839602712,0.2905923689575922,69.0
都會風閣,桃園市蘆竹區奉化路148號,33.4,18,22,1.8524052930467003,0.2708083068019248,137.0
臻愛巴黎,桃園市蘆竹區中正路155號,32.5,19,20,0.2675838486580678,0.0289662051883721,220.0
中悅帝寶,桃園市蘆竹區中正路29號,32.4,16,19,1.227326877869602,0.3730853193259053,192.0
發現之旅四季區,桃園市蘆竹區奉化路258巷1號,32.6,17,21,1.8742391152235136,0.3818873892074126,120.0
竹城京都,桃園市蘆竹區吉林路43號,34.3,19,24,0.430569825646407,0.2538355829544527,176.0
宜誠一極,桃園市蘆竹區忠孝西路53號,29.5,3,21,1.2855761978123863,0.2178651895409274,202.0
太子地球村,桃園市蘆竹區中山路45號,29.4,24,23,0.0619046627454329,0.1283006638731287,108.0
群英匯,桃園市蘆竹區中興四街196號,26.1,9,20,0.3962912388491089,0.5720708469291551,80.0
沐夏館,桃園市蘆竹區南順四街60號,37.0,11,22,1.7439575874415587,0.2968237898011619,167.0
大築A＋,桃園市蘆竹區大興四街107號,27.5,16,21,4.448339725155292,0.55037444141493,102.0
長昇美居,桃園市蘆竹區中山路198號,29.4,12,26,0.7501939486246603,0.3628237368667787,82.0
竹城吉川,桃園市蘆竹區吉林路99號,26.3,10,24,0.3622761325562854,0.2493886395747835,161.0
光明鼎,桃園市蘆竹區光明路二段56號,40.0,3,24,1.4648677330859818,0.1912583925245285,199.0
竹城代官山,桃園市蘆竹區仁愛路三段260巷41號,33.1,17,24,0.2209335813135798,0.3026302954212184,65.0
領袖會館,桃園市蘆竹區大興四街120號,21.0,14,21,4.422676526095265,0.5756130638271986,102.0
涵園,桃園市蘆竹區奉化路232號,35.2,12,21,1.830468097054148,0.3252372160445362,125.0
中麗璞聚,桃園市蘆竹區大興十街9號,24.0,3,22,4.921109370936626,0.4066693715161401,81.0
竹城上越,桃園市蘆竹區中山北街49號,33.6,13,24,0.0854565332218546,0.1853258711463952,94.0
麗寶經典,桃園市蘆竹區奉化路182號,36.2,22,21,1.8290117489250912,0.2671095121980696,133.0
昇捷荷堂,桃園市蘆竹區奉化路70號,24.7,21,23,1.8992035237436464,0.3996836548592816,141.0
國際富市,桃園市蘆竹區南昌路272號,12.8,28,20,1.6195412221009904,0.1884232574638442,170.0
大來賞,桃園市蘆竹區南崁路一段78號之1,29.9,18,25,1.2282413220000203,0.5703863126189677,145.0
名軒天麗,桃園市蘆竹區南順四街53號,37.5,7,22,1.7375387483648637,0.3230474504257484,168.0
統領台北,桃園市蘆竹區長春路108號,21.3,25,24,0.107130788419168,0.1841895051283271,121.0
合雄星晴天,桃園市蘆竹區南福街223號,36.3,7,20,1.7793451925570087,0.4326487705136697,126.0
漢豐御品苑,桃園市蘆竹區中興五街41號,25.0,9,21,0.2249915083077434,0.5330067319867839,102.0
合雄匯明水苑,桃園市蘆竹區大正街1號,37.8,11,22,1.6148527718135914,0.2667554124057292,182.0
快樂go,桃園市蘆竹區五福一路41號,31.8,16,25,0.8752955100124913,0.4656880954910748,89.0
英橋帝景,桃園市蘆竹區愛山街1號,27.5,11,25,0.2283351387846742,0.2659210646541516,80.0
大聯邦六七八期,桃園市蘆竹區奉化路84號,23.1,27,23,1.896623648688197,0.3875066377584913,142.0
曼哈頓,桃園市蘆竹區南竹路一段62號,31.1,20,22,1.061029926435781,0.2200264659504293,228.0
日和國際大亨,桃園市蘆竹區中正路25號,28.0,26,19,1.243457341938596,0.4115924009490586,190.0
合雄君璽,桃園市蘆竹區忠孝西路182巷6號,34.3,9,22,1.725832524197994,0.1900274695398398,165.0
台北新領空,桃園市蘆竹區南福街21號之5,24.8,28,20,1.4827545225016598,0.1249663092934804,180.0
麗寶W1,桃園市蘆竹區新南路一段50號,33.2,9,20,0.1790240445619625,0.1056242930569559,221.0
花都,桃園市蘆竹區奉化路156號,31.5,18,22,1.8409267829772988,0.259092564264975,135.0
時尚風閣,桃園市蘆竹區奉化路17號,32.1,18,23,1.9263292946604424,0.5153922620480142,138.0
冠倫台北翰林,桃園市蘆竹區長春路69號,22.7,28,24,0.1645953642356986,0.1857909505320222,145.0
竹城采都,桃園市蘆竹區吉林路156巷19號,29.2,19,25,0.2550048061155097,0.1957205963755846,153.0
中悅上林苑,桃園市蘆竹區中山路1號,33.5,10,25,0.6246396235271153,0.2524899772677043,75.0
中悅花園廣場,桃園市蘆竹區六福路253號,25.2,25,27,1.134133824094166,0.7662474080538227,48.0
麗景,桃園市蘆竹區奉化路75號,30.7,10,23,1.861902020596048,0.3538173379602949,145.0
爵仕堡,桃園市蘆竹區南順六街20號,37.3,21,22,1.7774275433954367,0.1955779539562755,154.0
寶欣樂GO+,桃園市蘆竹區新福街1號,28.8,5,24,5.34722371787835,0.4787610407475353,76.0
星光市,桃園市蘆竹區南順六街54號,33.9,24,21,1.685116155678703,0.1031203452284031,167.0
日光花園,桃園市蘆竹區福祿一街39號,28.4,20,26,0.5948026595565054,0.1872377160767213,122.0
鵬程萬里,桃園市蘆竹區六福路157號,18.3,29,25,0.9682456117269752,0.5675585394380975,76.0
巴黎情歌,桃園市蘆竹區大福路123號,28.3,7,23,5.1600737611720815,4.735013478213356,92.0
中悅四季,桃園市蘆竹區吉林路171號,29.3,21,24,0.3135601721854731,0.1058723380772814,128.0
麗源王朝,桃園市蘆竹區奉化路36號,27.8,21,24,1.9572420760909617,0.5484283437482422,132.0
香榭堤景,桃園市蘆竹區南昌路47號,33.3,16,22,1.7145963280844632,0.3164596526180112,171.0
麗水漾,桃園市蘆竹區忠孝西路65號,33.6,10,21,1.5093952749142625,0.1453992019345952,180.0
竹城朝日,桃園市蘆竹區中山路160號,31.7,11,26,0.7223368732673096,0.3360228415309835,79.0
竹城富良野,桃園市蘆竹區歐楓街67號,31.4,12,27,1.0993455468570958,0.7005958660410186,58.0
冠倫台北文昌,桃園市蘆竹區長春路61號,21.6,28,25,0.2111276490511984,0.1955874576867868,148.0
中悅城堡,桃園市蘆竹區中山路36號之6,25.7,12,23,0.0149345319407615,0.1796817509754349,104.0
春秋行館,桃園市蘆竹區愛山街2號,30.5,11,25,0.2283351387846742,0.2659210646541516,80.0
寶欣天廈,桃園市蘆竹區大興十四街35號,25.6,7,23,5.280715283008674,0.4883815233951032,77.0
航空Smart,桃園市蘆竹區錦明街39號,34.5,17,24,1.1848847164848506,0.4058545646917252,174.0
人文學苑,桃園市蘆竹區五福一路175號,27.6,13,25,0.7335807109644207,0.3603864615695028,148.0
大富翁都會廣場大樓,桃園市蘆竹區中正路304號,27.1,27,23,0.9950769435079594,0.2407974245466806,228.0
世外桃園,桃園市蘆竹區光復路146號,17.6,29,23,1.3676847935292644,0.1007590167091089,205.0
樂活,桃園市蘆竹區中山路108巷8號,22.5,16,26,0.5207352225992576,0.2435653702955161,70.0
中悅新天鵝堡,桃園市蘆竹區中山路50號,30.8,15,24,0.2187763951218597,0.1288308854119928,103.0
昇捷雲濤,桃園市蘆竹區錦中街31號,32.1,11,24,1.0268827713208222,0.5333733295493646,181.0
雲想-住宅大樓區,桃園市蘆竹區長興路一段40號,30.4,5,25,1.1370705877044252,0.7283076629053343,64.0
竹城大阪,桃園市蘆竹區吉林路132巷2號,32.3,18,25,0.3166101412664762,0.2704829907143997,158.0
天馥,桃園市蘆竹區大興一街146號,31.1,10,20,0.4694470223266182,0.6100773141656968,78.0
天哲,桃園市蘆竹區興仁路310號,28.9,9,20,4.104034444150587,0.6675619781578013,78.0
施華洛奇,桃園市蘆竹區六福路118號,22.0,11,26,0.9177622680682236,0.5367728310909184,68.0
興業馬可波羅,桃園市蘆竹區新南路一段125號,31.0,26,20,0.3945757206192697,0.3221594007331851,193.0
麥特林大廈,桃園市蘆竹區中山路101號,27.3,28,25,0.4460246184513308,0.0613541860078942,112.0
禮御,桃園市蘆竹區中興六街148號,27.8,9,20,3.9771034074499134,0.6315206074990976,72.0
遠東世界花園,桃園市蘆竹區仁愛路二段3號,27.0,21,24,0.2400288179176547,0.0953023767478994,146.0
中悅國寶,桃園市蘆竹區新南路一段129號,25.8,22,20,1.1247025321084752,0.3529227535845474,194.0
開南金磚二期,桃園市蘆竹區新興街138號,14.1,12,18,3.4666458283999435,0.1938763680610125,20.0
文華新城,桃園市蘆竹區中山路22號,26.6,25,23,0.0536221720544206,0.1465700859594931,99.0
帝景龍禧,桃園市蘆竹區南順一街32號,24.2,20,23,1.948756892914348,0.5225787179106621,134.0
水綠方,桃園市蘆竹區興仁路188號,27.9,9,22,4.322416477984678,0.677073434657372,93.0
