建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
紐約幸運星-大樓區,桃園市觀音區中山路一段739巷5號,18.6,3,32,7.260912612856261,1.788155197197216,1.0
東方京品,桃園市觀音區福祥街92號,25.1,4,34,3.3666241862575164,0.5471230211334389,36.0
幸福璽悅,桃園市觀音區新生路1307號,20.6,6,30,3.048076342642028,0.6562020428870848,34.0
日勝彩虹,桃園市觀音區福昌街80號,18.6,8,34,3.04045888638714,0.5840352091041211,33.0
找樂子,桃園市觀音區中觀路二段185巷36號,19.3,5,24,4.795123345907686,1.4927398837200234,0.0
鴻翔居,桃園市觀音區福新路1225巷17號,16.0,4,26,5.933097142647692,0.6069417419660728,12.0
合展大觀富域,桃園市觀音區大觀路二段353號,18.9,1,33,3.475498213380692,0.4918913830753235,35.0
藍埔ONE,桃園市觀音區石牌路665號,13.4,1,35,5.832639341467859,0.6940668094092233,1.0
薪世紀,桃園市觀音區十全路16號,20.6,6,31,3.4495610377980195,0.6709969234406754,22.0
贏球觀邸,桃園市觀音區忠富路富源段361號,20.3,3,22,3.364738979325426,0.8877167233825974,2.0
華園天喆,桃園市觀音區十全路36號,17.5,3,31,3.506945007826156,0.7629723805414682,21.0
金圓寶,桃園市觀音區十全路126巷13號,10.8,27,32,3.659141466782735,0.955224678691562,14.0
雅御NO.6,桃園市觀音區福壽街28號,16.5,5,37,4.928292298888039,0.6995063512389154,17.0
