建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
天堂鳥森遊館,桃園市龍潭區民有路267號,20.6,17,35,1.970285491411432,1.7660496922650089,13.0
夏都行館,桃園市龍潭區華南路一段41巷29號,20.8,2,23,0.4367506581146003,0.6759763661041199,123.0
太平洋水鄉國際渡假村,桃園市龍潭區民強街31號,16.1,25,36,2.4096273555735728,2.252081193605876,16.0
百年大鎮A 好萊塢特區,桃園市龍潭區百年三街24號,15.4,26,25,0.1428615220417833,0.3668139469014619,21.0
慶賀綠都心,桃園市龍潭區新龍路211號,20.9,6,26,0.880880020125375,0.2126047681936809,85.0
春虹龍歡喜,桃園市龍潭區聖亭路272號,19.5,9,26,0.8729938218702974,1.2341459396924574,33.0
大清城邑,桃園市龍潭區龍平路1107巷45號,18.3,5,19,0.9511585654254976,0.9792783254444176,2.0
菁英匯,桃園市龍潭區中豐路461巷106弄58號,24.2,5,23,0.6756673813732466,0.3128031642468719,20.0
大清境朗,桃園市龍潭區大昌路一段75巷133弄29號之1,17.9,6,21,0.3707802457429021,0.9958535123703278,87.0
地中海水花園,桃園市龍潭區大同路213巷15號,23.1,17,25,0.744689835842029,0.184303486912554,135.0
御松園,桃園市龍潭區中正路261巷85弄16號,21.7,15,25,0.7020102731568624,0.277931857326549,131.0
來德雲鼎,桃園市龍潭區中正路261巷83號,29.8,1,25,0.6679912838613979,0.2451234978850948,132.0
龍心悅,桃園市龍潭區福龍路三段216號,19.2,6,20,0.4451195245924401,0.9229343672393184,66.0
慶賀T12,桃園市龍潭區新龍路219巷8號,19.2,7,27,0.939174340190529,0.2554309337994483,78.0
觀景樓,桃園市龍潭區中興路九龍段129巷135弄56號,17.3,27,22,1.4274600222825318,0.8266348954035795,2.0
月光の樺樺-大樓區,桃園市龍潭區龍平路810號,17.6,3,19,0.887543509640453,0.6556731659683205,3.0
雙城匯--首席匯,桃園市龍潭區中豐路461巷55號之5,24.6,5,23,0.5834350618876147,0.2514305001227964,18.0
紀凡希,桃園市龍潭區公園路66號,30.3,9,23,0.5492004481814773,0.4774860671025497,125.0
宜誠歐鄉帝景大樓區,桃園市龍潭區大昌路一段84號,17.7,16,22,0.5327975499713713,0.8018925257717142,115.0
一品苑,桃園市龍潭區光明路43號,22.6,11,26,0.7994376307775627,0.2194755062202148,130.0
花園國宅,桃園市龍潭區健行路345巷59弄1號,12.3,28,24,1.1395199459196457,0.5465063871332758,38.0
幸福公園5,桃園市龍潭區中豐路461巷147弄1號,24.5,3,24,0.6551415708950169,0.3785975900858986,20.0
天龍,桃園市龍潭區天龍一巷10號,9.0,28,30,3.484354506107776,1.3776879615466968,6.0
勤樸雲天,桃園市龍潭區三角林街13號,15.7,6,29,1.3627865666440155,0.2519377249433558,9.0
新希臘地中海區,桃園市龍潭區神龍路415號,22.2,15,25,1.045556735570462,0.1686781249173696,71.0
宜誠喜悅,桃園市龍潭區中豐路533巷51弄3號,16.6,18,22,0.794529372361196,0.3710503197452463,20.0
冠勤高峰匯,桃園市龍潭區華南路一段80號,25.0,6,22,0.519419882890108,0.7354396334355245,115.0
來德國美苑,桃園市龍潭區新龍路105巷1號,20.6,8,37,8.496993667202075,0.7082692006645374,0.0
璞心居,桃園市龍潭區中豐路461巷159號,17.8,5,23,0.6858464005423424,0.409692014615809,20.0
兆發富御NO.5,桃園市龍潭區中豐路342號,23.5,4,23,0.3172115864279905,0.1972056328257856,17.0
雲上青,桃園市龍潭區民族路434巷20號,17.4,6,30,0.997162600123,0.1194110196455538,16.0
愛吾家,桃園市龍潭區大同路191巷16號,25.2,6,26,0.7512738584838836,0.1717392911683344,132.0
高瞻VISION,桃園市龍潭區龍華路479巷37號,22.7,2,24,1.2231842619115565,0.2319298836957549,53.0
祥堤品都,桃園市龍潭區聖亭路130號,17.3,7,27,0.6738673114792384,0.7926047442769133,81.0
宏觀,桃園市龍潭區中豐路257號,18.4,8,24,0.2462672367406329,0.4570442569686807,27.0
龍潭新都匯,桃園市龍潭區武中路22號,11.7,4,20,0.693981455688586,0.4256618341843293,31.0
春秋行館,桃園市龍潭區中豐路中山段95號,17.3,5,24,0.2340806358257629,0.4741696798436126,119.0
臥龍居,桃園市龍潭區佳安西路4巷55弄36號,11.8,28,31,0.4242776615623443,0.4884232882835179,24.0
校園花墅,桃園市龍潭區梅龍路558巷2號,13.1,28,28,1.899152325260416,0.0735770866830899,5.0
觀景大廈,桃園市龍潭區民治十八街45號,12.2,24,35,2.183867013663751,1.7224086684310205,15.0
上林苑好宅,桃園市龍潭區永昌路24巷1號,13.2,14,31,0.7625397482592888,0.281301172448871,14.0
心天畝,桃園市龍潭區龍華路526巷55號,18.9,15,25,2.309766449834108,0.1656183343160744,41.0
新天地,桃園市龍潭區龍平路563巷36號之11,12.5,27,19,1.265133661537,0.9426195489530016,4.0
