建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
皇翔歡喜城,桃園市龜山區文青路202號,29.5,7,21,2.452669109904736,0.570246884292389,83.0
遠雄文青,桃園市龜山區文青路179號,32.4,7,21,2.4518011184069795,0.6302370832728964,83.0
麗寶快樂家,桃園市龜山區文青路335號,29.8,7,22,2.7273460878217284,0.6083428447330825,81.0
鴻築金捷市,桃園市龜山區文化一路386號,33.2,2,26,2.1727549813192994,0.0306831746125832,38.0
遠雄新未來2,桃園市龜山區樂善二路483號,33.6,1,24,2.872027536092796,0.1149703382963149,58.0
名軒快樂家,桃園市龜山區文學路235號,29.0,7,22,2.639943588059258,0.556412085732471,82.0
璟都江山,桃園市龜山區長峰路76號,27.8,9,10,0.9115216007470922,0.382736617149427,72.0
新潤翡麗,桃園市龜山區華亞三路35號,35.3,1,25,1.895359067578994,0.3374319063131165,66.0
富御捷境,桃園市龜山區牛角坡路256號,33.1,2,25,2.734157896330656,0.2288325393414237,66.0
富堡晶樺,桃園市龜山區文化二路76號,37.2,10,24,0.4008627204155481,0.4714718490229636,364.0
富宇敦峰,桃園市龜山區樂學三路71號,35.6,2,25,1.9308520499702533,0.1549525042762691,70.0
九揚香頌,桃園市龜山區文二一街6號,50.9,19,24,0.2568629663864487,0.4566814187754403,390.0
傳佳藏毓一期,桃園市龜山區豐榮街42號,26.2,7,12,1.4766182431229822,0.4412621897210222,47.0
陸光新城A區,桃園市龜山區同心一路1號,24.6,18,9,0.6299226614888533,0.4817349266707753,159.0
西班牙廣場,桃園市龜山區萬壽路二段1277號,35.4,6,6,0.9826329536851608,0.1293412027989667,137.0
璟都國際湯城,桃園市龜山區長峰路78號,24.7,10,10,0.9077971683586192,0.3837612863573488,74.0
冠雲集二期,桃園市龜山區長壽路269巷15號,28.3,8,10,0.4287299530491595,0.1763401166537017,124.0
林口大鎮,桃園市龜山區文化二路34巷14弄27號,32.9,28,24,0.2185517724286865,0.4691697536439978,379.0
傳佳謙里,桃園市龜山區中興路88號,27.0,11,7,1.0943103940133054,0.1156926603926475,91.0
鴻築詠恆,桃園市龜山區萬壽路二段725號,27.0,8,11,0.7082527351220359,0.1197876576254094,98.0
協勝玉子園,桃園市龜山區樂學路470號,21.8,1,25,1.766285025554759,0.1044726202512272,70.0
百川樂沐,桃園市龜山區萬壽路二段1423號,31.5,4,5,0.7913531741521381,0.3722310468173586,162.0
冠雲集,桃園市龜山區長壽路269巷12號,26.0,9,10,0.473558065879169,0.2234822996611069,129.0
宏蕎聚,桃園市龜山區自強東路226號,26.5,9,11,0.7419360073332384,0.0742970653730338,95.0
活力城市,桃園市龜山區萬壽路二段1190號,21.8,18,6,0.647562202178383,0.4396914215183353,147.0
德友巨蛋,桃園市龜山區民生街6號,25.5,9,6,1.0491994908458342,0.3540688715451967,165.0
合遠新天地,桃園市龜山區華亞三路199巷1號,26.3,3,24,1.933912510756492,0.6481313337927455,47.0
新潤興業鉑麗,桃園市龜山區文化二路527號,32.6,2,24,1.973966795273908,0.3915295880291253,61.0
陸光新城C區,桃園市龜山區陸光路81號,21.3,17,8,0.6280218937078934,0.4806815012819717,158.0
宜誠層峰,桃園市龜山區南祥路81號,25.8,17,21,0.1984426748941888,0.2584785774599303,161.0
陸光新城D區,桃園市龜山區同心二路15號,20.9,18,9,0.7672850404046753,0.441986573135662,155.0
法國臻品,桃園市龜山區萬壽路一段136號,33.2,21,12,0.2654419355926736,0.1680712802340652,273.0
品上景品藏區,桃園市龜山區文化五路56號,29.0,5,21,0.4517600832922169,0.3974371487487391,297.0
秀璞,桃園市龜山區自強西路376號,29.3,9,7,0.573858967558116,0.444484179886213,147.0
