建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
鉑樂,桃園市中壢區山東一路29號,25.8,1,23,4.740924991698237,0.1069815921969083,0.0
名格門第,桃園市中壢區志成路3號,10.9,34,9,0.129109772496927,0.3059827732831866,174.0
新生活家,桃園市中壢區星文二街29號,16.3,26,9,0.9189552330671134,0.2530612664803331,89.0
萬寶龍花園別莊,桃園市中壢區同慶路322號,15.1,24,14,1.3397171441672937,0.4625204970508721,66.0
逸墅達人二期,桃園市中壢區後寮一路316號,18.1,15,13,1.2047918541373817,0.7478107850575708,66.0
和風雅居,桃園市中壢區龍吉五街19號,19.1,7,14,1.4004944412086693,0.1464866364304502,32.0
麒麟至善園,桃園市中壢區中山東路一段318巷1號,14.2,17,5,0.6036058216896285,0.301073530582398,159.0
維多利亞(透天),桃園市中壢區永能路75號,28.3,11,19,0.7973158966473135,0.4372593935374656,87.0
國際高鐵新宿區,桃園市中壢區青埔四街197號,19.8,16,19,1.812811198431374,0.8163310670849296,81.0
陽光麗墅CD區,桃園市中壢區福嶺路二段206巷1號,19.6,17,20,3.597411317196644,0.4903905751344032,9.0
友禪新生,桃園市中壢區新生路三段397號,24.4,10,14,1.5239952819317903,1.4507659701757225,1.0
領袖中原,桃園市中壢區實踐路弄23號,21.2,18,8,0.8614417672320233,0.244889227514417,106.0
琉森園,桃園市中壢區福壽十一街2巷2號,18.7,12,8,0.7494574971114304,0.7771530516948565,88.0
龍之鄉二期大廈,桃園市中壢區嘉興二街15號,18.1,29,6,0.2938755409201211,0.3189624619406362,217.0
薇閣崗石別墅,桃園市中壢區徐州街100號,26.1,18,7,0.6730950641779615,0.3533540671992236,101.0
璞石一期,桃園市中壢區台貿三街83號,21.9,16,14,1.468672934694217,0.5041405054943578,72.0
龍威別墅,桃園市中壢區榮安八街36號,19.8,20,13,0.1503238538192719,0.3893504155581253,134.0
