建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
富麗,桃園市大園區自立二街5號,19.9,7,29,1.5945482921924476,0.8933196066637845,9.0
福興福星,桃園市大園區自立三街20號,22.2,4,30,1.538914669161636,0.9309404740762868,9.0
協祐大金,桃園市大園區自立一街50號,19.6,2,29,1.5216202688114284,0.8785096341581279,9.0
日勝淘寶3-套房,桃園市大園區自立四街36號之1,21.1,3,29,1.4113873234220733,0.9968516428421104,9.0
大園享耀6,桃園市大園區自立二街11號,21.1,2,29,1.5734631324139745,0.8993760604338347,9.0
臻愛甜心,桃園市大園區大興路28號,21.9,3,30,0.0838331005264633,0.3025372986995989,73.0
天青釉,桃園市大園區致維街42號,28.6,10,17,0.7346258330343641,0.3755452720135126,90.0
福興樂樂,桃園市大園區自立三街52號,23.7,2,29,1.463971279906069,0.9592559542894308,9.0
大園享耀5,桃園市大園區自立一街51號,21.0,2,29,1.5554792239432893,0.8680890468312573,9.0
捷揚市,桃園市大園區中山南路614號,17.0,24,25,1.4243330440863846,0.6936235023728513,18.0
吉富捷靜Ⅴ極富隱舍,桃園市大園區五福路137號,25.2,3,21,5.80541974898826,0.7005215098384513,33.0
