建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
大溪表參道,桃園市大溪區文化路123號,13.6,16,32,0.1855541942206521,0.0689872702521182,57.0
大溪三元六喜,桃園市大溪區三元一街109號之1,23.7,4,23,2.125226820906248,0.6549917677486826,24.0
緣溪行-公寓區,桃園市大溪區興昌路二段100號,18.7,1,18,3.1272207933678544,1.1772994916467738,6.0
達曜輕鬆GO,桃園市大溪區文化路121巷31號,18.3,3,32,0.1626791634546225,0.1045757867627551,54.0
京都城,桃園市大溪區三元一街67巷12號之1,21.7,6,22,2.336661758698797,0.4768587419381652,24.0
慈湖山莊,桃園市大溪區慈康路157號,6.4,31,34,1.3876075907812166,0.3303453546650294,6.0
乾隆鎮,桃園市大溪區員林路三段155巷19弄9號,8.4,29,23,2.748010294803226,0.4624965427072537,15.0
爵士堡NO3,桃園市大溪區仁忠街71巷2號,16.2,16,25,1.1317486971485389,0.5609584287306896,26.0
築美學,桃園市大溪區信義路102巷12號,12.9,7,30,0.3247690004382053,0.3877725439495103,61.0
金慈湖,桃園市大溪區復興路一段976號,5.2,28,37,4.004913094975061,0.5547100354368223,8.0
