建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
NEW CITY 新都,桃園市觀音區仁德街211號,15.9,4,38,4.556283057087823,0.3957641926084794,18.0
薪世紀5,桃園市觀音區莊敬路353號,27.9,3,33,3.217792053302752,0.4357635424913386,35.0
陽光大地,桃園市觀音區保障路258巷17號,18.9,6,34,1.8552881520029376,0.8268945298129889,19.0
幸福A+,桃園市觀音區仁德街132號,17.8,2,38,4.6243265540640754,0.4290619761786611,18.0
青年成家,桃園市觀音區仁德街52號,18.3,2,37,4.860174453629495,0.624019715508908,17.0
真澄2,桃園市觀音區莊敬路481號,16.6,5,33,2.995740713287043,0.4376056325461221,34.0
勝利組V7,桃園市觀音區福祥街57號,20.0,3,34,2.988832848735959,0.4904330128348146,34.0
RICH CITY富都,桃園市觀音區長春街30號,18.6,3,38,4.907446830036389,0.674205012962093,17.0
薪世紀6,桃園市觀音區莊敬路100號之3,22.9,2,33,3.578748279634656,0.6393495105504386,33.0
時尚美家2,桃園市觀音區吉祥街81巷51號旁,15.3,3,37,4.729163969512284,0.5003092306886663,17.0
夢想家第3期,桃園市觀音區永吉街133號,16.3,6,38,4.627529685026053,0.4008839489095471,18.0
易品居,桃園市觀音區民權路85號,16.8,5,37,4.739030889109935,0.504168872473987,17.0
桃園縣草漯新生,桃園市觀音區五福三街138號,20.1,15,30,2.9023977113177137,0.402829798217975,36.0
亞悅 3 期,桃園市觀音區福壽街163號,14.2,6,38,4.625893614678655,0.4840939660585107,18.0
觀音亞悅NO.6,桃園市觀音區民權路72號,14.8,4,37,4.785964379778269,0.547274460742029,17.0
i奇藝,桃園市觀音區福興街299號,22.0,4,33,3.519531603275704,0.541156633393022,35.0
美樂居,桃園市觀音區福祥街113號,20.5,2,34,3.1883755533586524,0.4734811605452081,35.0
煌都晶彩,桃園市觀音區富平街27號,16.2,2,33,2.922278123441937,0.3110614730885862,35.0
夢想家NO.10,桃園市觀音區永吉街251號,15.3,1,38,4.373539278594908,0.2529363846792399,18.0
易品居5期,桃園市觀音區吉祥街65巷66號,18.8,3,37,4.747856718869392,0.5127848324510685,17.0
薪世紀7,桃園市觀音區莊二街52號,26.7,2,19,0.5243100198864171,0.4006927656003959,349.0
觀音亞悅NO.10,桃園市觀音區永吉街193號,14.9,3,38,4.4659392196449765,0.2907710125769167,18.0
觀音亞悅NO.9,桃園市觀音區新村路二段17號,12.3,2,37,3.8170310721169134,0.0333889562473749,6.0
觀音亞悅NO.8,桃園市觀音區六合街263號,20.3,3,33,3.711764198043609,0.9438797612790226,14.0
青湖匯,桃園市觀音區十全路162號,17.7,1,33,3.703836291304381,1.020610797987791,12.0
觀臻,桃園市觀音區新村路二段73號,13.9,1,38,4.03657126771611,0.2164089025649081,8.0
觀音亞悅NO.13,桃園市觀音區福壽街157號,16.9,1,38,4.640805072556623,0.4890801922533364,18.0
誠茗NO.2,桃園市觀音區九如三街41號,20.2,2,31,3.2031183015740967,0.7815214075414249,19.0
觀音亞悅NO.11,桃園市觀音區福壽街366號,14.8,2,38,4.158444043545558,0.3833705541720164,18.0
盛綻,桃園市觀音區福德街269號,19.1,3,33,3.315536162291804,0.4090822874012587,36.0
鎰勝唯豐,桃園市觀音區富國街21號,18.4,2,33,2.868809401774369,0.3011499562613635,35.0
宏創新銀座-公寓,桃園市觀音區莊敬路432號,21.7,3,33,3.151636274868811,0.3921666076017476,35.0
君囍,桃園市觀音區建國路181號,16.0,3,37,4.548324085128358,0.322126149951137,18.0
薪家坡,桃園市觀音區文林路265巷51弄23號,16.5,3,30,5.536864288315045,0.7519676005410183,3.0
觀音亞悅NO.7,桃園市觀音區永吉街169號,13.5,4,38,4.519544029371837,0.3196639548295179,18.0
青年時代,桃園市觀音區莊一街15號,19.4,1,33,3.571940244742367,0.5902140362284043,33.0
寓幸福,桃園市觀音區福壽街142號,18.4,1,38,4.657086897358036,0.4880309669171253,18.0
勝利組V6,桃園市觀音區福壽街116號,18.2,3,38,4.716172716152239,0.5266033757446216,18.0
勝利組5期,桃園市觀音區福祥街37號,20.5,4,33,2.978972428754524,0.4938580994083548,34.0
亞悅NO.2,桃園市觀音區泰安街21號,13.9,6,36,4.824331470680575,0.6126278055144667,17.0
喜鵲花園別墅一期,桃園市觀音區中山路一段1173號,12.4,22,31,6.340638600267829,1.4989228246871096,1.0
夢想家9,桃園市觀音區吉祥街65巷6號,16.4,3,36,4.849031062500651,0.6229861575876809,17.0
觀音亞悅NO.12,桃園市觀音區仁德街178號,15.9,2,38,4.621493303374948,0.4243927667640832,18.0
友僑拾光No.1,桃園市觀音區長春街170號之1,16.2,2,39,4.572738039057211,0.416122085355621,18.0
長運沐光2,桃園市觀音區一心路321號,22.1,4,33,3.857796883951886,0.955096838115413,16.0
勝利組3期,桃園市觀音區仁德街157號,16.3,4,38,4.6243265540640754,0.4290619761786611,18.0
黃金屋二期,桃園市觀音區六合街93號,15.1,10,32,3.412091568979878,0.4815844231852155,35.0
成功新宿,桃園市觀音區泰安街85號,15.6,16,37,4.648592460616121,0.421959518381106,17.0
悅世界,桃園市觀音區福祥街162號,24.5,1,34,3.395841131797692,0.5678966626431391,36.0
君品8,桃園市觀音區樂群街14巷29號,18.7,2,38,4.615779037729495,0.3768452414884457,18.0
福興福心,桃園市觀音區仁德街142號,19.1,3,38,4.6243265540640754,0.4290619761786611,18.0
