建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
大自然歐香,桃園市龍潭區福源路286巷48弄23號,10.0,24,29,6.123232819527404,0.974014010582511,30.0
綠青庭,桃園市龍潭區金龍路347巷號,12.9,26,26,2.63235476937371,0.3290263033139843,29.0
樂居-龍潭,桃園市龍潭區中央街169巷1號,19.6,3,24,0.7119102330585818,0.6425810669665696,19.0
日光雅墅,桃園市龍潭區中豐路上林段495巷28弄27號,8.6,18,28,2.3280597215088723,0.2269768218794086,3.0
九龍旺邸,桃園市龍潭區中興路336巷30弄24號,14.9,17,21,0.3156745230136044,0.2427361885359736,28.0
築美學2期,桃園市龍潭區誠實路276號,12.6,3,26,0.7971695413577352,0.652825096327714,52.0
綠湜門,桃園市龍潭區民治路365號,17.0,24,35,2.045783045971912,1.6964164201015954,14.0
尊邸,桃園市龍潭區大同路335號,17.5,12,24,0.5318211050819058,0.2504473600702939,131.0
金色陽光B區,桃園市龍潭區金龍路629號,13.1,18,27,3.403664422985224,1.0667811726526444,4.0
美麗新故鄉,桃園市龍潭區中興路九龍段340巷158號,10.9,26,20,1.00896348398151,1.2029684153533595,3.0
金色陽光A區,桃園市龍潭區金龍路632號,10.2,18,27,3.430926804621379,1.0965848649264518,4.0
