建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
小坡新莊,桃園市龜山區萬壽路一段頂好巷8弄2號,25.0,30,13,3.3158987631455097,0.1419664433054188,213.0
幸美,桃園市龜山區幸美街55號,9.8,28,15,1.7862725436438758,0.883716794448391,11.0
芳彬家2,桃園市龜山區文昌一街47巷,40.9,1,29,0.2203882058704837,0.3234322632416392,357.0
中興華城大廈,桃園市龜山區光明街251號,14.6,28,12,1.815731846774253,0.5572043103516522,21.0
龍和園,桃園市龜山區優美街9號,16.8,34,15,2.46270242016647,0.3504020481222747,12.0
楓樹晴,桃園市龜山區楓樹五街7號,20.3,4,12,1.2798225238341665,0.2757284564288994,52.0
久煜Mini,桃園市龜山區文化三路78巷56弄18號,28.6,6,22,0.3158535672987967,0.092996190735715,342.0
合家歡社區,桃園市龜山區大同路356巷64弄98號,29.6,41,14,1.4880440094295586,0.3371224568811753,31.0
富寓,桃園市龜山區文德路80號,28.7,9,27,1.4118598231844834,0.5809750866429594,78.0
興林雙喜一期,桃園市龜山區文化三路96號,30.3,17,22,0.0627491405377537,0.3454527577214675,368.0
華亞晶鑽,桃園市龜山區文化七路77號,33.3,15,21,1.1473489402489991,0.2254592950027568,208.0
喜臨門三期,桃園市龜山區文化三路78巷33號,19.8,22,22,0.2757321718672184,0.1456626305082726,339.0
興林雅築,桃園市龜山區興華三街86號,31.3,18,22,0.3487630369338207,0.4271774563621388,357.0
凱撒皇居,桃園市龜山區頂興路58號,19.7,17,6,1.112710623513388,0.2379793551064696,103.0
文化家鄰公寓,桃園市龜山區文化三路78巷22號,19.3,22,22,0.2071376751746404,0.2011062369390071,351.0
點睛品,桃園市龜山區楓樹路35號,19.0,15,12,1.457604437984355,0.2856895543493857,44.0
瑞士花園H區,桃園市龜山區文昌一街28巷12號,38.4,17,29,0.415857472817777,0.3993222279313461,361.0
學園雅築,桃園市龜山區文化三路530號,34.1,23,28,0.9820709753333982,0.2202612496147809,292.0
花中庭,桃園市龜山區興二街29號,10.2,31,6,0.9968619267710236,0.1380289824849682,114.0
