建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
麗寶愛琴海,桃園市中壢區成章二街448號,23.6,18,15,1.3871708272469536,0.2964235187361184,248.0
科學城,桃園市中壢區中北路二段178號,29.0,22,5,0.2632808556857753,0.3755429633073514,256.0
金華大學城,桃園市中壢區弘揚路76號,21.1,34,8,0.8772371345971017,0.3305694494782503,107.0
金鑽名第,桃園市中壢區興仁路二段297巷2號,14.2,29,15,0.6902290747121128,0.3487440928726538,101.0
春虹e吉邦,桃園市中壢區華美一路10號,22.8,22,14,0.8335102215497294,0.4881064274878572,90.0
東京都,桃園市中壢區廣州路60號,25.5,24,7,0.2652020090501471,0.0975857183584029,202.0
康橋新幹線NO.5-新貴,桃園市中壢區文興路418號,16.8,14,18,0.4457076077651021,0.9291844863587428,39.0
鍾愛一生,桃園市中壢區成章二街428號,12.6,28,15,1.3265621775600058,0.3262154178716656,244.0
元智天下,桃園市中壢區興仁路二段15號,16.0,29,15,0.6644187869971675,0.0751146005817894,197.0
小富翁大學城,桃園市中壢區大智街10號,17.2,33,8,0.8413336026249977,0.3948751553017673,110.0
中山京華,桃園市中壢區仁美二街20號,12.7,26,11,0.6077688915053285,0.3734460058061918,77.0
中原DOUBLE,桃園市中壢區新中二街33號,26.9,16,10,1.294459073127452,0.0847956461048673,91.0
皇家宮庭,桃園市中壢區慈惠三街號,16.9,33,5,0.2473270167371441,0.3074508366522721,318.0
綠藝心賞,桃園市中壢區崁頂路1381號,20.8,16,15,1.5877798757390031,0.9384172142719496,47.0
儒林園,桃園市中壢區力行北街53號,20.1,33,6,0.9590031734170992,0.2542323249233199,103.0
國際星城,桃園市中壢區中山路201號,25.2,28,3,0.2728355585931746,0.253261988833649,359.0
公卿世家大樓,桃園市中壢區吉安街號,22.4,48,6,0.4697393172926499,0.158666090215169,172.0
魚躍龍門,桃園市中壢區龍仁路15號,19.1,29,12,1.6484013778035786,0.2257718649236276,32.0
清雲小富翁,桃園市中壢區龍岡路二段73巷18號,26.5,15,8,0.7383322629488233,0.1032826637383766,104.0
華統皇第,桃園市中壢區中山東路三段102巷11號,18.3,28,10,0.3437875013480456,0.5746420353939663,55.0
翡翠大地,桃園市中壢區興仁路二段67巷103弄10號,9.1,32,16,0.7634954150817955,0.2178474229206308,114.0
青昕,桃園市中壢區青埔四街88號,24.6,9,19,1.533723621058941,0.6501620480359167,68.0
青春物語,桃園市中壢區永福路668號,19.3,23,12,0.4321352473294709,0.4556773759160104,138.0
崇光,桃園市中壢區永嘉街56號,28.5,16,6,0.6147090327617954,0.3709906391569248,372.0
巨蛋花園,桃園市中壢區溪洲三街70號,14.7,29,5,0.3182287127737868,0.3553249361118354,330.0
豐達心藝,桃園市中壢區榮安十二街12號,28.5,7,13,0.3364484766881005,0.6355598796208544,128.0
中原苑,桃園市中壢區新中北路76號,20.3,27,6,0.8368536257591214,0.1793329694677032,132.0
舞動陽光藍天,桃園市中壢區文化二路260號,33.8,19,14,1.5459023264346206,0.268626349530718,273.0
中原新世界,桃園市中壢區新中二街15巷21號,21.0,26,10,1.2956712326526112,0.1584886797751123,91.0
中原新貴,桃園市中壢區永福路號,19.3,28,12,0.3841305644085189,0.5743664584406424,137.0
福慧名人,桃園市中壢區元化路271巷26弄15號,19.1,29,5,0.1996185839058176,0.2549860068789588,316.0
傳世一品苑二期,桃園市中壢區永嘉街45號,37.4,5,6,0.5991108936578049,0.3849412665564153,368.0
新鑽,桃園市中壢區後興路二段551巷1號,14.0,33,9,0.8468873115558452,0.212770106620198,84.0
萬寶鎮B,桃園市中壢區龍川三街48號,11.4,28,14,1.2225599891002394,0.655602014569768,75.0
新津和府,桃園市中壢區榮安九街號,17.6,25,13,0.2316319833058603,0.4743903402626421,134.0
廣涵,桃園市中壢區中正路四段588巷10弄29號,12.1,24,20,4.755913494120279,0.6898485556529796,10.0
雅硯大樓,桃園市中壢區永福路942號,17.3,16,12,0.4633111099393693,0.5759755221425843,122.0
原貴,桃園市中壢區新中北路36號,26.7,28,6,0.7283067545403304,0.2293539740779437,141.0
翰林龍門大廈,桃園市中壢區長沙路19號,17.7,29,7,0.515897454227046,0.1127710813796009,161.0
哈佛林BC,桃園市中壢區大仁五街31號,20.6,30,8,1.1099582484632615,0.1307421051094416,98.0
