建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
環遊世界,桃園市八德區東勇街125巷22號,30.8,14,9,0.6579234810416176,0.5691165177554872,239.0
大成龍門,桃園市八德區東勇街號,16.6,27,9,0.840335769035405,0.5808502696402965,160.0
南源山水,桃園市八德區中華路223號,24.4,26,13,1.0595619837100247,0.7635804533003244,94.0
捷運親家,桃園市八德區茄苳路91巷8號,17.0,28,14,1.404546080509926,0.6202578769083053,138.0
愛的世界,桃園市八德區義勇街134號,19.8,28,11,0.5065147755123964,0.5444462811015242,278.0
有誠意小鎮,桃園市八德區建國路143號,19.8,24,22,1.091546299050171,0.5113791978844318,65.0
樂活市,桃園市八德區和平路1490號,26.9,12,9,1.5447610621057422,0.9243171700949544,54.0
青年城,桃園市八德區介壽路二段748巷5弄14號,19.0,20,18,0.4468205150406598,0.2838694349316339,47.0
八德名廈,桃園市八德區建國路52號,16.1,30,21,1.2671178775864445,0.3113790819388245,65.0
翰學園,桃園市八德區長生路65號,13.0,26,23,1.0844307679780028,0.256388963859767,69.0
藝術名園,桃園市八德區廣隆街140號,23.0,30,15,0.7386307179123438,0.4577574959133169,282.0
大漢新台北,桃園市八德區忠勇街214號,24.6,25,12,0.4045724835349083,0.3728737087505832,322.0
台北萬寶鎮C區,桃園市八德區東勇街19巷10號,16.2,27,11,0.6807620355522903,0.2901174768049031,250.0
雅美利家,桃園市八德區桃鶯路宏福巷47號,15.1,27,10,1.6081423200526732,0.7606538347744686,54.0
大地金龍,桃園市八德區介壽路二段931號,15.6,29,19,0.1930463547445088,0.0907127987385058,45.0
異國風華,桃園市八德區高城八街102號,22.1,15,15,0.3896086386204721,0.3669312227103204,52.0
水玥,桃園市八德區興豐路1820巷112號,18.4,2,17,2.380984008281218,1.3058870829369889,5.0
臻旺,桃園市八德區忠勇六街95號,22.1,16,9,0.6301348343001129,0.2452891813634203,213.0
春虹精品,桃園市八德區大忠街112號,26.7,15,12,0.1521201573245357,0.0782168697591776,372.0
阿拉丁花園城堡,桃園市八德區義勇街112號,23.1,24,11,0.3938645442297585,0.4323368283254096,312.0
介壽芳庭,桃園市八德區大福街64號,19.1,30,8,0.4831553241040935,0.7582736057413784,86.0
翰林花園大廈,桃園市八德區中山路128巷35號,12.1,31,22,1.5980498156630951,0.1585612466359476,59.0
陽光大境向陽區,桃園市八德區豐吉路142號,15.5,5,22,0.8634281016847962,0.4656401554010088,105.0
大漢愛鄉玫瑰,桃園市八德區忠勇街236號,14.3,25,11,0.4113533574451906,0.4487783269355239,308.0
新家坡十期黃金特區,桃園市八德區大智路53號,30.3,18,11,0.148258743039342,0.1055132896428057,391.0
台北萬事達,桃園市八德區東勇街45巷25號,20.2,26,11,0.6009900889226554,0.4171587198406788,263.0
雅居樂二期,桃園市八德區榮興路896巷22弄2號,14.9,9,17,0.8458126032516722,0.5745247940005487,33.0
桃大之星 D區,桃園市八德區義勇街66巷60號,18.7,16,12,0.222942935456549,0.2695130782262344,378.0
極品國宅B區,桃園市八德區中華北街2號,15.9,24,13,0.8917864037381222,0.6022863492550876,81.0
湖水裔,桃園市八德區和義街23號,21.7,11,12,0.8129659943874342,0.2844143857686895,206.0
忠勇街357號華廈,桃園市八德區忠勇街355巷1號,13.3,31,9,0.5403451255693006,0.0546560016801752,259.0
全佳福,桃園市八德區忠勇街377巷1號,19.2,24,9,0.6043142095687698,0.0609531326654338,245.0
飛普彩虹村,桃園市八德區東勇街85巷56號,23.0,30,8,1.226057961764243,0.5773869754857028,78.0
禾洋匯,桃園市八德區建國路207號,19.2,9,19,1.0223495780169904,0.715116348708614,60.0
三合樸真,桃園市八德區大福街80號,23.6,15,8,0.5292765759193734,0.7104717897015925,94.0
皇家翡翠,桃園市八德區廣隆街129號,17.3,28,15,0.7692722641835805,0.4512109925052791,271.0
忠勇街353號華廈,桃園市八德區忠勇街355巷2號,13.9,31,10,0.5399533615654639,0.0548766403894888,259.0
廣豐公園大墅,桃園市八德區永福西街48號,22.8,26,12,0.2396372316732088,0.2417752284074536,397.0
湖美,桃園市八德區豐田五街33號,20.6,9,22,0.8435145640611094,0.375120649349907,91.0
八德市雅典桂冠大廈,桃園市八德區僑愛一街121號,19.8,17,22,1.0397490457216882,0.3142323683269142,72.0
綠花園,桃園市八德區浮筧街125巷60號,14.7,19,20,5.071617216749512,0.8950208193538728,22.0
生活家,桃園市八德區大明街171號,22.4,27,9,0.5841977294572935,0.3381933947952223,267.0
大家園,桃園市八德區重慶街150巷34號,19.2,26,15,0.6504924779821607,0.409820155696965,224.0
桃德路142巷3號華廈,桃園市八德區大明街2號,14.0,30,10,0.7063530713126165,0.651646186520691,245.0
世紀名人廣場,桃園市八德區力行街23號,16.0,29,7,0.3230346345246467,0.6108252735450422,88.0
八德盛市二期,桃園市八德區中興街16巷6號,11.5,28,22,5.139595005039884,0.2240248543345331,58.0
公園藝術名門,桃園市八德區四維路67號,23.0,31,14,0.4244691087588919,0.3943999143502165,359.0
逸林大廈,桃園市八德區介壽路二段85號,12.7,29,14,0.4540790303960778,0.251867824154691,284.0
