建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
翔譽17,桃園市大園區大豐一街60號,34.8,7,24,4.923532417331772,0.2948582777327902,60.0
A18水舞道,桃園市大園區永園路二段87號,43.4,2,22,1.9960273444269097,0.7925820253206992,99.0
曜見築,桃園市大園區興德路30號,33.6,8,23,2.1555340885862084,0.5699713280107477,99.0
小森光一期,桃園市大園區領航北路四段150號,24.7,7,25,4.773249874379366,0.5143394616397894,61.0
帝一莊,桃園市大園區領航北路四段328號,33.1,8,24,4.947345453610929,0.285294812679103,37.0
璟都帝一琚,桃園市大園區大豐二街72號,33.8,8,24,5.078615781619119,0.1454566974121582,43.0
喬崴MOMA,桃園市大園區拔子林三路53巷17弄51號,25.2,9,33,2.424448998377033,0.5445013826801604,28.0
隱HOUSE,桃園市大園區中正東路三段336巷77號,27.8,4,20,2.3641018245087766,1.0177632495314923,42.0
康閤幸福居C區,桃園市大園區水源路15號,22.9,7,26,0.6477593085629807,0.1478008012845974,76.0
聯大花園城,桃園市大園區大觀路600巷43弄3號,12.1,28,31,1.1007092961331868,0.3151055409361528,8.0
如意居,桃園市大園區柴梳崙路338號,19.3,5,24,3.75851906832502,1.7956009827377764,0.0
玖都捷座,桃園市大園區大成路二段129號,27.9,5,24,4.766908462387131,0.4983941139915975,59.0
日勝淘寶A區,桃園市大園區自立三街61號,21.3,7,30,1.6212008478927524,0.9055883579046992,9.0
航空城會館,桃園市大園區環區東路450號,14.4,15,28,1.5998791317975989,0.9684700880847528,1.0
威泰錢都十期,桃園市大園區自立二街25號之5,17.5,4,29,1.495886995956947,0.9353962878838225,9.0
捷韻站,桃園市大園區五福路260號,19.6,6,22,5.5646781187684775,0.5436337216516715,36.0
合康心上城,桃園市大園區桃園市大園區大智路、大安街交叉口,30.9,1,24,2.5570503321340263,0.4620534921422674,102.0
泩泉天璽,桃園市大園區三民路二段562巷62弄8號,25.7,10,32,2.2260476632541994,0.3091310750842755,28.0
順儷V2,桃園市大園區大智路97號,44.2,8,24,4.858640397244415,0.4529329653033032,68.0
東方明珠,桃園市大園區大華一街26號,30.2,9,23,5.172491717724901,0.1731569356868134,97.0
國際高鐵捷運首站,桃園市大園區青峰路二段245號,23.8,7,22,5.432741245040535,0.3137456988558297,41.0
威均君品苑,桃園市大園區中山南路二段663號,27.0,3,23,2.253668651439419,0.4475048093715171,105.0
青埔路二段20號華廈,桃園市大園區青埔路二段20號,33.0,6,18,1.2913234851448114,0.3036798099477253,138.0
心悅小築,桃園市大園區華興路一段281號,18.8,7,26,1.320889730893465,1.038816425767409,7.0
新大園,桃園市大園區和平西路一段53巷8號,18.8,27,28,1.153780634985164,0.8556549098371119,8.0
泓典雙子星,桃園市大園區華興路一段11號,22.0,6,27,0.6807231566631509,0.737123736725738,56.0
康閤幸福居A區,桃園市大園區中山南路302號,18.3,7,26,0.5961963806643861,0.172085562116022,78.0
威泰錢都十一期,桃園市大園區自立一街26號,17.7,4,29,1.568266037375469,0.8513090536708549,9.0
宜誠園鄉,桃園市大園區海豐坡23號之3,10.6,18,25,2.8963621824571493,0.678437835593793,6.0
金滿玉,桃園市大園區廟後71號,16.1,28,24,5.657661137532149,0.2767770628366093,33.0
日勝淘寶B區,桃園市大園區自立四街48號,20.5,7,29,1.4002187089617877,1.0119695478213346,9.0
東隆凱悅,桃園市大園區三民路一段122巷12號,9.2,27,33,2.597498386168444,0.2204209190069079,9.0
和平二街114巷6號華廈,桃園市大園區和平二街114巷2號,23.1,26,27,0.2068841302879868,0.5521623603883977,76.0
國際高鐵晶華特區,桃園市大園區新生路四段121號,27.1,10,17,1.0033937731984237,0.0947171189836033,115.0
享耀,桃園市大園區自立三街40號,20.4,4,30,1.4929317785457614,0.9516187623634376,9.0
環區西路545號華廈,桃園市大園區環區西路545號,15.7,7,30,1.2399878746276194,0.9372135665729412,0.0
和平西路47巷華廈,桃園市大園區和平西路47巷3號,14.1,26,29,0.5196768331708536,0.3954537917925638,74.0
