建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
僑愛新村E區,桃園市大溪區僑愛一街34巷1號,12.0,21,27,1.3763255094960278,0.1761342696681896,58.0
大溪紅樓,桃園市大溪區勝利街101號,10.0,28,32,1.3462486951465025,0.4881854457969617,18.0
仁和帝景透天區,桃園市大溪區仁和東街95號,14.4,15,21,1.091622909512446,0.2118663549666376,30.0
花城四季,桃園市大溪區天祥街32巷24號,8.4,30,32,0.6564186361010136,0.5192002709262814,54.0
大來賞,桃園市大溪區埔頂路一段357巷159號,15.4,15,22,0.516043572552167,0.5000518876359382,31.0
昱郡美學,桃園市大溪區員林路二段173巷21號,17.0,3,20,1.8694620455132127,0.7227360344796879,26.0
翡翠名邸,桃園市大溪區文化路129巷36弄1號,9.5,31,32,0.3023520885592253,0.2192794209505535,49.0
大溪綠花園,桃園市大溪區齋明街8號,12.2,16,21,2.3674182766628675,0.5350195325391013,24.0
築地之光,桃園市大溪區埔頂路二段350號,18.2,5,24,1.3157468051867554,0.7145557313563711,23.0
台北新格,桃園市大溪區三元一街32號,14.5,30,22,2.404409495538276,0.3889057466500461,21.0
大溪華廈,桃園市大溪區天祥街16巷18號,9.9,23,32,0.6445233213302533,0.5064777668168049,57.0
森巴黎8期,桃園市大溪區文化路153巷36號,21.1,2,33,0.4681186821192463,0.3493971685597911,49.0
東都名廈,桃園市大溪區信義路43號,8.0,30,29,0.472882506224715,0.3525826167801608,60.0
富都香榭,桃園市大溪區華興街62號,22.5,2,25,1.1043536527237443,0.9202726775473902,42.0
雙橡園二期,桃園市大溪區介壽路212巷58號,18.4,18,27,1.4374748122429468,0.1460956649429007,59.0
總統芳鄰,桃園市大溪區中華路362號,14.1,27,33,0.7106245780709063,0.5855285385385419,43.0
僑愛新村D區,桃園市大溪區僑愛一街111號,10.5,21,23,1.1522765492406033,0.3837758097115299,69.0
日新大第,桃園市大溪區文化路59巷10號,12.6,28,32,0.0880655308394743,0.2220629905334777,54.0
大溪風采,桃園市大溪區勝利街43號,12.1,30,32,1.179802482924966,0.561653991000529,33.0
富貴康莊茗園,桃園市大溪區康莊路247號,10.3,25,31,0.6329205622796289,0.4956896199031649,58.0
大溪公園,桃園市大溪區文化路132巷33號,9.4,29,31,0.2626672833635325,0.1392416830532093,59.0
公爵世家,桃園市大溪區慈湖路109巷號,14.9,30,31,0.3970701265177578,0.3050335697114328,62.0
雙橡園三期,桃園市大溪區僑愛一街15號,15.6,17,27,1.397257416027312,0.162226231718491,58.0
哈佛貴族,桃園市大溪區介壽路212巷72號,24.2,16,27,1.4227867195744803,0.1851963259066966,63.0
森巴黎六期,桃園市大溪區中華路378號,17.9,6,33,0.7443795217995771,0.6181446240841282,43.0
學府世家,桃園市大溪區文化路132巷17號,10.9,26,32,0.234562786608216,0.099245981431586,59.0
大溪地花園大廈,桃園市大溪區東二路70巷33號,12.9,28,30,0.1737255928990026,0.2594514869803357,62.0
翰林園,桃園市大溪區民權東路號,16.3,29,31,0.0407295511052012,0.0973290933267832,60.0
森巴黎七期,桃園市大溪區文化路138號,21.9,4,32,0.3559892944371924,0.2233347968682227,57.0
茂基新廈,桃園市大溪區慈湖路111號,5.6,28,30,0.4504639474546579,0.356319611432026,63.0
大溪鎮寶福祿喜,桃園市大溪區鎮東二路22號,9.8,27,29,0.3148473934765379,0.3507849139944786,61.0
富俋大享,桃園市大溪區南興路一段55號,9.2,17,18,1.1578532178385057,0.256762135397266,20.0
富貴文化大廈,桃園市大溪區文化路167號,8.5,28,33,0.5265764120537889,0.3958545888812101,51.0
台北仙境,桃園市大溪區文化路207號,9.2,30,33,0.625409459835805,0.4924803253137224,50.0
台北鄉親,桃園市大溪區中華路346號,8.3,30,33,0.6280072563630148,0.5075096419660251,43.0
南興路一段53號華廈,桃園市大溪區南興路一段53號,15.0,6,18,1.1764404972698566,0.2683811723956269,20.0
文化路75巷1號華廈,桃園市大溪區文化路75巷1號,9.6,30,31,0.0077916540039766,0.1456632022617274,59.0
普濟路60-1號華廈,桃園市大溪區中山路29號,14.7,17,33,0.7050111208307919,0.272760849912294,64.0
復興路61號華廈,桃園市大溪區復興路61號,9.7,28,31,0.3468553193403315,0.2131509825603721,59.0
宜軒印象,桃園市大溪區埔頂六街253號,18.5,12,22,0.3621565442924356,0.2944352317701217,54.0
天祥街76巷8號華廈,桃園市大溪區天祥街76巷8號,13.3,27,33,0.614106268830862,0.4900131805107812,45.0
狀元第,桃園市大溪區復興路40號,10.6,31,31,0.4043978065574315,0.2761176188946506,59.0
天祥街38巷17號華廈,桃園市大溪區大漢街33號,8.6,29,32,0.6641030235737523,0.5288522725491457,50.0
大溪福欣園,桃園市大溪區石園路412巷76號,9.6,28,25,2.6376109012943867,0.8503830746330377,3.0
日新豪門,桃園市大溪區中華路308號,14.7,27,33,0.4822269942725761,0.3711276031639507,47.0
力仁大樓,桃園市大溪區復興路80號,11.8,29,31,0.3587593740207482,0.2209721636293958,58.0
櫻墅,桃園市大溪區員林路一段7巷100號,15.2,8,23,1.0891488784696413,0.6510631245796742,46.0
文化路218號華廈,桃園市大溪區大漢街20號,12.0,28,32,0.6901594194006855,0.5543100277582658,50.0
文化路267號華廈,桃園市大溪區文化路263號,12.0,30,32,0.8036990438897218,0.6676029986545189,45.0
東二路41號華廈,桃園市大溪區東二路41號,11.4,30,30,0.2578818202844795,0.3213380835436099,61.0
