建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
榕樹下,桃園市平鎮區復旦路二段150巷255弄2號,17.2,30,13,0.5953542072723588,0.1329333243415158,138.0
學府天下,桃園市平鎮區龍安路135號,14.4,29,18,3.0940774563112057,0.1752134058665612,33.0
龍門福星大樓,桃園市平鎮區新華路38巷10號,16.8,25,20,3.4901228775608755,0.1091533442995486,33.0
金色別莊,桃園市平鎮區文化街48巷20號,17.2,27,12,0.2780700781448876,0.1393074002889119,133.0
麗芝寶,桃園市平鎮區廣義街25巷28號,20.2,25,12,0.3248431485481102,0.1342936978122657,102.0
大觀園,桃園市平鎮區延平路二段430巷78號,17.8,29,10,0.1057678433190415,0.3178741001834279,135.0
金品,桃園市平鎮區崇義五街6巷10號,19.9,24,11,0.3007668260217712,0.1624695502641828,110.0
相知相許,桃園市平鎮區新富五街116號,15.2,29,10,1.058914854407253,0.6007985507925749,83.0
合邦富貴,桃園市平鎮區新德街250巷8號,9.7,29,9,0.6808876483330549,0.5796302326641751,137.0
城市家庭,桃園市平鎮區文化街263號,14.4,29,11,0.5055492732087158,0.2421817410431365,150.0
陽光大地二期,桃園市平鎮區新興路162號,14.5,28,9,0.3558583472292548,0.1306531160777124,175.0
金典,桃園市平鎮區延平路二段430巷28弄1號,14.3,26,10,0.1844228370153242,0.2496710129117278,131.0
龍大地,桃園市平鎮區龍南路656號,12.5,28,20,4.792055344176601,0.5364558822882404,24.0
東方名園,桃園市平鎮區華安街2號,11.5,23,20,4.165262792507461,0.4414741896677945,25.0
玫瑰園,桃園市平鎮區文化街284號,19.8,30,11,0.4536619961429167,0.2121643735839253,146.0
復旦上苑,桃園市平鎮區復旦路38號,21.1,5,8,0.2499489872695336,0.2070120128053688,167.0
文學園,桃園市平鎮區廣德街232號,20.9,22,11,0.5580490952296844,0.2290588642749675,159.0
宜誠禾雅,桃園市平鎮區自由街7巷45號,18.3,2,23,1.631817798036826,0.4034707851923064,16.0
春天2館,桃園市平鎮區莊隆街36號,17.7,8,18,2.926516625571357,0.7667806684457482,36.0
瑞旭首席,桃園市平鎮區中豐路南勢二段251巷6弄2號,16.2,8,15,3.875769063306409,0.1567486162740649,62.0
凱悅福星,桃園市平鎮區環南路35巷33號,16.2,26,9,0.1978847867995264,0.2067319929250578,165.0
瑞旭奕居,桃園市平鎮區平安南街20巷36號,18.4,6,9,0.2928538551914076,0.313282095459199,151.0
吉富隱舍,桃園市平鎮區漢口街65號,25.1,9,17,3.632629805893956,0.2941204521786231,60.0
長堤康橋,桃園市平鎮區復旦路二段117巷7弄11號,15.4,19,11,0.1813701488422927,0.1178867588369693,130.0
中壢新城,桃園市平鎮區南東路號,15.4,30,13,3.3883238839469807,1.1229143130969452,24.0
星友街42巷7號華廈,桃園市平鎮區星友街42巷7號,12.2,27,20,4.612669232785579,0.4966138956945591,24.0
雅居樂no.7,桃園市平鎮區金陵路三段150巷168號,15.1,3,14,2.923667377404524,1.1570240286252202,37.0
東京晴,桃園市平鎮區南京路12巷71號,17.9,9,14,3.1866827282030465,0.540962513386953,66.0
逸境,桃園市平鎮區三和路29號,15.7,6,16,3.632377901545301,0.9055039814929348,16.0
春虹大地B區,桃園市平鎮區興華街101巷16弄26號,17.2,23,13,0.5069736427724184,0.254583366506105,87.0
中正新,桃園市平鎮區中山路142號,13.2,28,17,2.372836280544841,0.4429323166434427,57.0
金賞二期,桃園市平鎮區延平路二段430巷47號,19.4,22,11,0.3503118133358875,0.1882594917572123,118.0
名人居,桃園市平鎮區復旦路二段117巷27弄6衖27號,19.0,18,11,0.1614742153358624,0.1656639252508063,127.0
育達路4巷6號華廈,桃園市平鎮區育達路4巷8號,20.4,5,8,0.2342323692955285,0.3147734707932595,179.0
東安貴族,桃園市平鎮區平東路239巷27弄19號,18.2,21,20,3.5471710526052616,0.1662816221521683,33.0
璞寓,桃園市平鎮區廣南路206號,26.1,11,12,0.8934594744470357,0.3550283313963737,66.0
