建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
耀時代,桃園市桃園區大興路120巷21號,30.6,9,12,0.359615701439248,0.4066516576042402,282.0
璞樂,桃園市桃園區保定三街89巷51號,30.8,3,11,0.8119071283239755,0.2963474700219825,282.0
京澄謙里,桃園市桃園區新埔五街136號,28.4,13,14,0.2198241745802588,0.366001193290366,455.0
典藏龍邸,桃園市桃園區龍壽街100巷1號,18.9,28,18,0.2180080536454677,0.1993331580613177,47.0
富萊悅,桃園市桃園區桃鶯路249巷16號,25.0,9,4,0.0663723039471479,0.4118577114393174,191.0
大墅雲集,桃園市桃園區富國路647巷1號,22.4,17,18,1.8215589459933343,0.8505380901073902,10.0
經品翫,桃園市桃園區同安段1508地號,37.8,1,12,1.7401946209261483,0.3956433959518691,228.0
站前薇閣,桃園市桃園區朝陽街二段16號,26.5,20,3,0.5221561248516862,0.1572114264486402,416.0
通商大樓,桃園市桃園區中山路427號,22.7,41,7,0.6159174222592321,0.1619163710693811,315.0
早安公園,桃園市桃園區中埔一街355號,27.6,25,17,0.2341849536441012,0.290940043701193,371.0
竹城二期,桃園市桃園區新埔七街5號,15.1,24,14,0.1307260246734976,0.4210674962537983,493.0
薄荷華夏,桃園市桃園區文中路419號,21.0,16,13,2.229177887661668,0.761826315889571,158.0
神采飛揚,桃園市桃園區民富五街18號,19.2,19,11,0.6142608656019645,0.0863407375086967,150.0
園舞曲,桃園市桃園區宏昌七街62號,25.3,24,8,1.3028444610945065,0.5726286032279445,239.0
國際巨星,桃園市桃園區宏昌十二街587號,23.7,27,10,2.0367776432449407,0.2283719509297483,167.0
椰林書鄉,桃園市桃園區寶山街163號,26.9,20,13,0.2025036037246606,0.4017801520187963,158.0
賓爵生活家/銘曜高尚,桃園市桃園區春日路1615號,34.2,4,14,0.4341597274933758,0.449587503960442,174.0
夏特蕾,桃園市桃園區北新街83號,32.6,6,7,0.2696333858579389,0.1985954164468367,539.0
捷運第一站,桃園市桃園區國強十三街105號,20.0,29,16,1.649471016539655,0.1942225196958674,65.0
中正學府,桃園市桃園區敬二街10號,26.4,25,19,0.263671218459424,0.137027088481909,352.0
開喜人生大廈,桃園市桃園區宏昌六街125號,23.3,29,8,1.251800887894449,0.6042342774142695,241.0
寶佳名門,桃園市桃園區敬三街195號,24.3,24,18,0.5691399247567787,0.3070683198336774,240.0
長昇里居,桃園市桃園區民富十三街47號,20.8,16,12,0.0672208368187373,0.3083511244583619,142.0
溫州庭園,桃園市桃園區蓮埔街84號,24.2,27,12,1.4286420963941804,0.2153607135762469,222.0
巨星世家,桃園市桃園區延壽街166號,17.7,31,10,1.6074294791733448,0.2412649244917872,210.0
吉澧心悅,桃園市桃園區忠一路166號,25.0,3,10,0.7058989998094822,0.3802742776972776,300.0
新站京華,桃園市桃園區建國路53號,28.0,21,2,0.2499151598327412,0.2827186221263212,321.0
站前i-home,桃園市桃園區安東街32號之1,31.7,8,2,0.4876826422255463,0.1997780555767976,406.0
民生凱悅,桃園市桃園區民生路413號,24.6,27,6,0.1163033336899904,0.4011845729868012,352.0
羅丹我的家BC區,桃園市桃園區寶山街22號,16.8,27,13,0.2007081949219724,0.4557699983723637,141.0
一仕盛名邸,桃園市桃園區延平路185巷5號,14.1,15,5,0.4309872304300153,0.2943787072684795,131.0
翫賞苑,桃園市桃園區三民路一段138號,29.4,15,8,0.6829121284837582,0.276487773181485,227.0
中國龍,桃園市桃園區中埔六街42號,30.9,24,17,0.390981048286727,0.1062995756712749,464.0
三圖狀元第,桃園市桃園區坤成街69號,21.7,29,13,0.5559430849815461,0.2716920802427537,206.0
武陵一品,桃園市桃園區龍安街157號,22.7,7,14,1.8151294623095096,0.6271550617808755,130.0
豪門天下華廈區,桃園市桃園區大仁路24號,32.1,30,8,1.2914178538020462,0.9644978173407168,54.0
現代名門,桃園市桃園區大有路537號,16.8,29,13,0.3622203693578218,0.3768815549693645,164.0
青春美地,桃園市桃園區寶山街203號,30.0,19,13,0.2466107285922193,0.4075952900233697,158.0
必富邑F區,桃園市桃園區龍祥街86號,19.9,16,16,0.3797732913700692,0.110147726547081,53.0
臻品苑,桃園市桃園區建國路348巷30號,18.8,8,6,0.7650873559558358,0.4216242829902176,298.0
森活SMART,桃園市桃園區雙峰路164號,25.3,20,13,0.490261775166619,0.3558865274146374,193.0
大興豪門,桃園市桃園區會稽一街11號,21.9,28,14,0.611228652581668,0.1275975715363992,209.0
學仕名邸,桃園市桃園區金門二街306號,15.7,27,5,0.0223613293143077,0.3596349342541642,223.0
國際松柏,桃園市桃園區國際路二段65巷11號,22.0,29,11,1.845551980258178,0.4654645751198487,232.0
當代名門七期,桃園市桃園區大興西路二段255號,21.4,26,13,0.4344323495054917,0.2947265181435196,221.0
龍門名第,桃園市桃園區安慶街87號,17.3,29,17,0.3170916351944783,0.2873624200115484,366.0
藝文典藏家,桃園市桃園區同德三街27號,31.2,10,15,0.0382225038193649,0.3375039066537089,356.0
天豪大第,桃園市桃園區國強一街483號,15.5,32,15,1.5735293075942898,0.4848618087069835,93.0
V1威秀,桃園市桃園區民權路148號,32.2,11,6,0.3604077867523246,0.2927923158946686,558.0
必富邑D區,桃園市桃園區龍祥街112巷8號,16.7,23,17,0.4984816965048421,0.2613580282178396,58.0
遠東貴族,桃園市桃園區安東街19號,22.0,31,2,0.4928844290228845,0.1748090122064187,409.0
邦里望族,桃園市桃園區同安街374號,18.6,29,14,0.1912901690505346,0.4216527819686056,495.0
京城芳鄰,桃園市桃園區國際路一段1153號,14.9,28,11,1.7961213586040636,0.2539403197051225,200.0
百年皇族,桃園市桃園區中山東路1巷2號,16.6,34,5,0.1263215716032027,0.3516888654081219,454.0
漢東敦美,桃園市桃園區壽昌街66號,27.2,8,8,1.165844774109217,0.6665265633905891,252.0
臻善美A區,桃園市桃園區大業路一段153號,22.3,19,10,0.516881086146657,0.1890935276824284,189.0
楓丹麗晶,桃園市桃園區同德十街11號,17.2,29,18,0.1637071690490905,0.3411097133709619,418.0
星洲A,桃園市桃園區泰昌一街59號,21.8,29,8,1.1956656472228582,0.6636032420205461,223.0
必富邑C區,桃園市桃園區龍泉五街84號,20.2,24,16,0.4322355908937501,0.1772201217726459,56.0
世界商業廣場,桃園市桃園區中正路60號,17.3,38,3,0.2511695974803031,0.0643336349879368,480.0
寶山名人巷,桃園市桃園區民有十三街26號,17.7,27,13,0.4354637653044227,0.3854687501618486,185.0
名龍豪景,桃園市桃園區樹仁一街164號,12.8,29,6,0.3535978171236659,0.3552574067341129,130.0
宜欣大樓,桃園市桃園區國強一街217號,12.0,28,14,1.989559985489469,0.5945838851786731,157.0
優秀賞,桃園市桃園區國豐五街36號,24.6,16,15,1.612483023990136,0.6756215616114698,135.0
寶鋐晶璽,桃園市桃園區中埔六街65號,30.6,17,17,0.4277260444109719,0.0761757395428215,461.0
正康三街220號華廈,桃園市桃園區正康三街號,15.0,44,9,0.8505235579100578,0.0807814752258597,264.0
長春路80號華廈,桃園市桃園區長春路80號,19.6,21,9,0.4932124352489672,0.3655243350290792,265.0
中正名人巷,桃園市桃園區大連四街29號,24.5,24,11,0.8930410573062348,0.2525608567561396,303.0
新翰林,桃園市桃園區宏昌六街288號,15.6,26,10,1.7605717246267996,0.0883170535192511,175.0
福麗舍三期,桃園市桃園區宏昌十三街512號,24.7,27,8,1.388441298504973,0.6339947797106317,206.0
小康住宅,桃園市桃園區宏昌六街142號,23.0,27,8,1.3775376273293185,0.4606677371833409,231.0
名人居,桃園市桃園區福山街94號,23.8,30,13,0.5434831195774091,0.3436580013798507,236.0
必富邑A區,桃園市桃園區龍泉六街55號,13.9,25,16,0.5821175462377642,0.3297079676960068,66.0
EQ別墅,桃園市桃園區莊二街12號,24.2,25,18,0.4729964094846828,0.3919900480272053,327.0
時尚BOBO,桃園市桃園區蓮埔街22號,19.4,17,12,1.3422223001588909,0.3331923126542156,221.0
百代甄品,桃園市桃園區大同路71號,23.3,22,3,0.0843105906429842,0.0841649405029287,470.0
必富邑G區,桃園市桃園區龍泉六街58號,23.7,23,16,0.603022343658081,0.3529464373782601,68.0
雙子星,桃園市桃園區民有十三街46號,21.9,27,13,0.4463778030671244,0.4164565261343857,186.0
協和大樓,桃園市桃園區北新街91號,18.2,20,7,0.277495642935651,0.1872529890954817,542.0
新站公園,桃園市桃園區建國路46號,24.0,19,2,0.2361772165009926,0.2917029887432594,319.0
天際雅砌,桃園市桃園區自強路26號,30.2,10,7,0.9139124322400244,0.1852560291403876,296.0
紫町鄉A區,桃園市桃園區雙峰路175號,16.1,30,13,0.4250410704441202,0.3251903439153669,188.0
愷悅,桃園市桃園區大業路一段51號,20.1,27,9,0.7666015297913927,0.2923267315644945,160.0
陶園松景,桃園市桃園區宏昌一街8號,21.3,26,10,1.4735058577523616,0.4897803984759623,235.0
嘉景特區,桃園市桃園區興一街98號,15.2,29,14,0.4596607094847136,0.2404290213836218,183.0
森活達人日麗,桃園市桃園區泰昌一街35號,19.4,17,8,1.1713017894103497,0.6412549060858103,234.0
建築與我嘉晟名人錄,桃園市桃園區同安街399號,33.9,21,14,0.1373707698532027,0.454848282870215,494.0
龍威大廈,桃園市桃園區復興路70號,16.0,33,3,0.4357891607093966,0.2528602270230753,402.0
延壽吉祥,桃園市桃園區延壽街159號,16.3,28,11,1.6385898293834258,0.2703462905399902,202.0
生活藝術紀,桃園市桃園區大德一街3號,22.3,19,14,0.566813337499863,0.231030108526452,209.0
名峰花都,桃園市桃園區天祥七街72號,31.5,27,16,0.1902424305141156,0.3268305390731346,401.0
尚莊大廈,桃園市桃園區中平路168號,19.2,29,8,1.58320014644959,0.4154180309371136,168.0
