建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
舞揚一綻,桃園市楊梅區新農街二段96號,21.0,10,18,0.8425968328044235,0.3977286160692217,60.0
鵬程萬里A區,桃園市楊梅區高鵬二街2號,14.3,19,23,0.0345437798461498,0.8354785140529757,15.0
楊州花都,桃園市楊梅區金山街131號,11.3,29,19,0.1571053517254201,0.1665852711102474,53.0
滿築A區,桃園市楊梅區環南路77號,15.2,18,21,1.1976110457493003,0.1579207126555042,86.0
甜蜜薪家,桃園市楊梅區梅獅路二段232巷35號,21.1,22,20,0.8014773777306541,0.4482975562775266,80.0
名翔福園,桃園市楊梅區中山路121巷4弄37號,5.8,30,21,0.7505671687450545,0.337222490290722,150.0
儷府國宅一期,桃園市楊梅區三民東路266號,13.8,25,20,1.04903912815789,0.6259681526801044,53.0
台北比佛利比佛利區,桃園市楊梅區青山二街327巷8號,9.6,28,18,0.9528351775753736,0.164954669591104,43.0
文采十悅,桃園市楊梅區校前路276巷6號,20.6,4,23,1.092047123319399,0.3067779294648637,65.0
台北比佛利加州區,桃園市楊梅區青山三街66號,13.1,28,17,1.0181358755197294,0.4378338615733363,32.0
高誠好時代,桃園市楊梅區瑞坪路276巷2號,21.8,4,21,2.2590356864922208,1.0495042711756937,17.0
楓丹綠園,桃園市楊梅區富豐三路二段357巷23號,15.3,7,33,3.433917426709099,1.3755612261186871,0.0
名座花園,桃園市楊梅區梅獅路二段249巷2號,13.6,29,21,0.7486108579051342,0.2486554681184006,97.0
瑞士村,桃園市楊梅區中興路273巷19弄9號,14.4,29,20,0.4539946134001886,0.275790733548052,134.0
築幸福,桃園市楊梅區瑞福街48號,21.7,7,21,0.2721225126772718,0.3290780853197596,153.0
大中華國宅,桃園市楊梅區瑞坪路18巷65號,12.0,26,20,0.8080958135564744,0.5106994222792229,74.0
明日之星大廈,桃園市楊梅區金山街1號,15.9,27,20,0.3042437425489461,0.1836239548435898,155.0
梅岡國宅,桃園市楊梅區梅高路梅岡巷15弄9號,8.9,40,21,1.0676343593971622,0.2495091660956313,28.0
全明新景,桃園市楊梅區新農街380號,16.2,28,20,0.3303637333811513,0.2059776074356832,52.0
白馬豪景一期,桃園市楊梅區福羚路200巷35弄1號,15.4,30,22,0.6478918806903594,0.0915329664969127,107.0
陽光水悅,桃園市楊梅區梅獅路二段232巷23號,16.8,18,20,0.8067261381009321,0.4373518109264623,81.0
陽光大道二期,桃園市楊梅區三元街162號,21.0,27,17,0.8569330338370629,0.2664500162524228,76.0
富豪名宮,桃園市楊梅區武營街108號,10.2,28,23,0.7909900235897885,0.3154177795799946,154.0
名馳雋朗二期,桃園市楊梅區民族路五段147巷45號,20.5,8,19,3.064276328138136,0.5606960661270622,35.0
大利市富貴特區,桃園市楊梅區三元街163號,16.5,27,17,0.8380209640395205,0.2405944567797868,79.0
楊梅鄉親,桃園市楊梅區環南路91號,11.5,28,21,1.2425723638925077,0.1816808731937039,83.0
台北比佛利波士頓區,桃園市楊梅區青山二街389號,10.6,28,17,1.020671577828549,0.3636019697278591,33.0
有福同享,桃園市楊梅區永平路210號,11.8,29,18,1.0024143996104553,0.4740620995070265,134.0
鵬程萬里C區,桃園市楊梅區高鵬二街1號,12.3,19,23,0.0345437798461498,0.8354785140529757,15.0
銘人居第貳期,桃園市楊梅區中山北路一段50巷10號,17.2,29,21,0.537849535181025,0.5673993961781739,159.0
璞心綻,桃園市楊梅區永平路216號,15.6,1,18,2.5727341623742688,0.4823353085187705,129.0
精品國宅,桃園市楊梅區梅獅路二段232巷46號,13.5,24,20,0.7468743478262031,0.393475604011059,90.0
大利市吉祥,桃園市楊梅區三元街173號,14.6,28,17,0.879486700298455,0.2846508751863075,73.0
大利市滿福,桃園市楊梅區新農街二段176號,15.8,27,19,0.6353956248809594,0.239279502232805,85.0
安將大樓,桃園市楊梅區梅山東街號,11.6,31,20,0.6070218887850846,0.3702883005370151,159.0
陽光學苑,桃園市楊梅區瑞梅街29號,9.8,20,19,0.7199640257164623,0.2459364451930651,73.0
福傳家大樓,桃園市楊梅區福德街9巷28號,17.5,27,17,0.5084297811687534,0.4215185097697049,128.0
緣中園,桃園市楊梅區文化街568巷11號,13.5,28,21,0.6677089741428787,0.2440541047731384,102.0
豐富家II,桃園市楊梅區豐興街78號,12.2,7,31,4.252967868767824,0.6121948536151477,52.0
舞揚一綻二期,桃園市楊梅區三民北路163巷16號,20.1,9,18,0.8399025102775558,0.3293025649657773,65.0
嘉新市松柏樓區,桃園市楊梅區益新一街136號,19.9,25,20,0.2451121541391598,0.3002811378610057,161.0
新都星,桃園市楊梅區豐興街82號,18.1,3,32,4.24829929419284,0.5962164064596944,52.0
台北碧瑤,桃園市楊梅區萬大路116巷50號,15.1,28,20,0.3271735379073002,0.3851352035165121,117.0
柏園貴族二期,桃園市楊梅區文化街355號,9.2,28,22,0.647700661352847,0.0986643608791662,105.0
第一佳,桃園市楊梅區瑞溪路一段67號,20.6,26,18,1.0773138722388342,0.0685346411414816,63.0
日光郡大樓區,桃園市楊梅區瑞坪路79巷16號,16.0,4,21,1.0858128430273155,0.5406801179093874,52.0
首選,桃園市楊梅區福羚路232巷41弄1號,17.9,16,23,0.8836557314519661,0.2517467724468441,103.0
楊梅商場,桃園市楊梅區自立街136號,9.3,28,21,0.4722249374177163,0.2469422216425585,168.0
新興街45號華廈,桃園市楊梅區新興街35號,14.2,29,18,0.2861481499964117,0.231464063146422,137.0
新富十街10號華廈,桃園市楊梅區新富十街10號,15.7,6,32,4.083287315176382,0.716073324402874,52.0
大台北國宅,桃園市楊梅區瑞坪路18巷17號,15.1,26,20,0.8835508483743999,0.5105597099891356,69.0
自立街170號華廈,桃園市楊梅區自立街170號,11.3,27,20,0.4453052202756358,0.2439709641038365,163.0
富俋吉祥,桃園市楊梅區中山北路一段74巷19號,12.8,22,21,0.5684093711037832,0.5616701410263101,159.0
香頌,桃園市楊梅區新農街592號,15.8,17,19,0.6341823745650895,0.3203887418809049,49.0
富貴園華廈,桃園市楊梅區自立街345號,8.8,30,19,0.3706602856147767,0.3146567496933142,155.0
文化街283號華廈,桃園市楊梅區文化街283號,9.1,28,21,0.6311115784324742,0.2651950079526122,160.0
富源新象,桃園市楊梅區新明街78號之2,9.0,28,33,4.571556133608307,0.158980644468912,57.0
楊梅第一景大廈,桃園市楊梅區中山路125巷76號,12.3,28,21,0.9462768722205994,0.1567787670549391,143.0
陽明皇家,桃園市楊梅區環東路455號,13.7,23,19,0.126475969734549,0.172425535554786,57.0
