建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
新植物園,桃園市蘆竹區南順四街1巷1號,24.2,24,23,1.9881240363896824,0.4637325855244521,120.0
海涵,桃園市蘆竹區光明路二段12號,32.6,17,23,1.495336937415378,0.179526461193154,201.0
五福名門三期,桃園市蘆竹區中山路125巷23號,29.7,13,26,0.5796270900150505,0.1700388595633641,109.0
優生寶貝,桃園市蘆竹區五福六路56巷27弄24號,28.4,20,26,0.656544498246218,0.2753368543152739,147.0
總督府十期,桃園市蘆竹區南工路51號,27.6,14,25,2.848350607388717,0.7053726105754966,9.0
航空新村,桃園市蘆竹區中山路108巷17弄27號,18.5,29,27,0.6452186848285836,0.2950322819288867,72.0
黎明長青,桃園市蘆竹區南崁路二段267號,15.6,29,28,4.304259785246666,1.1134839315026557,12.0
微風花園慕夏區,桃園市蘆竹區仁和街112號,18.7,9,23,4.854425116804678,0.4315478098235857,83.0
鳳祥,桃園市蘆竹區南順一街2巷30號,26.3,20,24,2.011709437544758,0.5433232591617264,119.0
千葉園,桃園市蘆竹區吉林路87號,33.8,18,24,0.3669729887773942,0.2280640055822694,170.0
大聯邦二期,桃園市蘆竹區奉化路229號,20.5,17,21,1.8223174662478945,0.3460891308055571,126.0
豪門世家,桃園市蘆竹區福祿一街34號,26.3,23,25,0.5167011974951281,0.1120623762972999,131.0
閎基A11,桃園市蘆竹區海山路一段75號,25.4,7,35,3.2974671713081363,1.0368018034945663,7.0
金富麗二期,桃園市蘆竹區光明路一段10號,20.0,28,21,1.3078165265227528,0.1974026629748783,203.0
夢享家A區,桃園市蘆竹區南順八街7號,29.3,19,21,1.7448188025395388,0.2298287419901195,148.0
五福名門二期大廈,桃園市蘆竹區福祿一街56號,27.1,23,26,0.6072722883360517,0.1976321371080449,104.0
甜蜜進行曲,桃園市蘆竹區六福路162號,27.8,23,26,0.9684892007504244,0.6062964439217661,60.0
大聯邦三期,桃園市蘆竹區南昌路22號,19.6,27,22,1.7433197640072595,0.3518179279412266,168.0
龍壽庭園,桃園市蘆竹區龍壽街一段69號,23.3,29,17,1.394143268498715,0.6047308352666281,19.0
唯美,桃園市蘆竹區中興路553巷15號之8,19.1,8,22,3.65465355577576,0.9842235665041124,25.0
新皇家,桃園市蘆竹區大華街300巷1號,17.8,21,27,4.584212111350329,0.7283755951057511,1.0
綠寶石,桃園市蘆竹區大竹路485巷1弄2號,14.2,27,20,0.1014441275055507,0.3750763375125668,101.0
文學苑,桃園市蘆竹區吉林路28號,28.9,19,24,0.4192427506090264,0.2466217764371115,180.0
協和曉知青,桃園市蘆竹區國豐十街239巷20號,30.4,3,17,1.558869308380923,0.2144666076043845,73.0
永謙南園,桃園市蘆竹區南福街197號,21.9,29,20,1.694391332843434,0.3602934781376307,145.0
桃源雙星,桃園市蘆竹區中山路152號,14.4,27,26,0.6907513462403447,0.3058337534351521,77.0
中正九龍,桃園市蘆竹區南崁路一段326號,15.9,30,26,1.8208836547028409,1.126363090736547,55.0
南崁薇閣,桃園市蘆竹區福祿一街26號,25.3,25,25,0.4934459482861922,0.1001073290743718,137.0
陽朵住宅大樓,桃園市蘆竹區五福六路45號,21.1,28,25,0.4849264141896726,0.115684868609321,148.0
薇閣皇家,桃園市蘆竹區福祿一街209號,27.8,23,26,0.8405522609756941,0.4336415779407464,85.0
台北畫家,桃園市蘆竹區六福路245號,15.4,28,27,1.0378279360263485,0.6825946291349226,57.0
臻愛,桃園市蘆竹區南平街10號,25.3,20,22,1.2274767926912051,0.0770541175412503,217.0
梅園大廈,桃園市蘆竹區南華一街35號,12.7,42,20,0.3284196663029943,0.3929885413440983,199.0
仁愛路三段38號華廈,桃園市蘆竹區仁愛路三段38號,17.0,10,24,0.1703084419448071,0.2679243518091129,90.0
五福華廈,桃園市蘆竹區五福一路195號,15.0,27,24,0.7244444302410477,0.3536913038651653,158.0
長發華廈,桃園市蘆竹區南福街167號,23.5,29,20,1.6260326247742172,0.2958613921046358,167.0
夢享家B區,桃園市蘆竹區奉化路205號,27.9,19,21,1.8078888873524763,0.3130842381942645,126.0
萬昌富貴,桃園市蘆竹區南昌路282巷3號,22.2,28,20,1.6424921394491394,0.2396221124349901,169.0
大聯邦九期,桃園市蘆竹區南昌路258號,25.4,23,20,1.6223945210838695,0.1078591296677958,171.0
宜誠香榭,桃園市蘆竹區中山路125巷11號,20.8,22,26,0.5601498958442324,0.1528519635614976,103.0
大聯邦一期,桃園市蘆竹區南昌路259號,23.5,27,20,1.5985737664013098,0.0853244095694573,175.0
興福居,桃園市蘆竹區大興八街46巷15號,21.2,8,22,4.3973396817076855,0.5945704842463844,100.0
龍天下,桃園市蘆竹區南順一街2巷10號,22.5,22,24,2.0176949315170627,0.5619062118792202,119.0
宜誠桂冠,桃園市蘆竹區吉林路132巷11號,31.9,21,24,0.3578404841072546,0.2581336905091163,161.0
大光明華廈,桃園市蘆竹區光明路二段163號,13.3,28,24,1.3791133579336197,0.2896031508702044,177.0
青青校園,桃園市蘆竹區福祿一街189號,19.9,24,26,0.7354249433838039,0.3271498091880923,91.0
長榮168一期,桃園市蘆竹區南福街161號,18.5,29,20,1.5909648513864834,0.2741194093680872,165.0
錦興雅築,桃園市蘆竹區光復路130巷3號,15.8,28,24,1.3696788922647756,0.14376109506852,198.0
狀元台北,桃園市蘆竹區福祿一街200號,19.7,28,26,0.7696934941656616,0.3632255148887583,85.0
育園邸,桃園市蘆竹區中山路108巷17弄2號,15.8,27,26,0.517905836979722,0.2057009521616523,75.0
