建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
巴黎時尚,桃園市觀音區福祥街125號,22.3,4,34,3.3730190120015244,0.5337674469331378,36.0
長運沐光,桃園市觀音區二聖路431巷11號,16.6,7,33,3.951842813614767,1.0480700314186715,9.0
福興樂賦,桃園市觀音區九如街261號,17.4,3,31,3.3201318619195628,0.8501405056292808,18.0
錢都16期,桃園市觀音區建國路82號,18.6,2,37,4.258988863244837,0.1645705889954974,18.0
昌沛合宜,桃園市觀音區忠富路崙坪段255巷55弄56號,14.2,9,22,5.348950621213676,1.149768413794801,2.0
薪世紀三期,桃園市觀音區福興街283號,21.7,4,33,3.484883377480103,0.5060505105416362,35.0
摩登薪尊邸C棟,桃園市觀音區五福一街37號,20.7,8,32,3.3003766014139297,0.3207903307783442,36.0
錢都12期,桃園市觀音區建國路97巷2號,17.1,3,37,4.370301442648072,0.2283862284840221,18.0
威泰錢都三期五期,桃園市觀音區安和街118號,18.0,6,37,4.703835238825646,0.4742259777248679,18.0
幸福雅御三期B區,桃園市觀音區仁德街120號,14.5,7,38,4.6243265540640754,0.4290619761786611,18.0
錢都二期,桃園市觀音區安和街269號,17.5,7,39,4.321325580445205,0.282947857217596,18.0
黃金屋八期,桃園市觀音區長春街171號,12.4,6,39,4.574414966633904,0.4308109907654401,18.0
大家住易ABCD棟,桃園市觀音區敬業街71巷2號,12.4,16,37,4.2407406217394366,0.1195969723468247,18.0
喆悦,桃園市觀音區八德二街11號,17.9,1,32,3.4930350001879207,0.5261533900692189,34.0
昇悅家,桃園市觀音區福德街182號,16.5,5,33,3.3324475097413835,0.4241301008807805,36.0
草漯之星,桃園市觀音區六合二街121號,21.7,1,33,3.5723225787107644,0.5917384599048972,33.0
豐園,桃園市觀音區吉祥街65巷30號,14.8,8,37,4.8050095982252135,0.5759323743751864,17.0
昇悅家2,桃園市觀音區福德街361號,15.3,2,34,3.495734744200365,0.5490235883613342,35.0
米蘭之星I,桃園市觀音區長春街143號,16.0,5,38,4.855148953517484,0.6265536361094632,18.0
薪世紀二期,桃園市觀音區福興街373號,19.3,5,33,3.6020021041933066,0.622180844563499,31.0
觀音亞悅NO.15,桃園市觀音區永吉街101號,16.5,1,38,4.689836892010971,0.45562696051338,18.0
陽光學,桃園市觀音區福興街123號,16.6,2,33,3.2019261793991407,0.2384860197455258,36.0
夢想家二期,桃園市觀音區福壽街272號,16.9,6,38,4.350609781301269,0.3996491922613672,18.0
時尚君品一期,桃園市觀音區仁德街21號,13.6,7,37,4.947127613273078,0.7090658502480914,17.0
時尚君品五期,桃園市觀音區仁德街200號,14.8,5,38,4.568405244727424,0.3947680061606471,18.0
築圓,桃園市觀音區二聖路152號,8.4,17,31,3.329930402108668,0.6039039726326982,34.0
勝利組二期,桃園市觀音區長春街160號,15.5,6,39,4.593869816626552,0.4268647593363441,18.0
夢想家一期,桃園市觀音區福壽街285號,15.1,7,38,4.332106089668052,0.4062374913163124,18.0
觀音亞悅NO.5,桃園市觀音區民權路116號,18.6,4,37,4.721892739119832,0.4965024530589461,17.0
威泰錢都九期,桃園市觀音區安和街261號,16.7,5,39,4.321315500841807,0.2825730965458068,18.0
幸福家3,桃園市觀音區泰安街50號,14.5,7,36,4.808593257910129,0.6000781554132987,17.0
岳鼎天翔,桃園市觀音區福恩路一段166號,13.2,6,24,4.971942394159549,1.260536622064982,0.0
威泰錢都八期,桃園市觀音區仁德街312號,14.6,5,38,4.323594969259633,0.309337975091058,18.0
學府新城二期,桃園市觀音區新生路號,12.8,30,30,3.914674151587586,1.714716153546454,0.0
夢想家八期,桃園市觀音區福壽街149號,15.3,4,38,4.65799439464677,0.4993064608487556,18.0
吉品二期,桃園市觀音區長春街29號,16.0,6,38,4.909646415364354,0.6771246406198502,17.0
吉品一期,桃園市觀音區福壽街85號,15.6,7,38,4.797440480628602,0.5925356770748772,18.0
威泰錢都一期,桃園市觀音區仁德街318號,17.6,7,38,4.275064617957417,0.2924209414619203,18.0
夢想家五期,桃園市觀音區建國路272號,18.4,4,37,4.7592403291314325,0.5203315946846792,17.0
築圓金鑽,桃園市觀音區新生路1401號,14.2,15,31,2.973360681265805,0.552042943254682,35.0
乾隆仁德街華廈,桃園市觀音區仁德街236號,17.8,1,38,4.514149258620818,0.3690816407958777,18.0
協弘樂群街16巷華廈,桃園市觀音區樂群街16巷68號,20.4,4,37,4.638386566590196,0.4015223153407654,18.0
彩色世界,桃園市觀音區大觀路二段185號,13.4,29,32,2.8935456972046025,0.1082121079832477,35.0
夢想家六期,桃園市觀音區建國路266號,13.7,4,37,4.728962603944253,0.4899575784543826,18.0
美麗家園,桃園市觀音區坑尾二路168號,19.0,4,31,7.5541393098874,1.6729654465587716,1.0
幸福雅御五期B棟,桃園市觀音區泰安街99號,15.3,7,37,4.619667837333049,0.3884143956059005,18.0
時尚君品二期,桃園市觀音區長春街149號,19.3,6,38,4.855148953517484,0.6265536361094632,18.0
美麗泉,桃園市觀音區福三街60號,17.8,6,34,3.317608177157673,0.3951156345433672,36.0
享耀2,桃園市觀音區建國路306號,16.5,2,36,4.844474493994669,0.6101936853328002,17.0
享耀3,桃園市觀音區仁德街55號,17.6,2,38,4.647846403933135,0.445412838787283,18.0
協弘樂群街14巷華廈,桃園市觀音區樂群街14巷2號,16.5,4,38,4.580178836692464,0.3423633391737346,18.0
幸福雅御三期A區,桃園市觀音區仁德街126號,12.7,7,37,4.742877813013268,0.5184869628933751,18.0
勝利組一期,桃園市觀音區長春街5號,15.8,6,39,4.95347410902352,0.7189429115892166,17.0
快樂家B棟,桃園市觀音區長春街380號,12.6,12,37,4.132012597263653,0.3535161332289055,18.0
夢想家七期,桃園市觀音區建國路286號,15.4,4,36,4.803209139320443,0.5670061088716215,17.0
時尚美學,桃園市觀音區福壽街8號,16.4,3,39,4.9686211855123545,0.7335531746335876,17.0
快樂家A棟,桃園市觀音區仁德街389號,9.8,12,37,4.134835425369007,0.3150338974795572,18.0
金來圓公寓,桃園市觀音區大觀路三段667號,8.6,27,33,5.684126288669164,0.5295116564725161,1.0
幸福雅御五期A棟,桃園市觀音區永吉街151號,15.8,7,38,4.577137902010436,0.3635111499821576,18.0
