建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
渴望村,桃園市龍潭區渴望路603巷12號,14.5,24,32,4.768346956756624,0.3181431895860407,7.0
宏觀Ⅲ,桃園市龍潭區梅龍路196號,18.2,1,27,1.3046849239849148,1.6567683515695768,15.0
龍潭寶第,桃園市龍潭區富華街315巷6弄10號,15.2,27,27,3.0370372104435024,1.0559831182466617,23.0
台北九龍,桃園市龍潭區中興路63巷100弄10號,12.6,29,23,0.5903521410278818,0.5222705133910401,23.0
天資家和,桃園市龍潭區龍華路526巷17弄6號,23.2,7,25,1.3245321806046584,0.1741293439356344,45.0
新希臘愛琴海區,桃園市龍潭區神龍路393號,14.6,15,26,1.0427762813811765,0.1282493630235092,71.0
凱悅龍門,桃園市龍潭區民治三街165號,8.5,32,35,1.961223402491506,1.6054652820876276,14.0
吉賀新富林,桃園市龍潭區雙連街280號,15.7,3,25,2.254197375076045,0.9675039731851643,38.0
壯觀大地大樓區,桃園市龍潭區中原路二段374號,15.6,28,29,4.548293433544286,0.8402361561764224,8.0
龍城豪景松園,桃園市龍潭區中興路211巷22弄6號,14.4,29,23,0.5203498708070371,0.2868187266899994,26.0
真愛綠園,桃園市龍潭區民治一街75號,14.1,16,34,1.6557891090738577,1.2774034417445057,10.0
君品,桃園市龍潭區五福街317號,29.0,4,24,1.6549572145344755,0.8199873453888129,69.0
浪琴花都,桃園市龍潭區民族路514巷21弄1號,13.7,30,31,1.0290641499332471,0.1734610271206063,14.0
卯盛邑境,桃園市龍潭區民族路372號,14.7,9,30,0.803120834895838,0.3301131547276313,22.0
中豐路中山段華廈,桃園市龍潭區中豐路中山段101號,17.5,5,24,0.2361650349032951,0.4682095727398247,117.0
宜誠鄉園,桃園市龍潭區中正路上華段112巷19號,15.2,19,25,2.697657613454596,0.8189587402030727,33.0
石門湯苑二期,桃園市龍潭區龍源路大平段262號,16.0,15,34,1.563328787829964,1.1983531727128809,10.0
富寓,桃園市龍潭區中正路上華段112巷36弄22號,15.8,6,26,2.7376258765116943,0.7911559090997105,33.0
凱悅四季,桃園市龍潭區永昌路60號,10.6,18,32,0.830236030064676,0.2925442715938876,14.0
寶第,桃園市龍潭區民族路316號,9.4,27,29,0.7171579987635688,0.4596876446090031,22.0
九龍臻,桃園市龍潭區中興路288巷45號,11.8,22,21,0.1723789359674239,0.3781598535103801,28.0
親蜜小貴族,桃園市龍潭區十一分路101號,17.1,28,30,0.3097472612589551,0.1654971400110875,22.0
甜蜜新家,桃園市龍潭區中豐路642巷51弄1號,8.0,27,22,1.2687405569009889,0.805665531882326,16.0
幸福臻品,桃園市龍潭區中央路179巷36號,15.5,7,30,1.5564397465682305,0.1318609009590496,6.0
陽光小鎮,桃園市龍潭區中原路一段325巷1弄16號,15.1,29,29,2.8403948080007253,0.663619949884756,6.0
中山松園三期,桃園市龍潭區民族路312巷156號,10.0,28,30,0.9512421346548724,0.647878947749015,22.0
永昌豪景,桃園市龍潭區永昌路24巷2號,7.0,26,31,0.754769890115627,0.2875973918400279,14.0
綠寶石,桃園市龍潭區金龍路562號,13.5,17,28,3.232965350427168,0.8807735365964705,7.0
親水大街,桃園市龍潭區五福街92巷1號,14.7,26,24,0.6548856836797782,0.325876503818882,129.0
龍潭柏亨,桃園市龍潭區中興路165號,12.5,14,22,0.3162504435206145,0.4548738686911452,26.0
心悅圓,桃園市龍潭區民族路229巷18號,9.2,25,29,0.5640920970023136,0.4694808782622984,23.0
市中興,桃園市龍潭區中興路513巷16號,17.2,16,23,1.110771307928495,0.5900577300543637,50.0
美麗源,桃園市龍潭區民治四街136號,9.6,18,35,1.6998663387873325,1.206519606350558,10.0
春源居,桃園市龍潭區聖亭路八德段408巷38弄15號,5.6,26,25,1.2031762322636048,1.2833089287940698,7.0
