建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
銘傳大學市,桃園市龜山區明成街218號,23.6,15,13,1.290996557,0.647496193,36
林口藝術家大廈,桃園市龜山區文東五街47號,27.5,27,20,1.354413113,0.319921165,101
寶邑大廈,桃園市龜山區復興三路1號,28.8,21,26,1.053144306,0.476750656,246
香堤花園,桃園市龜山區萬壽路二段628巷9號,32.1,17,12,1.075820048,0.34981018,59
長榮鎮,桃園市龜山區南上路520巷28弄18號,12.4,29,22,1.095525142,0.802818368,27
智富館,桃園市龜山區文化七路181巷31弄28號,33.4,16,22,0.913158794,0.118236942,323
銘傳老闆,桃園市龜山區大同路238號,27.2,17,11,0.897034375,0.355377593,86
銘傳菁英會館,桃園市龜山區德明路21號,25.6,19,13,1.011640839,0.235653966,69
大景小城,桃園市龜山區優美街54巷10號,14.8,29,18,2.458440627,0.495757911,12
綠光,桃園市龜山區文化五路117號,31.6,27,22,0.495694957,0.312079984,296
青年才郡,桃園市龜山區文化二路34巷14弄11號,40.1,24,23,0.15592013,0.46921892,383
合康幸福漾,桃園市龜山區文康街107號,29.2,6,26,1.592281108,0.200104562,84
得意購,桃園市龜山區萬壽路一段425號,26.1,4,13,3.557220702,0.37497633,166
銘傳至尊,桃園市龜山區大同路261號地下一層,19.4,14,12,0.984498836,0.418663469,67
銘傳寶利發,桃園市龜山區明德路237號,16.1,19,11,0.656357508,0.245176944,119
大學之道五期,桃園市龜山區德明路89巷8號,29.7,17,12,0.899441882,0.241337996,83
九揚香璽,桃園市龜山區復興一路462號,24.3,14,21,1.196514647,0.192194396,145
聖陶沙,桃園市龜山區明興街223號,16.2,19,9,1.476520866,0.626160819,32
LA VIE 涵舍,桃園市龜山區復興二路10巷27弄8號,34.3,15,28,0.781941652,0.22333383,336
銘傳學府,桃園市龜山區明德路258號,21.1,20,11,0.684394284,0.228590639,114
八芳苑大樓,桃園市龜山區明興街114巷13弄6號,16.4,8,8,1.289834591,0.342224367,55
騰龍,桃園市龜山區東萬壽路34號,17.1,27,15,2.676892764,0.200550608,12
達鑫小松荷二期,桃園市龜山區文化三路81巷1號,41.9,14,23,0.124874899,0.352614724,376
香榭新都,桃園市龜山區興華五街45號,27.1,27,24,0.910110575,0.147280064,317
安敦翔鳳座,桃園市龜山區文三三街20巷1號,22.0,29,21,0.52354038,0.290301689,181
龍華天下,桃園市龜山區萬壽路一段312號,28.0,28,14,3.226275263,0.028527617,221
佳林寶鎮,桃園市龜山區復興二路11號,25.9,13,28,0.929321266,0.106957341,292
長庚麗晶,桃園市龜山區文二三街20號,33.3,26,23,0.183817286,0.358787177,370
興林雙喜五期,桃園市龜山區文化七路54巷10號,38.9,15,20,1.218945515,0.305663919,150
詠勝A8,桃園市龜山區復興南路17號,36.0,11,28,0.547943793,0.205089814,362
享豪,桃園市龜山區文化七路35號,29.2,18,21,1.089612488,0.318388241,216
九揚新凱悅,桃園市龜山區文二三街12號,43.3,22,23,0.217158582,0.354670506,375
捷運晶美,桃園市龜山區興華一街218號,29.5,11,22,0.320500056,0.479847982,350
櫻悅山莊,桃園市龜山區文化三路78巷30弄28號,27.4,17,23,0.267914258,0.14914837,350
立軒天玉,桃園市龜山區復興一路212巷25號,41.4,7,24,0.007273485,0.489369837,365
銘傳快得利尚品,桃園市龜山區德明路77巷67號,24.8,19,13,0.928434285,0.189510059,81
福樺Dior,桃園市龜山區文興路57號,38.7,17,23,0.204012637,0.440421347,377
八元及第,桃園市龜山區興華一街388號,20.9,10,23,0.409325334,0.286634462,358
昇捷M+,桃園市龜山區中興路168號之2,26.5,1,8,0.808898875,0.190271731,107
寶品極智,桃園市龜山區興華二街29號之1,37.4,1,22,0.386980358,0.442762365,301
長榮京華,桃園市龜山區南上路280巷11號,14.7,30,22,0.368459888,0.500139288,130
A8棧,桃園市龜山區復興二路131巷16號,29.9,4,27,0.81174561,0.235846589,310
九揚報喜二期,桃園市龜山區復興二路78巷66號,35.3,22,29,0.482801367,0.091617479,357
