建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
城中央,桃園市中壢區福達路一段1號,21.3,7,20,3.100911929285712,1.0779178832396064,2.0
三秀雅仕,桃園市中壢區永福路1006號,18.2,18,12,0.5229631189568683,0.384585300620403,133.0
富堉米蘭,桃園市中壢區後寮一路321巷33弄16號,18.4,9,14,1.1306069484223429,0.6545418581461881,70.0
民權大亨,桃園市中壢區民權路三段15巷71號,25.0,8,10,1.2590840702246169,0.8230775707692439,36.0
國際高鐵中央區,桃園市中壢區民權路四段720號,19.4,16,20,1.303602020935717,0.2967561214294186,66.0
爵仕堡,桃園市中壢區松義一街161號,19.7,11,21,3.8977249255273696,0.8623584065656823,43.0
春天別墅,桃園市中壢區華愛一街36巷1號,16.5,17,15,1.2382418718380248,0.3187625400575043,61.0
one市達,桃園市中壢區內厝八路189巷112弄50號,19.1,7,20,3.7106480198210687,0.6633286634028597,9.0
立鴻皇郡,桃園市中壢區高鐵南路四段330巷29弄1號,18.5,8,19,3.16947385024105,1.0398676221947782,6.0
大學藝墅館,桃園市中壢區新中一街77號,23.2,17,9,1.3970399456264349,0.174495229122351,86.0
城市之鑽,桃園市中壢區文興路321號,24.6,13,17,0.3995057501621513,0.9181007333846476,43.0
誠泰觀邸,桃園市中壢區西園路114巷7號,27.4,18,12,1.733144204407033,0.14164662409402,47.0
墅之境,桃園市中壢區龍文街131巷10號,19.3,17,14,0.2460322465437351,0.5029001760533875,84.0
永福帝堡,桃園市中壢區永能路1號,30.0,11,19,0.7614988228585805,0.6132424897395129,72.0
薪水別墅,桃園市中壢區華美一路140號,13.4,26,15,1.252639879163177,0.3817387497520623,61.0
松平硯,桃園市中壢區松平一街6號,19.7,5,22,4.25310172059358,1.2753237739370793,41.0
月眉山莊一區,桃園市中壢區月眉路二段72巷149號,13.5,18,22,2.367776766928517,1.2644087347068529,3.0
墅里苑,桃園市中壢區月眉路三段398號,18.8,7,23,3.13378658400371,1.3301378308727838,0.0
捷運官邸,桃園市中壢區崇德三路43號,18.9,7,19,2.375476321285724,0.7825092859975381,9.0
青埔A19透天電梯別墅,桃園市中壢區崇德三路57號,19.8,5,19,2.379199295859531,0.7686516038357143,9.0
北帝國官邸,桃園市中壢區南園二路372號,15.7,24,10,1.0396569009672978,0.2274277477363077,110.0
龍大莊三期,桃園市中壢區榮民南路65巷50號,21.8,20,14,0.9858075151391046,0.284325333230975,82.0
昀真ONE市達2,桃園市中壢區山錦路430巷2號,18.5,8,22,3.161991408621191,0.8754078417517918,3.0
植青墅,桃園市中壢區月桃路二段506巷62號,23.3,1,26,3.9157004895357175,1.0593470417077109,0.0
中壢一品墅,桃園市中壢區永清街一段75巷2號,19.3,2,14,2.9941476706112,1.627720848872529,8.0
陽光花墅,桃園市中壢區永清街一段151號,26.6,3,14,3.124975306579602,1.772590988371015,7.0
歌德堡,桃園市中壢區永能路12號,31.1,15,19,0.7307906281345379,0.599099948507323,73.0
大清大疆戶,桃園市中壢區中園路二段46巷339弄1號,23.9,2,16,3.6949819840156,1.257927411983358,10.0
敦陽富御,桃園市中壢區永清街281巷12號,21.5,6,13,2.0088164764428105,0.7774503327250393,31.0
深耕六期,桃園市中壢區榮安十三街68號,19.7,12,15,0.4894868112594271,0.1254639076685546,135.0
國王山莊,桃園市中壢區山佳二路239號,21.5,8,23,3.162951548607559,1.259956708493058,1.0
大清六藝,桃園市中壢區三民一路320號,19.9,4,12,0.7775255269803598,0.8155683798676628,38.0
鴻福大境,桃園市中壢區內定二十二街176號,23.2,5,18,4.753281982484364,1.5148560446256203,30.0
國際高鐵華爾街特區,桃園市中壢區高鐵站前西路二段191號,20.4,13,19,1.7257466470091611,0.7925777537734985,67.0
富俋悅府一期,桃園市中壢區中豐北路一段736巷28號,24.8,16,13,2.157665317057927,1.1082576536772304,15.0
海川蘊二期,桃園市中壢區仁慈路350巷50號,22.5,4,13,0.9870167140566948,0.7095487473281803,74.0
鴻福帝景,桃園市中壢區西園路116號,25.1,9,12,1.7626901566514706,0.1564259085761274,46.0
麗墅,桃園市中壢區高鐵南路三段831巷48號,23.7,2,18,2.436371963504773,0.8953794575516318,9.0
力天御藏NO.5,桃園市中壢區成章三街280號,20.4,7,18,1.4176372941009354,0.556909764281926,130.0
昱群 富境,桃園市中壢區內定十一街13巷1號,20.0,5,19,4.617876410855288,1.958906656798793,25.0
海川蘊,桃園市中壢區永清街553巷52號,22.0,9,14,2.752258433069811,1.4066815001734214,9.0
冠邑富都,桃園市中壢區龍昌路161巷6號,27.6,2,13,0.9762883424418788,0.2827375991611976,87.0
