建案,地址,每坪房價(萬元),屋齡(年),主要車站通勤時間(分鐘),醫院距離(公里),學校距離(公里),半徑1km內公共及商業場域(個)
首璽七期,桃園市八德區豐田二路86號,13.8,10,23,1.2570046515361206,0.1955550716928946,93.0
富山春,桃園市八德區廣興五街38號,30.4,9,22,3.128625531786494,0.7263748330603552,52.0
首璽九期,桃園市八德區豐吉路307號,24.1,8,21,0.7290677930713088,0.4823402447736686,97.0
深耕八期,桃園市八德區廣興三路60號,21.6,10,22,3.214537305800333,0.6288223964873763,58.0
湖光盛景,桃園市八德區和義街62號,19.5,14,12,0.9139824405736976,0.3400781068438449,179.0
閱讀翡冷翠五期,桃園市八德區豐德二路45巷21號,19.2,10,23,1.412756113915119,0.2462752443863015,68.0
桃大之星,桃園市八德區義勇街90號,27.8,16,11,0.3077576429119449,0.3457770457437419,343.0
新紐約,桃園市八德區豐田七街2號,34.1,4,21,0.9367919412376294,0.4309135388188869,85.0
三鶯品苑,桃園市八德區豐吉路272巷2號,26.1,2,22,0.7703637045482248,0.4804124862849216,115.0
龍大莊二期,桃園市八德區桃鶯路132號,22.9,20,10,1.8829490335057624,0.4231712602080228,60.0
直心巷,桃園市八德區豐田路225巷2號,21.3,8,21,0.8802212762621402,0.4640091799598942,84.0
新富大富貴,桃園市八德區東勇街55巷1號,18.9,16,11,0.6573191356047248,0.476978299195174,250.0
勤本美學館,桃園市八德區霄裡路492巷1號,18.7,1,18,2.663128097215327,0.8951495480100558,46.0
夢時代,桃園市八德區和平路649巷1號,24.1,7,12,1.6457546403382286,0.0785673421133601,19.0
和簷悅舍,桃園市八德區義勇街16號,22.8,16,11,0.1227096857807995,0.1587894959164155,386.0
新紐約II,桃園市八德區豐田七街40號,31.3,1,24,0.969758033437079,0.2837806018728481,85.0
多倫多,桃園市八德區順昌街67巷13號,11.6,20,20,2.367486483768516,0.0538526735443813,7.0
翠堤花園,桃園市八德區新興路1031巷2號,14.1,14,19,3.236710597165948,0.9920458821576412,3.0
傳家寶27,桃園市八德區廣興二路92號,27.8,3,20,3.5467180311560007,0.6182837291517347,41.0
舜欣如意,桃園市八德區建安街87巷1號,16.8,8,16,2.297550437336286,0.733075931233315,6.0
豐田居,桃園市八德區豐田七街33號之1,26.1,3,24,0.961442383805044,0.3010329268443921,85.0
寶苑,桃園市八德區豐田七街19號,21.6,7,24,0.9282561571511256,0.3685677657559559,84.0
富域首席II,桃園市八德區仁德一路28號,19.2,6,20,1.1318743106745204,0.7681741416666682,49.0
富域首席No.3,桃園市八德區長興二路121號,21.8,4,20,3.4412807998687933,0.6890039391258697,39.0
登峰兆極,桃園市八德區仁德五路20號,24.3,4,20,0.949041709186272,0.6472917540472208,74.0
福綱晴空樹,桃園市八德區豐田七街45號,19.9,8,24,0.9520209466332747,0.2860005277136308,84.0
藝墅天地,桃園市八德區大勤街79號,13.9,27,18,1.8071493928957807,0.556571747342159,15.0
